name		camera1
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/cam/5fire02.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	@cmd	shooter "bullet3" 0 1 1 0 0 1.8
	frame	data/chars/misc/traps/cam/5fire01.gif
	frame	data/chars/misc/traps/cam/5fire02.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	@cmd	shooter "bullet3" 0 1 1 0 0 1.8
	frame	data/chars/misc/traps/cam/5fire01.gif
	frame	data/chars/misc/traps/cam/5fire02.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	@cmd	beidle
	frame	data/chars/misc/traps/cam/cam05.gif




anim	follow6
	loop	0
	delay	7
	offset	60 190
	bbox	35 75 45 135 10
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/traps/cam/cam06.gif
	@cmd	shooter "bullet3" -5 1 1 0.2 0 1.6
	frame	data/chars/misc/traps/cam/6fire01.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/cam/6fire02.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	@cmd	shooter "bullet3" -5 1 1 0.2 0 1.6
	frame	data/chars/misc/traps/cam/6fire01.gif
	frame	data/chars/misc/traps/cam/6fire02.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	@cmd	shooter "bullet3" -5 1 1 0.2 0 1.6
	frame	data/chars/misc/traps/cam/6fire01.gif
	frame	data/chars/misc/traps/cam/6fire02.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	@cmd	beidle
	frame	data/chars/misc/traps/cam/cam06.gif




anim	follow7
	loop	0
	delay	7
	offset	60 190
	bbox	35 75 45 135 10
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/traps/cam/cam07.gif
	@cmd	shooter "bullet3" -3 1 1 0.5 0 1.3
	frame	data/chars/misc/traps/cam/7fire01.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/cam/7fire02.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	@cmd	shooter "bullet3" -3 1 1 0.5 0 1.3
	frame	data/chars/misc/traps/cam/7fire01.gif
	frame	data/chars/misc/traps/cam/7fire02.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	@cmd	shooter "bullet3" -3 1 1 0.5 0 1.3
	frame	data/chars/misc/traps/cam/7fire01.gif
	frame	data/chars/misc/traps/cam/7fire02.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	@cmd	beidle
	frame	data/chars/misc/traps/cam/cam07.gif



anim	follow8
	loop	0
	delay	7
	offset	60 190
	bbox	35 75 45 135 10
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/traps/cam/cam08.gif
	@cmd	shooter "bullet3" -5 1 1 1 0 1
	frame	data/chars/misc/traps/cam/8fire01.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/cam/8fire02.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	@cmd	shooter "bullet3" -5 1 1 1 0 1
	frame	data/chars/misc/traps/cam/8fire01.gif
	frame	data/chars/misc/traps/cam/8fire02.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	@cmd	shooter "bullet3" -5 1 1 1 0 1
	frame	data/chars/misc/traps/cam/8fire01.gif
	frame	data/chars/misc/traps/cam/8fire02.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	@cmd	beidle
	frame	data/chars/misc/traps/cam/cam08.gif


anim	follow9
	loop	0
	delay	7
	offset	60 190
	bbox	35 75 45 135 10
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/traps/cam/cam09.gif
	@cmd	shooter "bullet3" -10 1 1 1 0 0.7
	frame	data/chars/misc/traps/cam/9fire01.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/traps/cam/9fire02.gif
	frame	data/chars/misc/traps/cam/cam09.gif
	@cmd	shooter "bullet3" -10 1 1 1 0 0.7
	frame	data/chars/misc/traps/cam/9fire01.gif
	frame	data/chars/misc/traps/cam/9fire02.gif
	frame	data/chars/misc/traps/cam/cam09.gif
	@cmd	shooter "bullet3" -10 1 1 1 0 0.7
	frame	data/chars/misc/traps/cam/9fire01.gif
	frame	data/chars/misc/traps/cam/9fire02.gif
	frame	data/chars/misc/traps/cam/cam09.gif
	@cmd	beidle
	frame	data/chars/misc/traps/cam/cam09.gif


		
anim	pain
	loop	0
	delay	9
	offset	60 190
	bbox	35 75 45 135 10
	hitfx	data/sounds/block.wav
	frame	data/chars/misc/traps/cam/cam01.gif

anim	spawn
@script
if(frame==0)
{
  changeentityproperty(getlocalvar("self"), "type", openborconstant("TYPE_OBSTACLE"));
}
@end_script
	loop	0
	delay	3
	offset	60 190
	bbox	35 75 45 135 10
	delay	14
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/traps/cam/cam01.gif
	frame	data/chars/misc/traps/cam/cam02.gif
	frame	data/chars/misc/traps/cam/cam03.gif
	frame	data/chars/misc/traps/cam/cam04.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	frame	data/chars/misc/traps/cam/cam09.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	frame	data/chars/misc/traps/cam/cam04.gif
	frame	data/chars/misc/traps/cam/cam03.gif
	frame	data/chars/misc/traps/cam/cam02.gif
	frame	data/chars/misc/traps/cam/cam01.gif
	frame	data/chars/misc/traps/cam/cam02.gif
	frame	data/chars/misc/traps/cam/cam03.gif
	frame	data/chars/misc/traps/cam/cam04.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	frame	data/chars/misc/traps/cam/cam09.gif
	frame	data/chars/misc/traps/cam/cam08.gif
	frame	data/chars/misc/traps/cam/cam07.gif
	frame	data/chars/misc/traps/cam/cam06.gif
	frame	data/chars/misc/traps/cam/cam05.gif
	frame	data/chars/misc/traps/cam/cam04.gif
	frame	data/chars/misc/traps/cam/cam03.gif
	frame	data/chars/misc/traps/cam/cam02.gif
	frame	data/chars/misc/traps/cam/cam01.gif
	frame	data/chars/misc/traps/cam/cam02.gif
	frame	data/chars/misc/traps/cam/cam03.gif
	frame	data/chars/misc/traps/cam/cam04.gif








		
#|edited by openBor Stats v 0.53
		
