name		clarkplr
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 1.2 0 0
	frame	data/chars/xclark/a20.png
	frame	data/chars/xclark/a21.png
	frame	data/chars/xclark/a22.png
	delay	6
	@cmd	stop
	attack	143 122 80 30 40 1 0 0 40 15
	frame	data/chars/xclark/a23.png
	frame	data/chars/xclark/a24.png
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/xclark/a25.png
	frame	data/chars/xclark/a26.png
	frame	data/chars/xclark/a27.png
	frame	data/chars/xclark/a01.png
		
anim	attack8
	range	85 140
	rangez	-15 15
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	sound	data/sounds/xclark01.wav
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 1.2 0 0
	frame	data/chars/xclark/b10.png
	frame	data/chars/xclark/b11.png
	frame	data/chars/xclark/b12.png
	@cmd	stop
	attack	143 119 75 45 60 1 0 0 35 15
	dropv	2 4
	frame	data/chars/xclark/b13.png
	delay	8
	frame	data/chars/xclark/b14.png
	attack	0 0 0 0
	frame	data/chars/xclark/b15.png
	frame	data/chars/xclark/b16.png
	frame	data/chars/xclark/b17.png
	frame	data/chars/xclark/b11.png
	frame	data/chars/xclark/b10.png
		
anim	attackdown
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xclark/dgd01.png
	@cmd	dasher 2.5 0 0.4
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xclark/dgd02.png
	frame	data/chars/xclark/dgd03.png
	frame	data/chars/xclark/dgd04.png
	frame	data/chars/xclark/dgd05.png
	frame	data/chars/xclark/dgd06.png
	frame	data/chars/xclark/dgd07.png
	frame	data/chars/xclark/rise3.png
	@cmd	stop
	frame	data/chars/xclark/rise4.png
		
anim	attackup
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xclark/dgd01.png
	@cmd	dasher 2.5 0 -0.4
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xclark/dgd02.png
	frame	data/chars/xclark/dgd03.png
	frame	data/chars/xclark/dgd04.png
	frame	data/chars/xclark/dgd05.png
	frame	data/chars/xclark/dgd06.png
	frame	data/chars/xclark/dgd07.png
	frame	data/chars/xclark/rise3.png
	@cmd	stop
	frame	data/chars/xclark/rise4.png
		
anim	block
	loop	0
	delay	9
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xclark/a01.png
	frame	data/chars/xclark/blk05.png
		
anim	burn
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xclark/fall1.png
	frame	data/chars/xclark/fall2.png
	delay	500
	frame	data/chars/xclark/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xclark/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xclark/fall4.png
		
anim	charge
	loop	0
	delay	20
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xclark/chg01.png
	delay	6
	frame	data/chars/xclark/chg05.png
	frame	data/chars/xclark/chg06.png
	frame	data/chars/xclark/chg07.png
	frame	data/chars/xclark/chg08.png
	@cmd	updateframe getlocalvar("self") 1
	delay	8
	frame	data/chars/xclark/chg02.png
	frame	data/chars/xclark/chg03.png
		
anim	death
	loop	0
	delay	40
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xclarkPain01.wav
	frame	data/chars/xclark/fall4.png
	delay	10
	frame	data/chars/xclark/rise1.png
	frame	data/chars/xclark/rise2.png
	frame	data/chars/xclark/rise3.png
	frame	data/chars/xclark/pain4.png
	sound	data/sounds/xclarkDeth.wav
	frame	data/chars/xclark/pain3.png
	frame	data/chars/xclark/fall1.png
	frame	data/chars/xclark/fall2.png
	frame	data/chars/xclark/fall3.png
	delay	150
	frame	data/chars/xclark/fall4.png
		
anim	fall
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xclarkPain01.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xclark/fall1.png
	frame	data/chars/xclark/fall2.png
	delay	500
	frame	data/chars/xclark/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xclark/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xclark/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xclarkPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xclark/pain4.png
	frame	data/chars/xclark/fall2.png
	delay	500
	frame	data/chars/xclark/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xclark/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xclark/fall4.png
		
anim	fall3
	loop	0
	delay	30
	offset	145 211
	bbox	120 125 30 75
	sound	data/sounds/xclarkPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 20
	frame	data/chars/xclark/pain4.png
	bbox	115 133 60 40
	frame	data/chars/xclark/fall2.png
	delay	500
	bbox	110 145 50 50
	frame	data/chars/xclark/fall3.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	10
	offset	145 210
	bbox	100 186 80 25
	frame	data/chars/xclark/fall4.png
	delay	50
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xclark/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xclark/slam0.png
	offset	45 95
	frame	data/chars/xclark/slam1.png
	offset	50 85
	frame	data/chars/xclark/slam2.png
	offset	45 95
	frame	data/chars/xclark/slam3.png
	offset	45 95
	frame	data/chars/xclark/slam4.png
	offset	75 55
	frame	data/chars/xclark/slam5.png
	offset	40 80
	frame	data/chars/xclark/slam6.png
	offset	20 90
	frame	data/chars/xclark/slam7.png
	offset	65 55
	frame	data/chars/xclark/slam8.png
	offset	65 83
	frame	data/chars/xclark/slam9.png
	offset	65 83
	frame	data/chars/xclark/slam10.png
	offset	20 90
	frame	data/chars/xclark/slam11.png
	offset	75 55
	frame	data/chars/xclark/slam12.png
	offset	75 55
	frame	data/chars/xclark/slam13.png
	offset	50 85
	frame	data/chars/xclark/slam14.png
	offset	45 95
	frame	data/chars/xclark/slam15.png
	offset	55 70
	frame	data/chars/xclark/slam16.png
	offset	65 83
	frame	data/chars/xclark/slam17.png
	offset	65 83
	frame	data/chars/xclark/slam18.png
	offset	45 95
	frame	data/chars/xclark/slam19.png
	offset	45 95
	frame	data/chars/xclark/slam20.png
	offset	45 95
	frame	data/chars/xclark/slam21.png
	offset	45 95
	frame	data/chars/xclark/slam22.png
	offset	59 85
	frame	data/chars/xclark/slam23.png
	offset	59 80
	frame	data/chars/xclark/slam24.png
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xclark/slambbox1.png
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	landframe	14
	sound	data/sounds/xclarkPain01.wav
	frame	data/chars/xclark/fall6.png
	frame	data/chars/xclark/fall7.png
	frame	data/chars/xclark/fall8.png
	frame	data/chars/xclark/fall9.png
	frame	data/chars/xclark/fall6.png
	frame	data/chars/xclark/fall7.png
	frame	data/chars/xclark/fall8.png
	frame	data/chars/xclark/fall9.png
	frame	data/chars/xclark/fall6.png
	frame	data/chars/xclark/fall7.png
	frame	data/chars/xclark/fall8.png
	frame	data/chars/xclark/fall9.png
	frame	data/chars/xclark/fall6.png
	delay	300
	frame	data/chars/xclark/fall7.png
	delay	15
	frame	data/chars/xclark/fall4.png
		
anim	follow10
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 2 0
	landframe	6 dust
	quakeframe	6 8 12
	forcedirection	-1
	attackone	1
	otg	2
	sound	data/sounds/xclark03.wav
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/xclark/grd01.png
	frame	data/chars/xclark/grd02.png
	frame	data/chars/xclark/grd03.png
	frame	data/chars/xclark/grd04.png
	delay	500
	frame	data/chars/xclark/grd05.png
	delay	10
	attack11	105 190 90 28 50 1 0 0 40 20
	sound	data/sounds/burn.wav
	dropv	3 0.5
	frame	data/chars/xclark/grd06.png
	delay	5
	frame	data/chars/xclark/grd07.png
	frame	data/chars/xclark/grd07.png
	frame	data/chars/xclark/grd07.png
	frame	data/chars/xclark/grd07.png
	frame	data/chars/xclark/grd07.png
	frame	data/chars/xclark/grd07.png
	attack11	0 0 0 0
	delay	9
	@cmd	flip
	frame	data/chars/xclark/rise1.png
	frame	data/chars/xclark/rise2.png
	@cmd	flip
	frame	data/chars/xclark/rise3.png
	frame	data/chars/xclark/rise4.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	8
	frame	data/chars/xclark/jump08.png
	frame	data/chars/xclark/jump07.png
	frame	data/chars/xclark/jump06.png
	frame	data/chars/xclark/jump05.png
	frame	data/chars/xclark/jump04.png
	frame	data/chars/xclark/jump03.png
	frame	data/chars/xclark/jump02.png
	delay	500
	frame	data/chars/xclark/jump01.png
	delay	8
	frame	data/chars/xclark/rise3.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xclark/dgd07.png
	@cmd	dasher -2.5 0 0
	frame	data/chars/xclark/dgd06.png
	@cmd	spawn01 "dust" 5 1 1
	frame	data/chars/xclark/dgd05.png
	frame	data/chars/xclark/dgd04.png
	frame	data/chars/xclark/dgd03.png
	frame	data/chars/xclark/dgd02.png
	frame	data/chars/xclark/dgd01.png
	@cmd	stop
	frame	data/chars/xclark/rise3.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 6)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/emp.png
	delay	12
	bbox	0 0 0 0
	frame	data/chars/xclark/spw01.png
	frame	data/chars/xclark/spw02.png
	frame	data/chars/xclark/spw03.png
	delay	70
	frame	data/chars/xclark/spw04.png
	delay	12
	frame	data/chars/xclark/spw03.png
	frame	data/chars/xclark/spw02.png
	frame	data/chars/xclark/spw01.png
		
anim	follow4
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	jumpframe	34 4.5 0
	landframe	48 dust
	@cmd	stop
	@cmd	clearL
	delay	4
	attack	0 0 0 0
	hitfx	data/sounds/beat1.wav
	frame	data/chars/xclark/rise3.png
	frame	data/chars/xclark/sld02.png
	frame	data/chars/xclark/sld03.png
	attack2	125 135 90 70 5 0 1 0 12 20
	frame	data/chars/xclark/sld04.png
	attack2	0 0 0 0
	frame	data/chars/xclark/sld03.png
	frame	data/chars/xclark/sld15.png
	frame	data/chars/xclark/sld16.png
	attack2	125 135 90 70 5 0 1 0 12 20
	frame	data/chars/xclark/sld17.png
	attack2	0 0 0 0
	frame	data/chars/xclark/sld16.png
	@cmd	looper 1 3
	delay	1
	frame	data/chars/xclark/rise3.png
	@cmd	clearL
	frame	data/chars/xclark/rise3.png
	delay	3
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xclark/b01.png
	frame	data/chars/xclark/b02.png
	attack2	125 125 90 55 5 0 1 0 12 20
	frame	data/chars/xclark/b02a.png
	frame	data/chars/xclark/b03.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b02.png
	frame	data/chars/xclark/b01a.png
	frame	data/chars/xclark/b41.png
	frame	data/chars/xclark/b42.png
	attack2	125 125 90 55 5 0 1 0 12 20
	frame	data/chars/xclark/b43.png
	frame	data/chars/xclark/b44.png
	attack2	0 0 0 0
	frame	data/chars/xclark/b42.png
	frame	data/chars/xclark/b11.png
	@cmd	looper 11 4
	delay	1
	frame	data/chars/xclark/b10.png
	@cmd	clearL
	frame	data/chars/xclark/b10.png
	delay	4
	hitfx	data/sounds/beat2.wav
	frame	data/chars/xclark/a01.png
	attack	125 110 90 40 5 0 1 0 15 20
	frame	data/chars/xclark/a03.png
	attack	0 0 0 0
	frame	data/chars/xclark/a04.png
	frame	data/chars/xclark/a31.png
	attack	125 110 90 40 5 0 1 0 15 20
	frame	data/chars/xclark/a33.png
	attack	0 0 0 0
	frame	data/chars/xclark/a31.png
	@cmd	looper 25 8
	frame	data/chars/xclark/a30.png
	hitfx	data/sounds/beat5.wav
	delay	5
	sound	data/sounds/xclark04.wav
	frame	data/chars/xclark/b01a.png
	frame	data/chars/xclark/b22a.png
	delay	40
	attack10	125 110 90 60 5 1 1 0 40 30
	dropv	4.6 0
	frame	data/chars/xclark/b23.png
	attack10	0 0 0 0
	delay	4
	frame	data/chars/xclark/jua30.png
	@cmd	leaper 0 0.2
	frame	data/chars/xclark/jua31.png
	attack10	125 95 90 60 5 1 1 0 40 30
	dropv	0.5 0
	frame	data/chars/xclark/jua32.png
	attack10	0 0 0 0
	frame	data/chars/xclark/jua31.png
	offset	145 225
	frame	data/chars/xclark/pw107.png
	@cmd	leaper 0 0.2
	sound	data/sounds/xclark01.wav
	frame	data/chars/xclark/pw108.png
	delay	8
	staydown	500 500
	hitflash	flashscreen2
	hitfx	data/sounds/beat4.wav
	attack	125 110 90 75 60 1 1 0 70 30
	dropv	-2 3
	frame	data/chars/xclark/pw109.png
	@cmd	leaper 0 0.2
	frame	data/chars/xclark/pw110.png
	attack	0 0 0 0
	offset	145 255
	frame	data/chars/xclark/pw115.png
	offset	145 211
	@cmd	leaper 0 0.2
	frame	data/chars/xclark/jump06.png
	frame	data/chars/xclark/jump07.png
	@cmd	leaper 0 0.2
	frame	data/chars/xclark/jump08.png
	delay	500
	frame	data/chars/xclark/jump02.png
	delay	9
	frame	data/chars/xclark/rise2.png
	frame	data/chars/xclark/rise3.png
	@cmd	clearL
	frame	data/chars/xclark/rise4.png
		
anim	forwardjump
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xclark/jump01.png
	delay	7
	frame	data/chars/xclark/jump02.png
	frame	data/chars/xclark/jump03.png
	frame	data/chars/xclark/jump05.png
	frame	data/chars/xclark/jump06.png
	frame	data/chars/xclark/jump07.png
	frame	data/chars/xclark/jump08.png
	frame	data/chars/xclark/jump01.png
		
anim	freespecial10
@script
	void self = getlocalvar("self");
	int iPIndex = getentityproperty(self,"playerindex");

	if (frame >= 0 && frame <= 2 )
	{
		if (playerkeys(iPIndex, 0, "moveleft"))
		{
			changeentityproperty(self, "direction", 1);
		} 
		else if (playerkeys(iPIndex, 0, "moveright"))
		{
      			changeentityproperty(self, "direction", 0);
		}		
	}
	@end_script	
	energycost	10
	mponly	1
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	jumpframe	5 3 -2
	landframe	10
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	delay	8
	@cmd	position 1 -5 100 -1 1
	frame	data/chars/xclark/grab80.png
	@cmd	position 1 -10 90 -1 1
	frame	data/chars/xclark/grab81.png
	@cmd	position 1 -15 100 -1 1
	frame	data/chars/xclark/grab82.png
	sound	data/sounds/xclark04.wav
	@cmd	position 2 -30 100 -1 1
	frame	data/chars/xclark/grab83.png #5
	@cmd	position 2 -40 85 -1 1
	frame	data/chars/xclark/grab84.png
	blast	70 105 90 75 8 1 0 12 15
	@cmd	position 14 -50 90 -1 -1
	frame	data/chars/xclark/grab85.png
	@cmd	position 14 -50 70 -1 -1
	frame	data/chars/xclark/grab86.png
	delay	500
	@cmd	position 14 -50 60 -1 -1
	frame	data/chars/xclark/grab87.png
	blast	0 0 0 0
	delay	8
	@cmd	position 14 -50 50 -1 -1
	frame	data/chars/xclark/grab88.png #10
	@cmd	spawn01 "qfx" -40 0 2
	@cmd	position 15 -50 45 -1 -1
	frame	data/chars/xclark/grab89.png
	@cmd	position 14 -50 45 -1 -1
	frame	data/chars/xclark/grab89.png
	delay	2
	@cmd	position 15 -50 15 -1 1
	frame	data/chars/xclark/grab89.png
	@cmd	depost 0
	@cmd	finish 50 1 -3 2 0 1
	delay	40
	frame	data/chars/xclark/grab89.png
	delay	9
	move	10
	frame	data/chars/xclark/rise1.png
	move	0
	frame	data/chars/xclark/rise2.png
	@cmd	flip
	frame	data/chars/xclark/rise3.png
	frame	data/chars/xclark/rise4.png
		
anim	freespecial11
	energycost	10
	mponly	1
	loop	0
	delay	25
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xclark03.wav
	@cmd	position 1 -5 100 1 1
	frame	data/chars/xclark/grab55.png
	delay	9
	@cmd	position 2 -5 85 1 1
	frame	data/chars/xclark/grab56.png
	@cmd	position 2 -5 60 1 1
	frame	data/chars/xclark/grab57.png
	delay	30
	@cmd	hurt 30
	sound	data/sounds/break2.wav
	@cmd	spawn01 "flashscreen1" -5 10 1
	@cmd	spawn01 "qfx" -5 0 -5
	@cmd	position 1 -5 45 1 1
	frame	data/chars/xclark/grab58.png
	delay	15
	@cmd	position 1 -5 45 1 1
	frame	data/chars/xclark/grab58.png
	@cmd	anichange "ani_freespecial12"
	delay	5
	@cmd	position 1 -5 45 1 1
	frame	data/chars/xclark/grab58.png
	@cmd	depost 0
	@cmd	finish 20 1 0.5 5 0 -1
	frame	data/chars/xclark/grab58.png
	delay	60
	frame	data/chars/xclark/grab58.png
	delay	9
	frame	data/chars/xclark/rise3.png
	@cmd	clearL
	frame	data/chars/xclark/rise4.png
		
anim	freespecial12
	cancel	3 14 0 S freespecial26
	cancel	3 14 0 A freespecial5
	cancel	3 14 0 J freespecial5
	cancel	3 14 0 f A freespecial10
	cancel	3 14 0 b A freespecial10
	cancel	3 14 0 f J freespecial10
	cancel	3 14 0 b J freespecial10
	cancel	3 14 0 d A freespecial11
	cancel	3 14 0 d J freespecial11
	loop	0
	delay	12
	offset	145 211
	bbox	0 0 0 0
	@cmd	position 11 30 48 -1 1
	frame	data/chars/xclark/grab61.png
	@cmd	position 0 20 75 -1 1
	frame	data/chars/xclark/grab62.png
	@cmd	position 2 0 100 -1 1
	frame	data/chars/xclark/grab65.png
	delay	9
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png #3
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png
	@cmd	position 1 0 100 -1 1
	frame	data/chars/xclark/grab68.png #14
	delay	8
	sound	data/sounds/xclark04.wav
	@cmd	position 6 -15 30 -1 1
	frame	data/chars/xclark/grab69.png
	@cmd	depost 0
	@cmd	finish 20 1 -2 0 0 -1
	frame	data/chars/xclark/grab70.png
	delay	25
	@cmd	clearL
	frame	data/chars/xclark/grab71.png
	delay	9
	frame	data/chars/xclark/grab72.png
	frame	data/chars/xclark/grab73.png
	frame	data/chars/xclark/grab74.png
	@cmd	flip
	delay	8
	frame	data/chars/xclark/a01.png
		
anim	freespecial15
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xclarkTlk01.wav
	frame	data/chars/xclark/spw01.png
	frame	data/chars/xclark/spw02.png
	frame	data/chars/xclark/spw03.png
	delay	30
	frame	data/chars/xclark/spw04.png
	@cmd	spawnChild2 "toturi3" 1 1 1 "ANI_FOLLOW5"
	frame	data/chars/xclark/spw04.png
	delay	9
	frame	data/chars/xclark/spw03.png
	frame	data/chars/xclark/spw02.png
	frame	data/chars/xclark/spw01.png
		
anim	freespecial26
@script
	void self = getlocalvar("self");
	int iPIndex = getentityproperty(self,"playerindex");
	int dir = getentityproperty(self, "direction");
	float V = 2;
	float xdir = -2;
	float zdir = 0;

if (frame > 15 && frame < 32 )
{
	if (playerkeys(iPIndex, 0, "moveleft"))
	{
		changeentityproperty(self, "direction", 1);
	} 
	else if (playerkeys(iPIndex, 0, "moveright"))
	{
		changeentityproperty(self, "direction", 0);
	}

	if(playerkeys(iPIndex, 0, "moveup"))
	{
		zdir = -V/2;
	} 
	else if(playerkeys(iPIndex, 0, "movedown"))
	{
		zdir = V/2;
	}

	if ( dir == 0 )
	{
		changeentityproperty(self, "velocity", 2.5, zdir);
	}
	else if ( dir == 1 )
	{
		changeentityproperty(self, "velocity", -2.5, zdir);
	}
}
	@end_script	
	energycost	70
	mponly	1
	loop	0
	delay	20
	offset	145 211
	bbox	0 0 0 0
	jumpframe	42 6 -1
	landframe	49 qfx
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" 1 1 1 2 "ANI_FOLLOW1"
	@cmd	slamstart2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xclark/grab00.png
	delay	9
	sound	data/sounds/grab.wav
	@cmd	position 10 30 50 -1 1
	frame	data/chars/xclark/pw10.png #1
	@cmd	position 11 25 50 1 1
	frame	data/chars/xclark/pw11.png
	@cmd	position 4 0 70 1 1
	frame	data/chars/xclark/pw12.png
	sound	data/sounds/xclark03.wav
	@cmd	position 3 -5 90 1 1
	frame	data/chars/xclark/pw13.png
	@cmd	position 6 -10 100 1 1
	frame	data/chars/xclark/pw14.png
	@cmd	position 2 0 110 -1 1
	frame	data/chars/xclark/pw15.png #6
	@cmd	position 1 5 110 -1 1
	frame	data/chars/xclark/pw16.png
	@cmd	position 1 5 112 -1 1
	frame	data/chars/xclark/pw17.png
	@cmd	position 1 5 105 -1 1
	frame	data/chars/xclark/pw18.png
	@cmd	position 1 3 105 -1 1
	frame	data/chars/xclark/pw19.png
	@cmd	position 1 0 105 -1 1
	frame	data/chars/xclark/pw20.png
	@cmd	position 1 0 105 -1 1
	frame	data/chars/xclark/pw30.png
	delay	9
	@cmd	position 1 15 110 -1 1
