name	 choppatck3
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	move	-6
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
	attack	0 130 300 120 5 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
		
#|edited by openBor Stats v 0.53
		
