name	 runetb1
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap10.gif
	frame	data/chars/misc/runetb/rnmap10.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap10.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap10.gif
	frame	data/chars/misc/runetb/rnmap10.gif
	frame	data/chars/misc/runetb/rnmap10.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap10.gif
	frame	data/chars/misc/runetb/rnmap10.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap10.gif

#-----------//---------MAP-11-------//-------------------

anim	follow10
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnmap11.gif
	frame	data/chars/misc/runetb/rnmap11.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnmap11.gif
	delay	8500
	frame	data/chars/misc/runetb/rnmap11.gif
	frame	data/chars/misc/runetb/rnmap11.gif
	frame	data/chars/misc/runetb/rnmap11.gif
	delay	5
	frame	data/chars/misc/runetb/rnmap11.gif
	frame	data/chars/misc/runetb/rnmap11.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnmap11.gif

#-----------//---------BYO-1------//-------------------

anim	follow11
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnbyo1.gif
	frame	data/chars/misc/runetb/rnbyo1.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnbyo1.gif
	delay	8500
	frame	data/chars/misc/runetb/rnbyo1.gif
	frame	data/chars/misc/runetb/rnbyo1.gif
	frame	data/chars/misc/runetb/rnbyo1.gif
	delay	5
	frame	data/chars/misc/runetb/rnbyo1.gif
	frame	data/chars/misc/runetb/rnbyo1.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnbyo1.gif

#-----------//---------BYO-2------//-------------------

anim	follow12
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnbyo2.gif
	frame	data/chars/misc/runetb/rnbyo2.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnbyo2.gif
	delay	8500
	frame	data/chars/misc/runetb/rnbyo2.gif
	frame	data/chars/misc/runetb/rnbyo2.gif
	frame	data/chars/misc/runetb/rnbyo2.gif
	delay	5
	frame	data/chars/misc/runetb/rnbyo2.gif
	frame	data/chars/misc/runetb/rnbyo2.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnbyo2.gif

#-----------//---------BYO-3------//-------------------

anim	follow13
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rnbyo3.gif
	frame	data/chars/misc/runetb/rnbyo3.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rnbyo3.gif
	delay	8500
	frame	data/chars/misc/runetb/rnbyo3.gif
	frame	data/chars/misc/runetb/rnbyo3.gif
	frame	data/chars/misc/runetb/rnbyo3.gif
	delay	5
	frame	data/chars/misc/runetb/rnbyo3.gif
	frame	data/chars/misc/runetb/rnbyo3.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rnbyo3.gif

#-----------//---------TORTURE--------//-------------------

anim	follow14
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rntorture.gif
	frame	data/chars/misc/runetb/rntorture.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rntorture.gif
	delay	8500
	frame	data/chars/misc/runetb/rntorture.gif
	frame	data/chars/misc/runetb/rntorture.gif
	frame	data/chars/misc/runetb/rntorture.gif
	delay	5
	frame	data/chars/misc/runetb/rntorture.gif
	frame	data/chars/misc/runetb/rntorture.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rntorture.gif

#-----------//---------TRY-AGAIN-------//-------------------

anim	follow15
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rntryag.gif
	frame	data/chars/misc/runetb/rntryag.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rntryag.gif
	delay	8500
	frame	data/chars/misc/runetb/rntryag.gif
	frame	data/chars/misc/runetb/rntryag.gif
	frame	data/chars/misc/runetb/rntryag.gif
	delay	5
	frame	data/chars/misc/runetb/rntryag.gif
	frame	data/chars/misc/runetb/rntryag.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rntryag.gif

#-----------//---------1-ON-1-------//-------------------

anim	follow16
	loop	0
	delay	5
	offset	1 1
	frame	data/chars/misc/runetb/empty.gif
	delay	2
	movez	-3
	frame	data/chars/misc/runetb/rn1on1.gif
	frame	data/chars/misc/runetb/rn1on1.gif
	@cmd	looper 1 40 
	movez	0
	frame	data/chars/misc/runetb/rn1on1.gif
	delay	8500
	frame	data/chars/misc/runetb/rn1on1.gif
	frame	data/chars/misc/runetb/rn1on1.gif
	frame	data/chars/misc/runetb/rn1on1.gif
	delay	5
	frame	data/chars/misc/runetb/rn1on1.gif
	frame	data/chars/misc/runetb/rn1on1.gif
	@cmd	suicide
	frame	data/chars/misc/runetb/rn1on1.gif


