name          sentry2
	frame	data/chars/beyond/1cyb2/pain4.gif
	frame	data/chars/beyond/1cyb2/pain5.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain1.gif
	frame	data/chars/beyond/1cyb2/pain3.gif
	frame	data/chars/beyond/1cyb2/pain4.gif
	frame	data/chars/beyond/1cyb2/pain5.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain1.gif
	frame	data/chars/beyond/1cyb2/pain3.gif
	frame	data/chars/beyond/1cyb2/pain4.gif
	frame	data/chars/beyond/1cyb2/pain5.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
	frame	data/chars/beyond/1cyb2/pain6.gif
		
anim	idle
	loop	1
	delay	9
	offset	132 197
	bbox	100 90 60 100
	frame	data/chars/beyond/1cyb2/idle01.gif
	@cmd    lifeaggr 25 250
	frame	data/chars/beyond/1cyb2/idle02.gif
	frame	data/chars/beyond/1cyb2/idle03.gif
	frame	data/chars/beyond/1cyb2/idle04.gif
	frame	data/chars/beyond/1cyb2/idle03.gif
	frame	data/chars/beyond/1cyb2/idle02.gif
		
anim	pain
	loop	0
	delay	5
	offset	132 197
	bbox	100 90 60 100
	frame	data/chars/beyond/1cyb2/pain1.gif
	offset	134 197
	frame	data/chars/beyond/1cyb2/pain2.gif
	offset	134 197
	frame	data/chars/beyond/1cyb2/pain2.gif
	delay	30
	offset	132 197
	frame	data/chars/beyond/1cyb2/pain2.gif
		
anim	pain2
	loop	0
	delay	5
	offset	132 197
	bbox	100 90 60 100
	frame	data/chars/beyond/1cyb2/pain1.gif
	offset	134 197
	frame	data/chars/beyond/1cyb2/pain2.gif
	offset	134 197
	frame	data/chars/beyond/1cyb2/pain2.gif
	delay	30
	offset	132 197
	frame	data/chars/beyond/1cyb2/pain2.gif
		
anim	rise
	loop	0
	delay	5
	offset	132 197
	bbox	0 0 0 0
	@cmd	dasher -3 0 0
	frame	data/chars/beyond/1cyb2/pain7.gif
	@cmd	spawnbind "dust" 1 1 1
	delay	12
	@cmd	dasher -3 0 0
	frame	data/chars/beyond/1cyb2/pain7.gif
	bbox	100 90 60 100
	frame	data/chars/beyond/1cyb2/pain6.gif
	@cmd	dasher -1.5 0 0
	@cmd	attack1 -140 140 30 "ANI_FOLLOW1"
	frame	data/chars/beyond/1cyb2/pain5.gif
	@cmd	attack1 -140 140 30 "ANI_FOLLOW1"
	frame	data/chars/beyond/1cyb2/pain4.gif
	@cmd	attack1 -140 140 30 "ANI_FOLLOW1"
	frame	data/chars/beyond/1cyb2/pain3.gif
	@cmd	attack1 -140 140 30 "ANI_FOLLOW1"
	@cmd	stop
	frame	data/chars/beyond/1cyb2/pain3.gif
	@cmd	beidle
	frame	data/chars/beyond/1cyb2/pain3.gif
		
anim	spawn
	loop	0
	delay	6
	offset	132 197
	bbox	0 0 0 0
	frame	data/chars/beyond/1cyb2/idle01.gif
		
anim	walk
	loop	1
	delay	6
	offset	132 197
	bbox	100 90 60 100
	frame	data/chars/beyond/1cyb2/wk08.gif
	frame	data/chars/beyond/1cyb2/wk07.gif
	sound	data/sounds/land.wav
	frame	data/chars/beyond/1cyb2/wk06.gif
	frame	data/chars/beyond/1cyb2/wk05.gif
	frame	data/chars/beyond/1cyb2/wk04.gif
	frame	data/chars/beyond/1cyb2/wk03.gif
	sound	data/sounds/land.wav
	frame	data/chars/beyond/1cyb2/wk02.gif
	frame	data/chars/beyond/1cyb2/wk01.gif
		
#|edited by openBor Stats v 0.53
		
