name	king
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	sound	data/sounds/wmscream1.wav
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif

	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
	@cmd	stop
	frame	data/chars/misc/runpeople/king/idle07.gif
	@cmd	anichange "ANI_FOLLOW2"
	frame	data/chars/misc/runpeople/king/idle07.gif



anim	follow2
	loop	1 3 7
	delay	10
	offset	125 173
	bbox	0 0 0 0
	@cmd	flip
	frame	data/chars/misc/runpeople/king/idle08.gif
	frame	data/chars/misc/runpeople/king/idle09.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 -90 130 50 "ANI_ATTACK1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 -90 130 50 "ANI_ATTACK1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 -90 130 50 "ANI_ATTACK1"
	frame	data/chars/misc/runpeople/king/idle10.gif
	@cmd	attack1 -90 130 50 "ANI_ATTACK1"
	frame	data/chars/misc/runpeople/king/idle10.gif


anim	backwalk
	loop	1 2 7
	delay	10
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle10.gif
	frame	data/chars/misc/runpeople/king/idle07.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif


		
anim	walk
	loop	1 2 7
	delay	10
	offset	125 173
	bbox	0 0 0 0
	frame	data/chars/misc/runpeople/king/idle10.gif
	frame	data/chars/misc/runpeople/king/idle07.gif
	frame	data/chars/misc/runpeople/king/wk01.gif
	frame	data/chars/misc/runpeople/king/wk02.gif
	frame	data/chars/misc/runpeople/king/wk03.gif
	frame	data/chars/misc/runpeople/king/wk04.gif
	frame	data/chars/misc/runpeople/king/wk05.gif
	frame	data/chars/misc/runpeople/king/wk06.gif
		
#|edited by openBor Stats v 0.53
		
