name		kfyuri
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a31.gif
	delay	5
	frame	data/chars/0yuri/kfyuri/a32.gif
	frame	data/chars/0yuri/kfyuri/a07.gif
		
anim	attack6
	range	60 80
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/kfyuri/b18.gif
	frame	data/chars/0yuri/kfyuri/b19.gif
	attack	145 110 79 45 30 0 0 0 7 0
	frame	data/chars/0yuri/kfyuri/b20.gif
	frame	data/chars/0yuri/kfyuri/b21.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/b22.gif
	delay	5
	frame	data/chars/0yuri/kfyuri/b23.gif
	offset	145 205
	frame	data/chars/0yuri/kfyuri/a07.gif
		
anim	attack7
	range	60 80
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat3.wav
	frame	data/chars/0yuri/kfyuri/b27.gif
	frame	data/chars/0yuri/kfyuri/b28.gif
	frame	data/chars/0yuri/kfyuri/b29.gif
	attack	145 105 79 45 40 1 0 0 40 10
	frame	data/chars/0yuri/kfyuri/b30.gif
	frame	data/chars/0yuri/kfyuri/b31.gif
	delay	5
	frame	data/chars/0yuri/kfyuri/b32.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/b33.gif
	frame	data/chars/0yuri/kfyuri/b34.gif
	frame	data/chars/0yuri/kfyuri/b35.gif
		
anim	attack8
	range	80 135
	rangez	-20 20
	loop	0
	delay	5
	offset	145 203
	bbox	132 115 33 80
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/kfyuri/b36.gif
	frame	data/chars/0yuri/kfyuri/b37.gif
	frame	data/chars/0yuri/kfyuri/b38.gif
	frame	data/chars/0yuri/kfyuri/b39.gif
	attack	156 132 73 40 60 1 0 0 50 15
	dropv	2 3
	frame	data/chars/0yuri/kfyuri/b40.gif
	frame	data/chars/0yuri/kfyuri/b41.gif
	delay	6
	frame	data/chars/0yuri/kfyuri/b41a.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/b42.gif
	frame	data/chars/0yuri/kfyuri/b43.gif
	frame	data/chars/0yuri/kfyuri/b44.gif
		
anim	attackdown
	loop	0
	delay	7
	offset	145 203
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 0.5
	frame	data/chars/0yuri/kfyuri/dgd01.gif
	frame	data/chars/0yuri/kfyuri/dgd02.gif
	@cmd	spawn01 "dust" 15 1 1
	frame	data/chars/0yuri/kfyuri/dgd03.gif
	frame	data/chars/0yuri/kfyuri/dgd04.gif
	frame	data/chars/0yuri/kfyuri/dgd05.gif
	frame	data/chars/0yuri/kfyuri/dgd06.gif
	frame	data/chars/0yuri/kfyuri/dgd07.gif
	frame	data/chars/0yuri/kfyuri/dgd08.gif
	@cmd	stop
	frame	data/chars/0yuri/kfyuri/dgd09.gif
	frame	data/chars/0yuri/kfyuri/dgd10.gif
	frame	data/chars/0yuri/kfyuri/dgd11.gif
		
anim	attackup
	loop	0
	delay	7
	offset	145 203
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 -0.5
	frame	data/chars/0yuri/kfyuri/dgd01.gif
	frame	data/chars/0yuri/kfyuri/dgd02.gif
	@cmd	spawn01 "dust" 15 1 1
	frame	data/chars/0yuri/kfyuri/dgd03.gif
	frame	data/chars/0yuri/kfyuri/dgd04.gif
	frame	data/chars/0yuri/kfyuri/dgd05.gif
	frame	data/chars/0yuri/kfyuri/dgd06.gif
	frame	data/chars/0yuri/kfyuri/dgd07.gif
	frame	data/chars/0yuri/kfyuri/dgd08.gif
	@cmd	stop
	frame	data/chars/0yuri/kfyuri/dgd09.gif
	frame	data/chars/0yuri/kfyuri/dgd10.gif
	frame	data/chars/0yuri/kfyuri/dgd11.gif
		
anim	block
	loop	0
	delay	7
	offset	145 203
	bbox	130 115 33 60
	frame	data/chars/0yuri/kfyuri/blk01.gif
	frame	data/chars/0yuri/kfyuri/blk02.gif
	delay	20
	frame	data/chars/0yuri/kfyuri/blk03.gif
		
anim	burn
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall1.gif
	delay	10
	frame	data/chars/0yuri/kfyuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/kfyuri/fall3.gif
	delay	180
	frame	data/chars/0yuri/kfyuri/fall4.gif
	delay	20
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	cant
	loop	0
	delay	7
	offset	145 203
	bbox	132 115 33 80
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/win01.gif
	frame	data/chars/0yuri/kfyuri/win02.gif
	frame	data/chars/0yuri/kfyuri/chrg00.gif
	frame	data/chars/0yuri/kfyuri/chrg01.gif
	frame	data/chars/0yuri/kfyuri/chrg02.gif
	frame	data/chars/0yuri/kfyuri/de01.gif
	frame	data/chars/0yuri/kfyuri/de02.gif
	delay	15
	frame	data/chars/0yuri/kfyuri/de01.gif
		
anim	charge
	loop	0
	delay	6
	offset	145 203
	bbox	132 115 33 80
	sound	data/sounds/yurch.wav
	frame	data/chars/0yuri/kfyuri/win01.gif
	frame	data/chars/0yuri/kfyuri/win02.gif
	frame	data/chars/0yuri/kfyuri/chrg00.gif
	frame	data/chars/0yuri/kfyuri/chrg03.gif
	frame	data/chars/0yuri/kfyuri/chrg04.gif
	frame	data/chars/0yuri/kfyuri/chrg05.gif
	frame	data/chars/0yuri/kfyuri/chrg06.gif
	@cmd	updateframe getlocalvar("self") 3
	frame	data/chars/0yuri/kfyuri/chrg01.gif
	frame	data/chars/0yuri/kfyuri/chrg02.gif
		
anim	chargeattack
	chargetime	1
	loop	0
	delay	7
	offset	145 203
	bbox	0 0 0 0
	staydown	300 300
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/0yuri/kfyuri/b27.gif
	frame	data/chars/0yuri/kfyuri/b28.gif
	frame	data/chars/0yuri/kfyuri/b29.gif
	delay	12
	blast	145 105 79 45 50 0 0 25 0
	frame	data/chars/0yuri/kfyuri/b30.gif
	frame	data/chars/0yuri/kfyuri/b31.gif
	delay	8
	frame	data/chars/0yuri/kfyuri/b32.gif
	blast	0 0 0 0
	frame	data/chars/0yuri/kfyuri/b33.gif
	frame	data/chars/0yuri/kfyuri/b34.gif
	frame	data/chars/0yuri/kfyuri/b35.gif
		
anim	death
	delay	35
	offset	145 203
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/fall4.gif
	delay	8
	frame	data/chars/0yuri/kfyuri/rise1.gif
	frame	data/chars/0yuri/kfyuri/rise2.gif
	frame	data/chars/0yuri/kfyuri/rise3.gif
	frame	data/chars/0yuri/kfyuri/rise4.gif
	frame	data/chars/0yuri/kfyuri/rise5.gif
	frame	data/chars/0yuri/kfyuri/rise6.gif
	delay	12
	frame	data/chars/0yuri/kfyuri/dgd11.gif
	frame	data/chars/0yuri/kfyuri/de01.gif
	sound	data/sounds/yurde.wav
	frame	data/chars/0yuri/kfyuri/de02.gif
	frame	data/chars/0yuri/kfyuri/de03.gif
	frame	data/chars/0yuri/kfyuri/de04.gif
	frame	data/chars/0yuri/kfyuri/de05.gif
	frame	data/chars/0yuri/kfyuri/de06.gif
	frame	data/chars/0yuri/kfyuri/de07.gif
	frame	data/chars/0yuri/kfyuri/de06.gif
	frame	data/chars/0yuri/kfyuri/de07.gif
	delay	100
	frame	data/chars/0yuri/kfyuri/de07.gif
		
anim	fall
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall1.gif
	delay	10
	frame	data/chars/0yuri/kfyuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/kfyuri/fall3.gif
	delay	10
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	fall15
	loop	0
	delay	5
	offset	145 203
	bbox	0 0 0 0
	sound	data/sounds/water_splash01.wav
	frame	data/chars/0yuri/empty.gif
	@cmd	spawnAni "byowater" 1 1 1 "ANI_FOLLOW3"
	frame	data/chars/0yuri/empty.gif
	delay	300
	frame	data/chars/0yuri/empty.gif
	delay	10
	frame	data/chars/0yuri/empty.gif
	@cmd	suicide
	frame	data/chars/0yuri/empty.gif
		
anim	fall2
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/pain4.gif
	delay	10
	frame	data/chars/0yuri/kfyuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/kfyuri/fall3.gif
	delay	10
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	fall3
	loop	0
	delay	50
	offset	145 205
	bbox	109 123 50 59
	landframe	3
	frame	data/chars/0yuri/kfyuri/pain4.gif
	delay	10
	bbox	100 140 74 26
	frame	data/chars/0yuri/kfyuri/fall2.gif
	delay	300
	bbox	96 160 59 30
	frame	data/chars/0yuri/kfyuri/fall3.gif
	delay	10
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	fall4
	loop	0
	delay	2
	offset	145 205
	bbox	0 0 0 0
	flipframe	0
	move	-3
	frame	data/chars/0yuri/kfyuri/fall9.gif
	frame	data/chars/0yuri/kfyuri/fall9.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/kfyuri/fall11.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/kfyuri/fall11.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/kfyuri/fall14.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/kfyuri/fall14.gif
	frame	data/chars/0yuri/kfyuri/fall9.gif	#12
	frame	data/chars/0yuri/kfyuri/fall9.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/kfyuri/fall11.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/kfyuri/fall11.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/kfyuri/fall14.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/kfyuri/fall14.gif
	@cmd	looper 12 8
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall9.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall9.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall10.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall11.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall11.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall12.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall13.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall14.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/kfyuri/fall14.gif
	frame	data/chars/misc/empty.gif
		
anim	fall5
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	landframe	9
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	@cmd	looper 4 10
	delay	300
	frame	data/chars/0yuri/kfyuri/fall5.gif
	delay	100
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	fall6
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	landframe	9
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	@cmd	looper 4 10
	delay	300
	frame	data/chars/0yuri/kfyuri/fall5.gif
	delay	14
	frame	data/chars/0yuri/kfyuri/fall4.gif
	offset	145 204
	frame	data/chars/0yuri/kfyuri/fall4.gif
	delay	700
	offset	145 205
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/slam0.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam1.gif
	offset	50 85
	frame	data/chars/0yuri/kfyuri/slam2.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam3.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam4.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam5.gif
	offset	40 87
	frame	data/chars/0yuri/kfyuri/slam6.gif
	offset	20 90
	frame	data/chars/0yuri/kfyuri/slam7.gif
	offset	65 55
	frame	data/chars/0yuri/kfyuri/slam8.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam9.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam10.gif
	offset	20 90
	frame	data/chars/0yuri/kfyuri/slam11.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam12.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam13.gif
	offset	50 85
	frame	data/chars/0yuri/kfyuri/slam14.gif
	offset	48 100
	frame	data/chars/0yuri/kfyuri/slam15.gif
	offset	55 70
	frame	data/chars/0yuri/kfyuri/slam16.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam17.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam18.gif
	offset	50 100
	frame	data/chars/0yuri/kfyuri/slam19.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam20.gif
	offset	50 95
	frame	data/chars/0yuri/kfyuri/slam21.gif
	offset	50 95
	frame	data/chars/0yuri/kfyuri/slam22.gif
	offset	59 95
	frame	data/chars/0yuri/kfyuri/slam23.gif
	offset	59 80
	frame	data/chars/0yuri/kfyuri/slam24.gif
	offset	50 100
	bbox	25 10 60 80
	frame	data/chars/0yuri/kfyuri/slambbox1.gif
		
anim	fall8
	loop	0
	delay	5
	offset	145 203
	bbox	0 0 0 0
	sound	data/sounds/water_splash01.wav
	frame	data/chars/0yuri/empty.gif
	@cmd	spawnAni "byowater" 1 1 1 "ANI_FOLLOW2"
	frame	data/chars/0yuri/empty.gif
	delay	300
	frame	data/chars/0yuri/empty.gif
	delay	10
	frame	data/chars/0yuri/empty.gif
	@cmd	suicide
	frame	data/chars/0yuri/empty.gif
		
anim	fall9
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	landframe	9
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	frame	data/chars/0yuri/kfyuri/fall5.gif
	frame	data/chars/0yuri/kfyuri/fall6.gif
	frame	data/chars/0yuri/kfyuri/fall7.gif
	frame	data/chars/0yuri/kfyuri/fall8.gif
	@cmd	looper 4 10
	delay	300
	frame	data/chars/0yuri/kfyuri/fall5.gif
	delay	100
	frame	data/chars/0yuri/kfyuri/fall4.gif
		
anim	follow10
	loop	0
	delay	7
	offset	145 203
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	jumpframe	0 2 0.7
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/0yuri/kfyuri/a23.gif
	frame	data/chars/0yuri/kfyuri/c06.gif
	frame	data/chars/0yuri/kfyuri/c07.gif
	frame	data/chars/0yuri/kfyuri/grd07.gif
	frame	data/chars/0yuri/kfyuri/grd08.gif
	frame	data/chars/0yuri/kfyuri/grd09.gif
	frame	data/chars/0yuri/kfyuri/grd10.gif
	attack11	130 185 45 25 50 1 0 0 10 10
	dropv	2 0 0.6
	frame	data/chars/0yuri/kfyuri/grd11.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/0yuri/kfyuri/grd11.gif
	frame	data/chars/0yuri/kfyuri/grd11.gif
	attack11	0 0 0 0
	delay	8
	frame	data/chars/0yuri/kfyuri/grd12.gif
	frame	data/chars/0yuri/kfyuri/dgd09.gif
	frame	data/chars/0yuri/kfyuri/dgd10.gif
	frame	data/chars/0yuri/kfyuri/dgd11.gif
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	6
	offset	145 203
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	8
	frame	data/chars/0yuri/kfyuri/ju02.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju02a.gif
	frame	data/chars/0yuri/kfyuri/ju03.gif
	frame	data/chars/0yuri/kfyuri/ju04.gif
	delay	300
	frame	data/chars/0yuri/kfyuri/ju05.gif
	delay	12
	frame	data/chars/0yuri/kfyuri/ju00a.gif
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	145 203
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/dgd08.gif
	frame	data/chars/0yuri/kfyuri/dgd07.gif
	@cmd	dasher -3 0 0
	frame	data/chars/0yuri/kfyuri/dgd06.gif
	frame	data/chars/0yuri/kfyuri/dgd05.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/0yuri/kfyuri/dgd04.gif
	frame	data/chars/0yuri/kfyuri/dgd03.gif
	frame	data/chars/0yuri/kfyuri/dgd02.gif
	frame	data/chars/0yuri/kfyuri/dgd01.gif
	delay	12
	@cmd	stop
	frame	data/chars/0yuri/kfyuri/dgd11.gif
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 13)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 203
	bbox	0 0 0 0
	jumpframe	2 2.4
	frame	data/chars/0yuri/kfyuri/empty.gif
	delay	6
	frame	data/chars/0yuri/kfyuri/grabat01.gif
	frame	data/chars/0yuri/kfyuri/grabat03.gif
	frame	data/chars/0yuri/kfyuri/grabat04.gif
	frame	data/chars/0yuri/kfyuri/grabat05.gif
	frame	data/chars/0yuri/kfyuri/rise5.gif
	frame	data/chars/0yuri/kfyuri/rise6.gif
	frame	data/chars/0yuri/kfyuri/dgd11.gif
	delay	9
	frame	data/chars/0yuri/kfyuri/blk01.gif
	frame	data/chars/0yuri/kfyuri/win01.gif
	frame	data/chars/0yuri/kfyuri/win02.gif
	frame	data/chars/0yuri/kfyuri/win03.gif
	delay	25
	frame	data/chars/0yuri/kfyuri/win04.gif
	delay	3
	frame	data/chars/0yuri/kfyuri/win04.gif
		
anim	follow3
	loop	0
	delay	3
	offset	145 203
	bbox	0 0 0 0
	quakeframe	142 5 5
	forcedirection	-1
	fastattack	1
	hitfx	data/sounds/beat2.wav
	@cmd	stop
	@cmd	clearL
	frame	data/chars/0yuri/kfyuri/dgd11.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a17.gif
	frame	data/chars/0yuri/kfyuri/a18.gif
	attack	140 120 60 45 2 0 1 0 14 30
	frame	data/chars/0yuri/kfyuri/a19.gif
	frame	data/chars/0yuri/kfyuri/a20.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a21.gif
	frame	data/chars/0yuri/kfyuri/a22.gif
	frame	data/chars/0yuri/kfyuri/a23.gif
	frame	data/chars/0yuri/kfyuri/a07.gif
	frame	data/chars/0yuri/kfyuri/a08.gif
	attack	140 120 60 45 2 0 1 0 14 30
	frame	data/chars/0yuri/kfyuri/a09.gif
	frame	data/chars/0yuri/kfyuri/a10.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a11.gif
	frame	data/chars/0yuri/kfyuri/a01.gif
	attack	140 120 60 45 2 0 1 0 14 30
	frame	data/chars/0yuri/kfyuri/a02.gif
	frame	data/chars/0yuri/kfyuri/a03.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a04.gif
	frame	data/chars/0yuri/kfyuri/a28.gif
	attack	140 120 60 45 2 0 1 0 14 30
	frame	data/chars/0yuri/kfyuri/a29.gif
	frame	data/chars/0yuri/kfyuri/a30.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a31.gif
	frame	data/chars/0yuri/kfyuri/a32.gif
	frame	data/chars/0yuri/kfyuri/a07.gif
	frame	data/chars/0yuri/kfyuri/a08.gif
	attack	140 120 60 45 2 0 1 0 14 30
	frame	data/chars/0yuri/kfyuri/a09.gif
	frame	data/chars/0yuri/kfyuri/a10.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a11.gif
