name		kyurifall
	frame	data/chars/0yuri/kfyuri/fall8.gif
		
anim	fall
	loop	0
	delay	50
	offset	149 205
	bbox	0 0 0 0
	landframe	2
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/kfyuri/fall1.gif
	delay	350
	frame	data/chars/0yuri/kfyuri/fall2.gif
	delay	12
	frame	data/chars/0yuri/kfyuri/fall3.gif
	frame	data/chars/0yuri/kfyuri/fall3.gif
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/slam0.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam1.gif
	offset	50 85
	frame	data/chars/0yuri/kfyuri/slam2.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam3.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam4.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam5.gif
	offset	40 87
	frame	data/chars/0yuri/kfyuri/slam6.gif
	offset	20 90
	frame	data/chars/0yuri/kfyuri/slam7.gif
	offset	65 55
	frame	data/chars/0yuri/kfyuri/slam8.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam9.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam10.gif
	offset	20 90
	frame	data/chars/0yuri/kfyuri/slam11.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam12.gif
	offset	75 55
	frame	data/chars/0yuri/kfyuri/slam13.gif
	offset	50 85
	frame	data/chars/0yuri/kfyuri/slam14.gif
	offset	48 100
	frame	data/chars/0yuri/kfyuri/slam15.gif
	offset	55 70
	frame	data/chars/0yuri/kfyuri/slam16.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam17.gif
	offset	65 83
	frame	data/chars/0yuri/kfyuri/slam18.gif
	offset	50 100
	frame	data/chars/0yuri/kfyuri/slam19.gif
	offset	45 95
	frame	data/chars/0yuri/kfyuri/slam20.gif
	offset	50 95
	frame	data/chars/0yuri/kfyuri/slam21.gif
	offset	50 95
	frame	data/chars/0yuri/kfyuri/slam22.gif
	offset	59 95
	frame	data/chars/0yuri/kfyuri/slam23.gif
	offset	59 80
	frame	data/chars/0yuri/kfyuri/slam24.gif
	offset	50 100
	bbox	25 10 60 80
	frame	data/chars/0yuri/kfyuri/slambbox1.gif
		
anim	follow2
	loop	0
	delay	9
	offset	160 190
	bbox	0 0 0 0
	jumpframe	1 2 -2
	bbox	0 0 0 0
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/jub05.gif
	frame	data/chars/0yuri/kfyuri/jub05.gif
	frame	data/chars/0yuri/kfyuri/jub04.gif
	frame	data/chars/0yuri/kfyuri/jub03.gif
	frame	data/chars/0yuri/kfyuri/jub01.gif
	frame	data/chars/0yuri/kfyuri/jub01.gif
		
anim	forwardjump
	loop	1
	delay	5
	offset	135 178
	bbox	114 95 45 60
	frame	data/chars/0yuri/kfyuri/air/b35.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
		
anim	grab
	loop	1
	delay	7
	offset	121 201
	bbox	95 100 65 55
	frame	data/chars/0yuri/kfyuri/air/grab01.gif
	frame	data/chars/0yuri/kfyuri/air/grab02.gif
		
anim	grabattack
	loop	0
	delay	5
	offset	121 201
	bbox	95 100 65 55
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/grab01.gif
	delay	23
	attack6	120 138 30 26 15 0 1 0 16 0
	frame	data/chars/0yuri/kfyuri/air/hold1.gif
		
anim	grabattack2
	attackone	0
	loop	0
	delay	9
	offset	140 200
	bbox	0 0 0 0
	jumpframe	2 2 0 -2
	landframe	5
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/kfyuri/air/hold3.gif
	frame	data/chars/0yuri/kfyuri/air/hold4.gif
	blast	125 102 43 94 35 0 0 0 20 0
	dropv	1 1 4
	delay	15
	frame	data/chars/0yuri/kfyuri/air/hold5.gif
	frame	data/chars/0yuri/kfyuri/air/hold6.gif
	delay	500
	frame	data/chars/0yuri/kfyuri/air/hold6.gif
	blast	0 0 0 0
	delay	9
	frame	data/chars/0yuri/kfyuri/air/hold4.gif
	frame	data/chars/0yuri/kfyuri/air/hold3.gif
	delay	7
	frame	data/chars/0yuri/kfyuri/air/hold7.gif
	frame	data/chars/0yuri/kfyuri/air/hold8.gif
	frame	data/chars/0yuri/kfyuri/air/hold9.gif
	frame	data/chars/0yuri/kfyuri/air/hold10.gif
		
anim	grabbackward
	loop	0
	delay	20
	offset	121 201
	bbox	0 0 0 0
	@cmd	slamstart
	@cmd	position 6 20 50 -1 -1
	sound	data/sounds/grab.wav
	frame	data/chars/0yuri/kfyuri/air/grab03.gif
	delay	12
	@cmd	dasher 0 0 -1.5
	@cmd	position 6 35 50 -1 -1
	frame	data/chars/0yuri/kfyuri/air/grab04.gif
	sound	data/sounds/yur01.wav
	@cmd	position 6 35 55 -1 -1
	frame	data/chars/0yuri/kfyuri/air/grab05.gif
	@cmd	position 0 60 80 -1 -1
	frame	data/chars/0yuri/kfyuri/air/grab06.gif
	@cmd	dasher 0 0 1
	@cmd	position 13 60 75 -1 1
	frame	data/chars/0yuri/kfyuri/air/grab07.gif
	@cmd	position 9 20 120 -1 1
	frame	data/chars/0yuri/kfyuri/air/grab08.gif
	@cmd	position 12 -20 90 -1 -1
	frame	data/chars/0yuri/kfyuri/air/grab09.gif
	@cmd	stop
	@cmd	depost 0
	@cmd	finish 50 1 3 0.5 0 -1
	frame	data/chars/0yuri/kfyuri/air/grab10.gif
		
anim	grabforward
	loop	0
	delay	5
	offset	121 201
	bbox	95 100 65 55
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/grab02.gif
	delay	23
	attack6	141 138 30 28 15 0 1 0 16 0
	frame	data/chars/0yuri/kfyuri/air/hold2.gif
		
anim	grabforward2
	attackone	0
	loop	0
	delay	9
	offset	140 200
	bbox	0 0 0 0
	jumpframe	2 2 0 -2
	landframe	5
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/kfyuri/air/hold3.gif
	frame	data/chars/0yuri/kfyuri/air/hold4.gif
	blast	125 102 43 94 35 0 0 0 20 0
	dropv	1 1 4
	delay	15
	frame	data/chars/0yuri/kfyuri/air/hold5.gif
	frame	data/chars/0yuri/kfyuri/air/hold6.gif
	delay	500
	frame	data/chars/0yuri/kfyuri/air/hold6.gif
	blast	0 0 0 0
	delay	9
	frame	data/chars/0yuri/kfyuri/air/hold4.gif
	frame	data/chars/0yuri/kfyuri/air/hold3.gif
	delay	7
	frame	data/chars/0yuri/kfyuri/air/hold7.gif
	frame	data/chars/0yuri/kfyuri/air/hold8.gif
	frame	data/chars/0yuri/kfyuri/air/hold9.gif
	frame	data/chars/0yuri/kfyuri/air/hold10.gif
		
anim	idle
	loop	1 1 5
	delay	7
	offset	135 178
	bbox	117 87 45 72
	frame	data/chars/0yuri/kfyuri/air/ju00.gif
	frame	data/chars/0yuri/kfyuri/air/ju01.gif
	frame	data/chars/0yuri/kfyuri/air/ju02.gif
	frame	data/chars/0yuri/kfyuri/air/ju01.gif
	frame	data/chars/0yuri/kfyuri/air/ju02.gif
	frame	data/chars/0yuri/kfyuri/air/ju01.gif
	frame	data/chars/0yuri/kfyuri/air/ju02.gif
		
anim	jump
	loop	1
	delay	5
	offset	135 178
	bbox	114 95 45 55
	frame	data/chars/0yuri/kfyuri/air/ju02a.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
		
anim	jumpattack
	followanim	2
	followcond	1
	loop	0
	delay	9
	offset	160 190
	bbox	127 100 45 40
	jumpframe	1 1.5 1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/yur01.wav
	frame	data/chars/0yuri/kfyuri/jub02.gif
	frame	data/chars/0yuri/kfyuri/jub03.gif
	frame	data/chars/0yuri/kfyuri/jub04.gif
	delay	35
	attack	125 100 50 60 30 1 1 0 50 0
	@cmd	leaper 2 -1 0
	dropv	1 1 2
	frame	data/chars/0yuri/kfyuri/jub05.gif
	delay	15
	frame	data/chars/0yuri/kfyuri/jub05.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/kfyuri/jub05.gif
		

anim	jumpland
	loop	0
	delay	5
	offset	135 178
	bbox	114 105 45 43
	@cmd	keymove 1
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	@cmd	keymove 1
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	@cmd	keymove 1
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
		
anim	pain
	loop	0
	delay	6
	offset	140 208
	bbox	120 115 45 72
	frame	data/chars/0yuri/kfyuri/pain1.gif
	frame	data/chars/0yuri/kfyuri/pain2.gif
	frame	data/chars/0yuri/kfyuri/pain1.gif
		
anim	pain2
	loop	0
	delay	6
	offset	140 208
	bbox	120 115 45 72
	frame	data/chars/0yuri/kfyuri/pain3.gif
	frame	data/chars/0yuri/kfyuri/pain4.gif
	frame	data/chars/0yuri/kfyuri/pain3.gif
		
anim	respawn
	loop	0
	delay	7
	offset	135 178
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/ju01.gif
	frame	data/chars/0yuri/kfyuri/air/ju02.gif
	frame	data/chars/0yuri/kfyuri/air/ju01.gif
	frame	data/chars/0yuri/kfyuri/air/ju02.gif
		
anim	rise
	loop	0
	delay	6
	offset	135 178
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/b35.gif
		
anim	run
	loop	1 4 8
	delay	6
	offset	145 220
	bbox	130 130 45 40
	frame	data/chars/0yuri/kfyuri/grabat01.gif
	frame	data/chars/0yuri/kfyuri/grabat02.gif
	frame	data/chars/0yuri/kfyuri/grabat04.gif
	frame	data/chars/0yuri/kfyuri/grabat05.gif
	frame	data/chars/0yuri/kfyuri/air/grabat06.gif
	frame	data/chars/0yuri/kfyuri/air/grabat07.gif
	frame	data/chars/0yuri/kfyuri/air/grabat06.gif
	frame	data/chars/0yuri/kfyuri/air/grabat07.gif
	frame	data/chars/0yuri/kfyuri/air/grabat06.gif
	frame	data/chars/0yuri/kfyuri/air/grabat07.gif
		
anim	runattack
	loop	0
	delay	2
	offset	141 178
	bbox	120 100 45 40
	forcedirection	-1
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/yur02.wav
	move	6
	frame	data/chars/0yuri/kfyuri/air/jua04.gif
	frame	data/chars/0yuri/kfyuri/air/jua04.gif
	frame	data/chars/0yuri/kfyuri/air/jua04.gif
	frame	data/chars/0yuri/kfyuri/air/jua05.gif
	frame	data/chars/0yuri/kfyuri/air/jua05.gif
	frame	data/chars/0yuri/kfyuri/air/jua05.gif
	frame	data/chars/0yuri/kfyuri/air/jua06.gif
	frame	data/chars/0yuri/kfyuri/air/jua06.gif
	frame	data/chars/0yuri/kfyuri/air/jua06.gif
	frame	data/chars/0yuri/kfyuri/air/jua07.gif
	frame	data/chars/0yuri/kfyuri/air/jua07.gif
	frame	data/chars/0yuri/kfyuri/air/jua07.gif
	frame	data/chars/0yuri/kfyuri/air/jua08.gif
	frame	data/chars/0yuri/kfyuri/air/jua08.gif
	frame	data/chars/0yuri/kfyuri/air/jua08.gif
	delay	3
	attack	121 110 75 45 30 1 1 0 50 0
	dropv	2 2 0
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	frame	data/chars/0yuri/kfyuri/air/jua09.gif
	attack	0 0 0 0
	delay	4
	move	4
	frame	data/chars/0yuri/kfyuri/air/jua10.gif
	frame	data/chars/0yuri/kfyuri/air/jua10.gif
	frame	data/chars/0yuri/kfyuri/air/jua11.gif
	frame	data/chars/0yuri/kfyuri/air/jua11.gif
	frame	data/chars/0yuri/kfyuri/air/jua12.gif
	frame	data/chars/0yuri/kfyuri/air/jua12.gif
	move	0
	frame	data/chars/0yuri/kfyuri/air/jua13.gif
	frame	data/chars/0yuri/kfyuri/air/jua13.gif
	frame	data/chars/0yuri/kfyuri/air/jua14.gif
	frame	data/chars/0yuri/kfyuri/air/jua14.gif
	frame	data/chars/0yuri/kfyuri/air/jua15.gif
	frame	data/chars/0yuri/kfyuri/air/jua15.gif
		
anim	runjump
	loop	1
	delay	5
	offset	135 178
	bbox	120 95 45 50
	frame	data/chars/0yuri/kfyuri/air/b35.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
	frame	data/chars/0yuri/kfyuri/air/ju06.gif
	frame	data/chars/0yuri/kfyuri/air/ju07.gif
	frame	data/chars/0yuri/kfyuri/air/ju08.gif
	frame	data/chars/0yuri/kfyuri/air/ju09.gif
	sound	data/sounds/jump.wav
	frame	data/chars/0yuri/kfyuri/air/ju10.gif
	frame	data/chars/0yuri/kfyuri/air/ju03.gif
	frame	data/chars/0yuri/kfyuri/air/ju04.gif
	frame	data/chars/0yuri/kfyuri/air/ju05.gif
		
anim	runjumpattack
	loop	0
	delay	10
	offset	130 186
	bbox	120 90 33 50
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/kfyuri/air/jua28.gif
	frame	data/chars/0yuri/kfyuri/air/jua29.gif
	delay	15
	attack2	138 108 60 70 35 1 0 0 30 0
	frame	data/chars/0yuri/kfyuri/air/jua30.gif
	frame	data/chars/0yuri/kfyuri/air/jua30.gif
		
anim	spawn
	loop	0
	delay	5
	offset	121 186
	bbox	0 0 0 0
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	@cmd	dasher 0 0 0.7
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	@cmd	looper 2 11
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	@cmd	dasher 0 0 -0.4
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
	frame	data/chars/0yuri/kfyuri/air/spawn02.gif
	@cmd	looper 8 5
	frame	data/chars/0yuri/kfyuri/air/spawn01.gif
