name		crocker
	frame	data/chars/2bike7/xbiker05.gif
	sound	data/sounds/gun.wav
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/xbiker07.gif
	frame	data/chars/2bike7/xbiker04.gif
	attack2	-190 75 245 14 6 1 0 0 11 0
	frame	data/chars/2bike7/xbiker05.gif
	attack2	0 0 0 0
	frame	data/chars/2bike7/xbiker06.gif
	frame	data/chars/2bike7/xbiker07.gif
	frame	data/chars/2bike7/biker11.gif
	frame	data/chars/2bike7/biker12.gif
	offset	145 150
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	frame	data/chars/2bike7/biker09.gif
	frame	data/chars/2bike7/biker10.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif
	frame	data/chars/2bike7/biker05.gif
	frame	data/chars/2bike7/biker06.gif





anim	attack3
	range	-80 80
	rangez	10 100
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	sound	data/sounds/grab.wav
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	@cmd	tosser "frag" -60 85 0 0 4.2 0.4
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif

	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif







anim	attack4
	range	-80 80
	rangez	-100 -10
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	sound	data/sounds/grab.wav
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	@cmd	tosser "frag" -60 85 0 0 4.2 -0.4
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif
	frame	data/chars/2bike7/ybiker05.gif
	frame	data/chars/2bike7/ybiker06.gif

	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker03.gif
	frame	data/chars/2bike7/ybiker04.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif
	frame	data/chars/2bike7/ybiker02.gif
	frame	data/chars/2bike7/ybiker01.gif











		
anim	death
	loop	0
	delay	40
	offset	145 140
	bbox	95 55 80 82
	jumpframe	0 6 -1
	landframe	3
	@cmd	killgun 2 0
	@cmd	spawn01 "cardam2" -20 30 7
	@cmd	spawn01 "bike5crash" -20 0 5
	@cmd	spawn01 "explosion1" -10 50 10
	frame	data/chars/2bike7/fall1.gif
	frame	data/chars/2bike7/fall2.gif
	delay	200
	frame	data/chars/2bike7/fall3.gif
	delay	2
	move	-6
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/2bike7/fall5.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/2bike7/fall7.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/2bike7/fall9.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/2bike7/fall5.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/2bike7/fall7.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/2bike7/fall9.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/2bike7/fall5.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/2bike7/fall7.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/2bike7/fall9.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/2bike7/fall5.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/2bike7/fall7.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/2bike7/fall9.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/2bike7/fall5.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/2bike7/fall7.gif
	@cmd	spawn01 "dust3" -55 10 5
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/2bike7/fall9.gif
	@cmd	spawn01 "dust3" 5 10 5
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall4.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall5.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall6.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall7.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall8.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall9.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/2bike7/fall10.gif
	frame	data/chars/misc/empty.gif
		
anim	fall
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif





anim	follow2
	loop	0
	delay	10
	offset	145 150
	bbox	0 0 0 0
	frame	data/chars/2bike7/biker01.gif
	@cmd	spawnGun5 "vhclight1" 45 60 1 2 "ANI_FOLLOW2"
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif






		
anim	idle
	loop	1
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif

		
anim	pain
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	move	9
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
		
anim	pain2
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	move	-9
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
	frame	data/chars/2bike7/pain01.gif
	frame	data/chars/2bike7/pain02.gif
		
anim	rise
	loop	0
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
		
anim	spawn
	loop	0
	delay	5
	offset	145 150
	bbox	0 0 0 0
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif







anim	walk
	loop	1
	delay	5
	offset	145 150
	bbox	95 55 80 82
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	sound	data/sounds/bike2.wav
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif
	frame	data/chars/2bike7/biker01.gif
	frame	data/chars/2bike7/biker02.gif






		
#|edited by openBor Stats v 0.53
		
