name          bomber
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	frame	data/chars/2officeguy6/wk08.gif
	move	12
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	frame	data/chars/2officeguy6/wk08.gif
	move	15
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	@cmd	suicide
	frame	data/chars/2officeguy6/wk08.gif
		
anim	pain
	loop	0
	delay	3
	offset	103 189
	bbox	79 97 50 91
	frame	data/chars/2officeguy6/pain0.gif
	offset	100 189
	frame	data/chars/2officeguy6/pain1.gif
	offset	107 189
	frame	data/chars/2officeguy6/pain1.gif
	delay	40
	offset	100 189
	frame	data/chars/2officeguy6/pain1.gif
		
anim	pain2
	loop	0
	delay	3
	offset	103 189
	bbox	79 97 50 91
	frame	data/chars/2officeguy6/pain0.gif
	offset	100 189
	frame	data/chars/2officeguy6/pain2.gif
	offset	107 189
	frame	data/chars/2officeguy6/pain2.gif
	delay	40
	offset	100 189
	frame	data/chars/2officeguy6/pain2.gif
		
anim	pain3
	loop	0
	delay	1
	offset	103 189
	bbox	0 0 0 0
	jumpframe	1 2 -1 0
	frame	data/chars/2officeguy6/pain1.gif
	delay	25
	frame	data/chars/2officeguy6/fall2.gif
	delay	12
	frame	data/chars/2officeguy6/fall3.gif
	delay	4
	bbox	71 165 67 30
	frame	data/chars/2officeguy6/fall4.gif
	frame	data/chars/2officeguy6/fall5.gif
	frame	data/chars/2officeguy6/fall4.gif
	frame	data/chars/2officeguy6/fall5.gif
	delay	15
	bbox	0 0 0 0
	frame	data/chars/2officeguy6/fall4.gif
	delay	10
	frame	data/chars/2officeguy6/rise1.gif
	frame	data/chars/2officeguy6/rise2.gif
	frame	data/chars/2officeguy6/rise3.gif
		
anim	pain5
	loop	0
	delay	23
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/2officeguy6/pain1.gif
		
anim	pain6
	loop	0
	delay	23
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/2officeguy6/pain2.gif
		
anim	pain8
	loop	0
	delay	2
	offset	100 189
	bbox	79 97 50 91
	move	-6
	frame	data/chars/2officeguy6/pain1.gif
	frame	data/chars/2officeguy6/pain1.gif
	frame	data/chars/2officeguy6/pain1.gif
	frame	data/chars/2officeguy6/pain2.gif
	frame	data/chars/2officeguy6/pain2.gif
	frame	data/chars/2officeguy6/pain2.gif
	move	-3
	frame	data/chars/2officeguy6/pain2.gif
	frame	data/chars/2officeguy6/pain2.gif
	move	-1
	frame	data/chars/2officeguy6/pain2.gif
	delay	35
	frame	data/chars/2officeguy6/pain2.gif
		
anim	pain9
	loop	0
	delay	15
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/2officeguy6/pain1.gif
	delay	150
	frame	data/chars/2officeguy6/pain2.gif
		
anim	rise
	loop	0
	delay	15
	offset	100 189
	bbox	0 0 0 0
	frame	data/chars/2officeguy6/rise1.gif
	frame	data/chars/2officeguy6/rise2.gif
	frame	data/chars/2officeguy6/rise3.gif
	delay	12
	frame	data/chars/2officeguy6/rise4.gif
	frame	data/chars/2officeguy6/rise5.gif
	frame	data/chars/2officeguy6/rise6.gif
	frame	data/chars/2officeguy6/rise4.gif
	frame	data/chars/2officeguy6/rise5.gif
	frame	data/chars/2officeguy6/rise6.gif
	frame	data/chars/2officeguy6/rise4.gif
	frame	data/chars/2officeguy6/rise5.gif
	frame	data/chars/2officeguy6/rise6.gif
	delay	15
	frame	data/chars/2officeguy6/a108.gif
	frame	data/chars/2officeguy6/idle01.gif
		
anim	spawn
	loop	0
	delay	4
	offset	100 189
	bbox	79 97 50 91
	move	7
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	frame	data/chars/2officeguy6/wk08.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	frame	data/chars/2officeguy6/wk08.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk01.gif
	frame	data/chars/2officeguy6/wk02.gif
	frame	data/chars/2officeguy6/wk02.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk03.gif
	frame	data/chars/2officeguy6/wk04.gif
	frame	data/chars/2officeguy6/wk04.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk05.gif
	frame	data/chars/2officeguy6/wk06.gif
	frame	data/chars/2officeguy6/wk06.gif
	sound	data/sounds/run.wav
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk07.gif
	frame	data/chars/2officeguy6/wk08.gif
	frame	data/chars/2officeguy6/wk08.gif
	move	0
	delay	18
	frame	data/chars/2officeguy6/a108.gif
	delay	80
	frame	data/chars/2officeguy6/idle01.gif
	delay	12
	frame	data/chars/2officeguy6/a101.gif
	delay	8
	frame	data/chars/2officeguy6/a102.gif
	@cmd	tosser "molotv2" 25 35 0 0.7 5 0
	frame	data/chars/2officeguy6/a103.gif
	frame	data/chars/2officeguy6/a104.gif
	frame	data/chars/2officeguy6/a105.gif
	delay	12
	frame	data/chars/2officeguy6/a106.gif
	frame	data/chars/2officeguy6/a107.gif
	frame	data/chars/2officeguy6/a108.gif
	delay	120
	frame	data/chars/2officeguy6/idle01.gif
		
#|edited by openBor Stats v 0.53
		
