name          smrb2
	frame	data/chars/beyond/1cyb3/x02.gif
	frame	data/chars/beyond/1cyb3/x03.gif
	frame	data/chars/beyond/1cyb3/x04.gif
	delay	12
	frame	data/chars/beyond/1cyb3/xidle01.gif
	frame	data/chars/beyond/1cyb3/xidle02.gif
	frame	data/chars/beyond/1cyb3/xidle03.gif
		
anim	idle
	loop	1
	delay	6
	offset	93 128
	bbox	70 75 50 55 30
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/xidle03.gif
		
anim	pain
	loop	0
	delay	10
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/xidle03.gif
		
anim	pain2
	loop	0
	delay	10
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/xidle03.gif
		
anim	rise
	loop	0
	delay	14
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/xpain05.gif
	frame	data/chars/beyond/1cyb3/xpain01.gif
	frame	data/chars/beyond/1cyb3/xidle03.gif
		
anim	spawn
@script
if(frame==3)
{
  changeentityproperty(getlocalvar("self"), "type", openborconstant("TYPE_OBSTACLE"));
}
	@end_script	
	loop	0
	delay	7
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	jumpframe 0 2 0 0
	frame	data/chars/beyond/1cyb3/xidle01.gif
	frame	data/chars/beyond/1cyb3/xidle02.gif
	frame	data/chars/beyond/1cyb3/xpain03.gif
	frame	data/chars/beyond/1cyb3/xpain04.gif
	frame	data/chars/beyond/1cyb3/xpain06.gif
	frame	data/chars/beyond/1cyb3/xpain07.gif
	delay	40
	frame	data/chars/beyond/1cyb3/xidle03.gif


		
anim	walk
	loop	1
	delay	6
	offset	93 128
	bbox	70 75 50 55 30
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/xwk01.gif
	frame	data/chars/beyond/1cyb3/xwk02.gif
	frame	data/chars/beyond/1cyb3/xwk03.gif
	frame	data/chars/beyond/1cyb3/xwk04.gif
	sound	data/sounds/grenpin.wav
	frame	data/chars/beyond/1cyb3/xwk05.gif
	frame	data/chars/beyond/1cyb3/xwk06.gif
	frame	data/chars/beyond/1cyb3/xwk07.gif
	frame	data/chars/beyond/1cyb3/xwk08.gif
		
#|edited by openBor Stats v 0.53
		
