name          smrb1
	frame	data/chars/beyond/1cyb3/idle02.gif
	frame	data/chars/beyond/1cyb3/idle03.gif
	frame	data/chars/beyond/1cyb3/idle04.gif
		
anim	pain
	loop	0
	delay	10
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	@cmd	dasher -3.5 0 0
	frame	data/chars/beyond/1cyb3/pain00.gif
	delay	30
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/1cyb3/pain01.gif
	delay	20
	@cmd	dasher -1 0 0
	frame	data/chars/beyond/1cyb3/pain01.gif
	@cmd	stop
	frame	data/chars/beyond/1cyb3/pain01.gif
	delay	10
	frame	data/chars/beyond/1cyb3/pain00.gif
		
anim	pain2
	loop	0
	delay	10
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	@cmd	dasher -3.5 0 0
	frame	data/chars/beyond/1cyb3/pain00.gif
	delay	30
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/1cyb3/pain01.gif
	delay	20
	@cmd	dasher -1 0 0
	frame	data/chars/beyond/1cyb3/pain01.gif
	@cmd	stop
	frame	data/chars/beyond/1cyb3/pain01.gif
	delay	10
	frame	data/chars/beyond/1cyb3/pain00.gif
		
anim	rise
	loop	0
	delay	14
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/pain04.gif
	frame	data/chars/beyond/1cyb3/pain05.gif
		
anim	spawn
@script
if(frame==1)
{
  changeentityproperty(getlocalvar("self"), "type", openborconstant("TYPE_OBSTACLE"));
}
@end_script
	loop	0
	delay	50
	offset	93 128
	bbox	0 0 0 0
	platform   1 1 1 1 1 1 1 1
	frame	data/chars/beyond/1cyb3/idle01.gif
	frame	data/chars/beyond/1cyb3/idle01.gif
	frame	data/chars/beyond/1cyb3/idle01.gif
	delay	5
	frame	data/chars/beyond/1cyb3/idle01.gif
		
anim	walk
	loop	1
	delay	6
	offset	93 128
	bbox	70 75 50 55
	frame	data/chars/beyond/1cyb3/wk01.gif
	frame	data/chars/beyond/1cyb3/wk02.gif
	sound	data/sounds/grenpin.wav
	frame	data/chars/beyond/1cyb3/wk03.gif
	frame	data/chars/beyond/1cyb3/wk04.gif
		
#|edited by openBor Stats v 0.53
		
