name          graynosed
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
		
anim	block
	loop	0
	delay	14
	offset	105 192
	bbox	85 96 39 91
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien4/blk01.gif
	@cmd	spawnbind "gnpwr1" 7 1 1
	@cmd	dasher -2 0 0
	frame	data/chars/beyond/1alien4/blk01.gif
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/blk01.gif
	@cmd	dasher -1 0 0
	frame	data/chars/beyond/1alien4/blk01.gif
	frame	data/chars/beyond/1alien4/blk01.gif
	@cmd	dasher -0.5 0 0
	frame	data/chars/beyond/1alien4/blk01.gif
	frame	data/chars/beyond/1alien4/blk01.gif
	frame	data/chars/beyond/1alien4/blk01.gif
	frame	data/chars/beyond/1alien4/blk01.gif
	@cmd	stop
	delay	20
	@cmd	attack1 0 130 10 "ANI_ATTACK4"
	frame	data/chars/beyond/1alien4/blk01.gif
		
anim	burn
	loop	0
	delay	30
	offset	101 190
	bbox	0 0 0 0
	bouncefactor	0
	@cmd	dethrown
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	frame	data/chars/beyond/1alien4/fall1.gif
	delay	8
	frame	data/chars/beyond/1alien4/fall2.gif
	frame	data/chars/beyond/1alien4/fall3.gif
	frame	data/chars/beyond/1alien4/fall4.gif
		
anim	death
	loop	0
	delay	12
	offset	101 190
	bbox	0 0 0 0
	drawmethod	256 256 0 0 0 2 -1
	frame	data/chars/beyond/1alien4/fall10.gif
	frame	data/chars/beyond/1alien4/fall9.gif
	offset	102 183
	frame	data/chars/beyond/1alien4/spawn38.gif
	frame	data/chars/beyond/1alien4/spawn37.gif
	frame	data/chars/beyond/1alien4/spawn36.gif
	frame	data/chars/beyond/1alien4/spawn35.gif
	frame	data/chars/beyond/1alien4/spawn34.gif
	frame	data/chars/beyond/1alien4/spawn33.gif
	frame	data/chars/beyond/1alien4/spawn32.gif
	delay	6
	frame	data/chars/beyond/1alien4/spawn31.gif
	frame	data/chars/beyond/1alien4/spawn30.gif
	frame	data/chars/beyond/1alien4/spawn29.gif
	frame	data/chars/beyond/1alien4/spawn28.gif
	frame	data/chars/beyond/1alien4/spawn27.gif
	frame	data/chars/beyond/1alien4/spawn26.gif
	frame	data/chars/beyond/1alien4/spawn25.gif
	frame	data/chars/beyond/1alien4/spawn24.gif
	frame	data/chars/beyond/1alien4/spawn23.gif
	frame	data/chars/beyond/1alien4/spawn22.gif
	frame	data/chars/beyond/1alien4/spawn21.gif
	frame	data/chars/beyond/1alien4/spawn20.gif
	frame	data/chars/beyond/1alien4/spawn19.gif
	frame	data/chars/beyond/1alien4/spawn18.gif
	frame	data/chars/beyond/1alien4/spawn17.gif
	frame	data/chars/beyond/1alien4/spawn16.gif
	frame	data/chars/beyond/1alien4/spawn15.gif
	frame	data/chars/beyond/1alien4/spawn14.gif
	frame	data/chars/beyond/1alien4/spawn13.gif
	frame	data/chars/beyond/1alien4/spawn12.gif
	frame	data/chars/beyond/1alien4/spawn11.gif
	frame	data/chars/beyond/1alien4/spawn10.gif
	frame	data/chars/beyond/1alien4/spawn09.gif
	frame	data/chars/beyond/1alien4/spawn08.gif
	drawmethod	256 256 0 0 0 1 -1
	frame	data/chars/beyond/1alien4/spawn07.gif
	frame	data/chars/beyond/1alien4/spawn06.gif
	frame	data/chars/beyond/1alien4/spawn05.gif
	frame	data/chars/beyond/1alien4/spawn04.gif
	frame	data/chars/beyond/1alien4/spawn03.gif
	frame	data/chars/beyond/1alien4/spawn02.gif
	frame	data/chars/beyond/1alien4/spawn01.gif
	frame	data/chars/beyond/1alien4/spawn00.gif
		
anim	fall
	loop	0
	delay	30
	offset	101 190
	bbox	0 0 0 0
	bouncefactor	0
	@cmd	dethrown
	landframe	3
	@cmd	blinking 1
	frame	data/chars/beyond/1alien4/fall1.gif
	delay	8
	frame	data/chars/beyond/1alien4/fall2.gif
	frame	data/chars/beyond/1alien4/fall3.gif
	@cmd	blinking 0
	frame	data/chars/beyond/1alien4/fall4.gif
		
anim	fall10
	loop	0
	delay	10
	offset	101 190
	bbox	79 97 50 91
	bouncefactor	0
	landframe	4
	attack	78 104 28 44 5 1 0 0 13
	frame	data/chars/beyond/1alien4/pain6.gif
	delay	40
	frame	data/chars/beyond/1alien4/pain7.gif
	delay	30
	bbox	71 132 63 30
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/beyond/1alien4/fall2.gif
	delay	1000
	attack	0 0 0 0
	frame	data/chars/beyond/1alien4/fall3.gif
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/fall4.gif
		
anim	fall11
	loop	0
	delay	20
	offset	101 190
	bbox	61 185 90 5
	frame	data/chars/beyond/1alien4/pain12.gif
	delay	35
	frame	data/chars/beyond/1alien4/pain12a.gif
		
anim	fall2
	loop	0
	delay	30
	offset	101 190
	bbox	79 97 50 91
	bouncefactor	0
	@cmd	dethrown
	landframe	3
	frame	data/chars/beyond/1alien4/fall1.gif
	delay	8
	frame	data/chars/beyond/1alien4/fall2.gif
	frame	data/chars/beyond/1alien4/fall3.gif
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/fall4.gif
		
anim	fall4
	loop	0
	delay	6
	offset	101 190
	bbox	0 0 0 0
	jumpframe	0 1.2 1.5
	frame	data/chars/beyond/1alien4/pain8.gif
	frame	data/chars/beyond/1alien4/pain9.gif
	frame	data/chars/beyond/1alien4/pain10.gif
	@cmd	leaper 0 0.2 0
	frame	data/chars/beyond/1alien4/pain11.gif
	frame	data/chars/beyond/1alien4/pain12a.gif
	offset	101 191
	frame	data/chars/beyond/1alien4/pain12a.gif
	offset	101 190
	bbox	58 175 95 15
	frame	data/chars/beyond/1alien4/pain12a.gif
		
anim	fall7
	delay	1000
	offset	105 130
	frame	data/chars/beyond/1alien4/slamck0.gif
	offset	100 110
	frame	data/chars/beyond/1alien4/slamck1.gif
	offset	106 130
	frame	data/chars/beyond/1alien4/slamck2.gif
	offset	115 125
	frame	data/chars/beyond/1alien4/slamck3.gif
	offset	125 125
	frame	data/chars/beyond/1alien4/slamck4.gif
	offset	108 122
	frame	data/chars/beyond/1alien4/slamck5.gif
	offset	106 155
	frame	data/chars/beyond/1alien4/slamck6.gif
	offset	125 140
	frame	data/chars/beyond/1alien4/slamck7.gif
	offset	120 105
	frame	data/chars/beyond/1alien4/slamck8.gif
	offset	100 130
	frame	data/chars/beyond/1alien4/slamck9.gif
	offset	105 130
	frame	data/chars/beyond/1alien4/slamck10.gif
	offset	105 130
	frame	data/chars/beyond/1alien4/slamck11.gif
	offset	115 125
	frame	data/chars/beyond/1alien4/slamck12.gif
	offset	115 125
	frame	data/chars/beyond/1alien4/slamck13.gif
	offset	115 125
	frame	data/chars/beyond/1alien4/slamck14.gif
	offset	115 125
	frame	data/chars/beyond/1alien4/slamck15.gif
		
anim	fall9
	loop	0
	delay	10
	offset	101 190
	bbox	0 0 0 0
	bouncefactor	0
	@cmd	dethrown
	landframe	3
	frame	data/chars/beyond/1alien4/fall1.gif
	delay	8
	frame	data/chars/beyond/1alien4/fall2.gif
	frame	data/chars/beyond/1alien4/fall3.gif
	frame	data/chars/beyond/1alien4/fall4.gif
		
anim	follow1
	loop	0
	delay	90
	offset	101 190
	frame	data/chars/beyond/1alien4/b05.gif
	@cmd	stop
	delay	4
	@cmd	target 2 2 1 1 0
	frame	data/chars/beyond/1alien4/b06.gif
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien4/b07.gif
	frame	data/chars/beyond/1alien4/b08.gif
	frame	data/chars/beyond/1alien4/b09.gif
	frame	data/chars/beyond/1alien4/b10.gif
	frame	data/chars/beyond/1alien4/b11.gif
	frame	data/chars/beyond/1alien4/b12.gif
	frame	data/chars/beyond/1alien4/b13.gif
	frame	data/chars/beyond/1alien4/b14.gif
	frame	data/chars/beyond/1alien4/b15.gif
	frame	data/chars/beyond/1alien4/b16.gif
	frame	data/chars/beyond/1alien4/b17.gif
	frame	data/chars/beyond/1alien4/b18.gif
	frame	data/chars/beyond/1alien4/b19.gif
	frame	data/chars/beyond/1alien4/b20.gif
	frame	data/chars/beyond/1alien4/b21.gif
	frame	data/chars/beyond/1alien4/b22.gif
	frame	data/chars/beyond/1alien4/b23.gif
	frame	data/chars/beyond/1alien4/b24.gif
	frame	data/chars/beyond/1alien4/b25.gif
		
anim	grabbed
	loop	0
	delay	10
	offset	101 190
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/grabbed.gif
		
anim	idle
	loop	1
	delay	8
	offset	101 190
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/idle01.gif
	@cmd	lifeaggr 25 250
	@cmd	clearL
	frame	data/chars/beyond/1alien4/idle02.gif
	frame	data/chars/beyond/1alien4/idle03.gif
	frame	data/chars/beyond/1alien4/idle04.gif
		
anim	jump
	range	50 200
	loop	0
	delay	20
	offset	101 185
	bbox	85 85 39 91
	frame	data/chars/beyond/1alien4/fall6.gif
	frame	data/chars/beyond/1alien4/fall7.gif
		
anim	jumpland
	loop	0
	delay	12
	offset	101 185
	bbox	85 85 39 91
	frame	data/chars/beyond/1alien4/fall8.gif
	frame	data/chars/beyond/1alien4/fall9.gif
		
anim	pain
	loop	0
	delay	3
	offset	104 190
	bbox	85 96 39 91
	drawmethod	256 256 0 0 0 2 -1
	frame	data/chars/beyond/1alien4/pain0.gif
	offset	101 190
	frame	data/chars/beyond/1alien4/pain1.gif
	offset	106 190
	frame	data/chars/beyond/1alien4/pain1.gif
	delay	40
	offset	101 190
	nodrawmethod	
	frame	data/chars/beyond/1alien4/pain1.gif
		
anim	pain10
	loop	0
	delay	5
	offset	101 190
	bbox	0 0 0 0
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/1alien4/pain0.gif
	offset	101 190
	frame	data/chars/beyond/1alien4/pain1.gif
	offset	106 190
	frame	data/chars/beyond/1alien4/pain1.gif
	delay	30
	offset	101 190
	frame	data/chars/beyond/1alien4/pain1.gif
	@cmd	stop
	delay	10
	frame	data/chars/beyond/1alien4/pain1.gif
		
anim	pain2
	loop	0
	delay	3
	offset	104 190
	bbox	85 96 39 91
	drawmethod	256 256 0 0 0 3 -1
	frame	data/chars/beyond/1alien4/pain0.gif
	offset	101 190
	frame	data/chars/beyond/1alien4/pain2.gif
	offset	106 190
	frame	data/chars/beyond/1alien4/pain2.gif
	delay	40
	offset	101 190
	nodrawmethod	
	frame	data/chars/beyond/1alien4/pain2.gif
		
anim	pain3
	loop	0
	delay	1
	offset	101 190
	bbox	0 0 0 0
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/1alien4/pain0.gif
	offset	101 190
	frame	data/chars/beyond/1alien4/pain1.gif
	offset	106 190
	frame	data/chars/beyond/1alien4/pain1.gif
	delay	30
	offset	101 190
	frame	data/chars/beyond/1alien4/pain1.gif
	@cmd	stop
	delay	10
	frame	data/chars/beyond/1alien4/pain1.gif
		
anim	pain4
	loop	0
	delay	5
	offset	101 190
	bbox	0 0 0 0
	jumpframe	0 4 -3
	landframe	6
	frame	data/chars/beyond/1alien4/fall1.gif
	frame	data/chars/beyond/1alien4/fall2.gif
	frame	data/chars/beyond/1alien4/fall3.gif
	frame	data/chars/beyond/1alien4/fall4.gif
	frame	data/chars/beyond/1alien4/fall5.gif
	delay	500
	frame	data/chars/beyond/1alien4/fall6.gif
	delay	12
	frame	data/chars/beyond/1alien4/fall7.gif
	frame	data/chars/beyond/1alien4/fall8.gif
	frame	data/chars/beyond/1alien4/fall9.gif
	frame	data/chars/beyond/1alien4/fall10.gif
		
anim	pain5
	loop	0
	delay	23
	offset	101 190
	bbox	85 96 39 91
	drawmethod	256 256 0 0 0 2 -1
	frame	data/chars/beyond/1alien4/pain1.gif
	nodrawmethod	
		
anim	pain6
	loop	0
	delay	23
	offset	101 190
	bbox	85 96 39 91
	drawmethod	256 256 0 0 0 4 -1
	frame	data/chars/beyond/1alien4/pain2.gif
	nodrawmethod	
		
anim	pain8
	loop	0
	delay	2
	offset	101 190
	bbox	85 96 39 91
	move	-6
	drawmethod	256 256 0 0 0 2 -1
	frame	data/chars/beyond/1alien4/pain1.gif
	frame	data/chars/beyond/1alien4/pain1.gif
	frame	data/chars/beyond/1alien4/pain1.gif
	drawmethod	256 256 0 0 0 4 -1
	frame	data/chars/beyond/1alien4/pain2.gif
	frame	data/chars/beyond/1alien4/pain2.gif
	frame	data/chars/beyond/1alien4/pain2.gif
	move	-3
	drawmethod	256 256 0 0 0 1 -1
	frame	data/chars/beyond/1alien4/pain2.gif
	frame	data/chars/beyond/1alien4/pain2.gif
	move	-1
	frame	data/chars/beyond/1alien4/pain2.gif
	nodrawmethod	
	delay	35
	frame	data/chars/beyond/1alien4/pain2.gif
		
anim	pain9
	loop	0
	delay	15
	offset	101 190
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/pain1.gif
	delay	150
	drawmethod	256 256 0 0 0 5 -1
	frame	data/chars/beyond/1alien4/pain2.gif
	nodrawmethod	
		
anim	rise
	loop	0
	delay	8
	offset	100 185
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/fall5.gif
	frame	data/chars/beyond/1alien4/fall6.gif
	delay	12
	frame	data/chars/beyond/1alien4/fall7.gif
	@cmd	attack1 -20 110 10 "ANI_SPECIAL"
	frame	data/chars/beyond/1alien4/fall8.gif
	@cmd	attack1 -20 110 10 "ANI_SPECIAL"
	frame	data/chars/beyond/1alien4/fall9.gif
	@cmd	attack1 -20 110 10 "ANI_SPECIAL"
	frame	data/chars/beyond/1alien4/fall10.gif
		
anim	spawn
	loop	0
	delay	60
	offset	102 183
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/spawn00.gif
	delay	12
	drawmethod	256 256 0 0 0 1 -1
	frame	data/chars/beyond/1alien4/spawn01.gif
	frame	data/chars/beyond/1alien4/spawn02.gif
	frame	data/chars/beyond/1alien4/spawn03.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/1alien4/spawn04.gif
	frame	data/chars/beyond/1alien4/spawn05.gif
	frame	data/chars/beyond/1alien4/spawn06.gif
	delay	55
	frame	data/chars/beyond/1alien4/spawn07.gif
	delay	6
	drawmethod	256 256 0 0 0 2 -1
	frame	data/chars/beyond/1alien4/spawn08.gif
	frame	data/chars/beyond/1alien4/spawn09.gif
	frame	data/chars/beyond/1alien4/spawn10.gif
	frame	data/chars/beyond/1alien4/spawn11.gif
	frame	data/chars/beyond/1alien4/spawn12.gif
	frame	data/chars/beyond/1alien4/spawn13.gif
	frame	data/chars/beyond/1alien4/spawn14.gif
	frame	data/chars/beyond/1alien4/spawn15.gif
	frame	data/chars/beyond/1alien4/spawn16.gif
	frame	data/chars/beyond/1alien4/spawn17.gif
	frame	data/chars/beyond/1alien4/spawn18.gif
	frame	data/chars/beyond/1alien4/spawn19.gif
	frame	data/chars/beyond/1alien4/spawn20.gif
	frame	data/chars/beyond/1alien4/spawn21.gif
	frame	data/chars/beyond/1alien4/spawn22.gif
	frame	data/chars/beyond/1alien4/spawn23.gif
	frame	data/chars/beyond/1alien4/spawn24.gif
	frame	data/chars/beyond/1alien4/spawn25.gif
	frame	data/chars/beyond/1alien4/spawn26.gif
	frame	data/chars/beyond/1alien4/spawn27.gif
	frame	data/chars/beyond/1alien4/spawn28.gif
	frame	data/chars/beyond/1alien4/spawn29.gif
	frame	data/chars/beyond/1alien4/spawn30.gif
	frame	data/chars/beyond/1alien4/spawn31.gif
	frame	data/chars/beyond/1alien4/spawn32.gif
	frame	data/chars/beyond/1alien4/spawn33.gif
	frame	data/chars/beyond/1alien4/spawn34.gif
	frame	data/chars/beyond/1alien4/spawn35.gif
	frame	data/chars/beyond/1alien4/spawn36.gif
	frame	data/chars/beyond/1alien4/spawn37.gif
	frame	data/chars/beyond/1alien4/spawn38.gif
	offset	101 190
	delay	12
	frame	data/chars/beyond/1alien4/fall9.gif
	frame	data/chars/beyond/1alien4/fall10.gif
		
anim	special
	loop	0
	delay	6
	offset	101 190
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/b25.gif
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien4/b24.gif
	frame	data/chars/beyond/1alien4/b23.gif
	frame	data/chars/beyond/1alien4/b22.gif
	frame	data/chars/beyond/1alien4/b21.gif
	frame	data/chars/beyond/1alien4/b20.gif
	frame	data/chars/beyond/1alien4/b19.gif
	frame	data/chars/beyond/1alien4/b18.gif
	frame	data/chars/beyond/1alien4/b17.gif
	frame	data/chars/beyond/1alien4/b16.gif
	frame	data/chars/beyond/1alien4/b15.gif
	frame	data/chars/beyond/1alien4/b14.gif
	frame	data/chars/beyond/1alien4/b13.gif
	frame	data/chars/beyond/1alien4/b12.gif
	frame	data/chars/beyond/1alien4/b11.gif
	frame	data/chars/beyond/1alien4/b10.gif
	frame	data/chars/beyond/1alien4/b09.gif
	frame	data/chars/beyond/1alien4/b08.gif
	frame	data/chars/beyond/1alien4/b07.gif
	frame	data/chars/beyond/1alien4/b06.gif
	delay	70
	@cmd	target 2 2 1 1 0
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/1alien4/b05.gif
	@cmd	stop
	frame	data/chars/beyond/1alien4/b05.gif
	@cmd	anichange "ANI_FOLLOW1"
	frame	data/chars/beyond/1alien4/b05.gif
		
anim	special2
	energycost	10
	mponly	1
	loop	0
	delay	6
	offset	101 190
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien4/b25.gif
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien4/b24.gif
	frame	data/chars/beyond/1alien4/b23.gif
	frame	data/chars/beyond/1alien4/b22.gif
	frame	data/chars/beyond/1alien4/b21.gif
	frame	data/chars/beyond/1alien4/b20.gif
	frame	data/chars/beyond/1alien4/b19.gif
	frame	data/chars/beyond/1alien4/b18.gif
	frame	data/chars/beyond/1alien4/b17.gif
	frame	data/chars/beyond/1alien4/b16.gif
	frame	data/chars/beyond/1alien4/b15.gif
	frame	data/chars/beyond/1alien4/b14.gif
	frame	data/chars/beyond/1alien4/b13.gif
	frame	data/chars/beyond/1alien4/b12.gif
	frame	data/chars/beyond/1alien4/b11.gif
	frame	data/chars/beyond/1alien4/b10.gif
	frame	data/chars/beyond/1alien4/b09.gif
	frame	data/chars/beyond/1alien4/b08.gif
	frame	data/chars/beyond/1alien4/b07.gif
	frame	data/chars/beyond/1alien4/b06.gif
	delay	70
	@cmd	target 2 2 1 1 0
	@cmd	dasher 3 0 0
	frame	data/chars/beyond/1alien4/b05.gif
	@cmd	stop
	frame	data/chars/beyond/1alien4/b05.gif
	@cmd	anichange "ANI_FOLLOW1"
	frame	data/chars/beyond/1alien4/b05.gif
		
anim	upper
	range	5 210
	rangez	-30 30
	loop	0
	delay	8
	offset	101 190
	bbox	0 0 0 0
	hitfx	data/sounds/burn.wav
	frame	data/chars/beyond/1alien4/a04.gif
	@cmd	spawnAni "gnpwr1" 1 1 1 "ANI_FOLLOW3"
	frame	data/chars/beyond/1alien4/a05.gif
	sound	data/sounds/alien15.wav
	frame	data/chars/beyond/1alien4/a06.gif
	frame	data/chars/beyond/1alien4/a07.gif
	frame	data/chars/beyond/1alien4/a08.gif
	burn	40 25 130 150 17 1 0 0 35 10
	dropv	5 1
	frame	data/chars/beyond/1alien4/upper01.gif
	frame	data/chars/beyond/1alien4/upper02.gif
	frame	data/chars/beyond/1alien4/upper03.gif
	frame	data/chars/beyond/1alien4/upper04.gif
	frame	data/chars/beyond/1alien4/upper03.gif
	frame	data/chars/beyond/1alien4/upper02.gif
	@cmd	looper 6 3
	frame	data/chars/beyond/1alien4/upper01.gif
	frame	data/chars/beyond/1alien4/upper02.gif
	frame	data/chars/beyond/1alien4/upper03.gif
	frame	data/chars/beyond/1alien4/upper04.gif
	frame	data/chars/beyond/1alien4/upper03.gif
	frame	data/chars/beyond/1alien4/upper02.gif
	frame	data/chars/beyond/1alien4/upper01.gif
	burn	0 0 0 0
	frame	data/chars/beyond/1alien4/a08.gif
	frame	data/chars/beyond/1alien4/a07.gif
	frame	data/chars/beyond/1alien4/a06.gif
	frame	data/chars/beyond/1alien4/a05.gif
	frame	data/chars/beyond/1alien4/a04.gif
	offset	65 190
	frame	data/chars/beyond/1alien4/a18.gif
	frame	data/chars/beyond/1alien4/a19.gif
	frame	data/chars/beyond/1alien4/a20.gif
		
anim	walk
	loop	1 2 7
	delay	7
	offset	101 190
	bbox	85 96 39 91
	frame	data/chars/beyond/1alien4/fall9.gif
	frame	data/chars/beyond/1alien4/fall8.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
	frame	data/chars/beyond/1alien4/wlk01.gif
	frame	data/chars/beyond/1alien4/wlk02.gif
		
#|edited by openBor Stats v 0.53
		
