name		eveplr
	@cmd	dasher 2.7 0 0.7
	frame	data/chars/2badgirl10/blk11.gif
	frame	data/chars/2badgirl10/blk10.gif
	frame	data/chars/2badgirl10/blk09.gif
	frame	data/chars/2badgirl10/blk08.gif
	frame	data/chars/2badgirl10/blk07.gif
	frame	data/chars/2badgirl10/blk06.gif
	frame	data/chars/2badgirl10/blk05.gif
	frame	data/chars/2badgirl10/blk04.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/2badgirl10/blk03.gif
	@cmd	stop
	frame	data/chars/2badgirl10/blk02.gif
	@cmd	clearL
	frame	data/chars/2badgirl10/blk01.gif
		
anim	attackup
	loop	0
	delay	6
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/rise15.gif
	@cmd	dasher 2.7 0 -0.7
	frame	data/chars/2badgirl10/blk11.gif
	frame	data/chars/2badgirl10/blk10.gif
	frame	data/chars/2badgirl10/blk09.gif
	frame	data/chars/2badgirl10/blk08.gif
	frame	data/chars/2badgirl10/blk07.gif
	frame	data/chars/2badgirl10/blk06.gif
	frame	data/chars/2badgirl10/blk05.gif
	frame	data/chars/2badgirl10/blk04.gif
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/2badgirl10/blk03.gif
	@cmd	stop
	frame	data/chars/2badgirl10/blk02.gif
	@cmd	clearL
	frame	data/chars/2badgirl10/blk01.gif
		
anim	block
	loop	0
	delay	8
	offset	108 191
	bbox	90 97 30 65
	frame	data/chars/2badgirl10/idle07.gif
	frame	data/chars/2badgirl10/blkx01.gif
	delay	20
	frame	data/chars/2badgirl10/blkx02.gif
		
anim	burn
	loop	0
	delay	25
	offset	108 191
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	78 98 30 45 5 1 0 0 13 30
	frame	data/chars/2badgirl10/fall1.gif
	delay	15
	attack	64 130 50 25 5 1 0 0 13 30
	frame	data/chars/2badgirl10/fall2.gif
	delay	500
	frame	data/chars/2badgirl10/fall3.gif
	attack	0 0 0 0
	delay	15
	frame	data/chars/2badgirl10/fall4.gif
	frame	data/chars/2badgirl10/fall5.gif
	frame	data/chars/2badgirl10/fall4.gif
		
anim	charge
	loop	0
	delay	7
	offset	108 165
	bbox	93 75 35 91
	sound	data/sounds/bgirl03.wav
	frame	data/chars/2badgirl10/slamck13.gif
	offset	108 191
	bbox	93 100 35 91
	frame	data/chars/2badgirl10/b00.gif
	frame	data/chars/2badgirl10/ch01.gif
	frame	data/chars/2badgirl10/ch02.gif
	delay	2
	frame	data/chars/2badgirl10/ch05.gif
	frame	data/chars/2badgirl10/ch03.gif
	frame	data/chars/2badgirl10/ch06.gif
	frame	data/chars/2badgirl10/ch04.gif
	frame	data/chars/2badgirl10/ch07.gif
	frame	data/chars/2badgirl10/ch03.gif
	frame	data/chars/2badgirl10/ch08.gif
	frame	data/chars/2badgirl10/ch04.gif
	@cmd	updateframe getlocalvar("self") 4
	frame	data/chars/2badgirl10/ch02.gif
	frame	data/chars/2badgirl10/ch01.gif
	frame	data/chars/2badgirl10/ch03.gif
	frame	data/chars/2badgirl10/ch03.gif
	delay	7
	frame	data/chars/2badgirl10/ch02.gif
	frame	data/chars/2badgirl10/ch01.gif
		
anim	death
	loop	0
	delay	45
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/fall4.gif
	delay	11
	frame	data/chars/2badgirl10/rise0.gif
	frame	data/chars/2badgirl10/rise1.gif
	frame	data/chars/2badgirl10/rise15a.gif
	frame	data/chars/2badgirl10/rise15.gif
	frame	data/chars/2badgirl10/rise16.gif
	frame	data/chars/2badgirl10/pain0.gif
	frame	data/chars/2badgirl10/pain1.gif
	frame	data/chars/2badgirl10/fall1.gif
	frame	data/chars/2badgirl10/fall2.gif
	frame	data/chars/2badgirl10/fall3.gif
	delay	8
	frame	data/chars/2badgirl10/fall4.gif
	frame	data/chars/2badgirl10/fall5.gif
	frame	data/chars/2badgirl10/fall4.gif
	frame	data/chars/2badgirl10/fall5.gif
	delay	150
	frame	data/chars/2badgirl10/fall4.gif
		
anim	fall
	loop	0
	delay	25
	offset	108 191
	bbox	0 0 0 0
	landframe	3
	frame	data/chars/2badgirl10/fall1.gif
	delay	15
	frame	data/chars/2badgirl10/fall2.gif
	delay	500
	frame	data/chars/2badgirl10/fall3.gif
	attack	0 0 0 0
	delay	15
	frame	data/chars/2badgirl10/fall4.gif
	frame	data/chars/2badgirl10/fall5.gif
	frame	data/chars/2badgirl10/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	108 191
	bbox	0 0 0 0
	landframe	3 dust
	attack	87 104 28 44 5 1 0 0 30 30
	frame	data/chars/2badgirl10/pain6.gif
	attack	85 118 40 22 5 1 0 0 30 30
	frame	data/chars/2badgirl10/fall2.gif
	attack	0 0 0 0
	delay	500
	frame	data/chars/2badgirl10/fall3.gif
	delay	10
	frame	data/chars/2badgirl10/fall4.gif
	delay	50
	frame	data/chars/2badgirl10/fall4.gif
		
anim	fall3
	loop	0
	delay	25
	offset	108 191
	bbox	79 95 62 45
	landframe	3
	frame	data/chars/2badgirl10/fall1.gif
	delay	15
	frame	data/chars/2badgirl10/fall2.gif
	delay	500
	bbox	81 133 61 34
	frame	data/chars/2badgirl10/fall3.gif
	attack	0 0 0 0
	delay	15
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/fall4.gif
	frame	data/chars/2badgirl10/fall5.gif
	frame	data/chars/2badgirl10/fall4.gif
		
anim	fall7
	delay	1000
	offset	100 165
	frame	data/chars/2badgirl10/slamck0.gif
	offset	80 185
	frame	data/chars/2badgirl10/pain1.gif
	offset	115 145
	frame	data/chars/2badgirl10/slamck2.gif
	offset	95 150
	frame	data/chars/2badgirl10/slamck3.gif
	offset	95 155
	frame	data/chars/2badgirl10/slamck12.gif
	offset	125 140
	frame	data/chars/2badgirl10/slamck7.gif
	offset	106 135
	frame	data/chars/2badgirl10/slamck12.gif
	offset	90 175
	frame	data/chars/2badgirl10/slamck11.gif
	offset	110 135
	frame	data/chars/2badgirl10/slamck14.gif
	offset	115 160
	frame	data/chars/2badgirl10/slamck18.gif
	offset	115 160
	frame	data/chars/2badgirl10/slamck19.gif
	bbox	0 0 0 0
	offset	103 150
	frame	data/chars/2badgirl10/slamck5.gif
	offset	130 135
	frame	data/chars/2badgirl10/slamck7.gif
	offset	124 100
	frame	data/chars/2badgirl10/slamck8.gif
	offset	105 125
	frame	data/chars/2badgirl10/slamck1.gif
	offset	85 180
	frame	data/chars/2badgirl10/pain0.gif
	offset	125 110
	frame	data/chars/2badgirl10/slamck8.gif
	offset	120 155
	frame	data/chars/2badgirl10/slamck16.gif
	offset	120 155
	frame	data/chars/2badgirl10/slamck17.gif
	offset	100 170
	frame	data/chars/2badgirl10/slamck14.gif
	offset	100 165
	frame	data/chars/2badgirl10/slamck20.gif
	offset	95 175
	frame	data/chars/2badgirl10/slamck11.gif
	offset	95 170
	frame	data/chars/2badgirl10/slamck15.gif
	offset	100 170
	frame	data/chars/2badgirl10/slamck10.gif
	offset	90 165
	frame	data/chars/2badgirl10/slamck11.gif
	offset	95 175
	bbox	80 85 60 80
	frame	data/chars/2badgirl10/slamck14.gif
		
anim	fall9
	loop	0
	delay	10
	offset	108 191
	bbox	0 0 0 0
	landframe	3 dust
	attack	90 93 29 43 5 1 0 0 30 30
	frame	data/chars/2badgirl10/fall1.gif
	delay	37
	attack	75 140 42 31 5 1 0 0 30 30
	frame	data/chars/2badgirl10/fall3.gif
	delay	500
	attack	0 0 0 0
	frame	data/chars/2badgirl10/fall3.gif
	delay	10
	frame	data/chars/2badgirl10/fall4.gif
	delay	50
	frame	data/chars/2badgirl10/fall4.gif
		
anim	follow1
	loop	0
	delay	8
	offset	140 185
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/1grab14.gif
	frame	data/chars/2badgirl10/1grab15.gif
	attack11	0 0 0 0
	frame	data/chars/2badgirl10/1grab16.gif
	frame	data/chars/2badgirl10/1grab17.gif
	frame	data/chars/2badgirl10/1grab18.gif
	frame	data/chars/2badgirl10/1grab19.gif
	frame	data/chars/2badgirl10/1grab20.gif
	frame	data/chars/2badgirl10/1grab21.gif
	delay	40
	frame	data/chars/2badgirl10/1grab22.gif
	offset	108 191
	@cmd	flip
	delay	9
	frame	data/chars/2badgirl10/rise1.gif
	frame	data/chars/2badgirl10/rise15.gif
	frame	data/chars/2badgirl10/rise16.gif
		
anim	follow10
	loop	0
	delay	9
	offset	108 180
	bbox	0 0 0 0
	forcedirection	1
	attackone	1
	followanim	1
	followcond	1
	otg	2
	jumpframe	0 2 0.5
	landframe	4
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/2badgirl10/2grab02.gif
	frame	data/chars/2badgirl10/2grab03.gif
	frame	data/chars/2badgirl10/2grab04.gif
	delay	300
	frame	data/chars/2badgirl10/2grab05.gif
	offset	135 185
	delay	8
	@cmd	flip
	frame	data/chars/2badgirl10/1grab13.gif #4
	staydown	370 370
	attack11	85 170 65 25 50 1 0 0 12 10
	dropv	1 0
	frame	data/chars/2badgirl10/1grab14.gif
	frame	data/chars/2badgirl10/1grab15.gif
	attack11	0 0 0 0
	offset	108 191
	@cmd	flip
	delay	9
	frame	data/chars/2badgirl10/rise1.gif
	frame	data/chars/2badgirl10/rise15.gif
	frame	data/chars/2badgirl10/rise16.gif
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	6
	offset	108 191
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	7
	frame	data/chars/2badgirl10/2grab02.gif
	frame	data/chars/2badgirl10/2grab03.gif
	frame	data/chars/2badgirl10/2grab04.gif
	frame	data/chars/2badgirl10/2grab05.gif
	frame	data/chars/2badgirl10/2grab05a.gif
	frame	data/chars/2badgirl10/2grab05b.gif
	delay	300
	frame	data/chars/2badgirl10/2grab05c.gif
	delay	9
	frame	data/chars/2badgirl10/2grab00.gif #7
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	6
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/blk11.gif
	@cmd	dasher -3 0 0
	frame	data/chars/2badgirl10/blk10.gif
	frame	data/chars/2badgirl10/blk09.gif
	frame	data/chars/2badgirl10/blk08.gif
	frame	data/chars/2badgirl10/blk07.gif
	frame	data/chars/2badgirl10/blk06.gif
	frame	data/chars/2badgirl10/blk05.gif
	frame	data/chars/2badgirl10/blk04.gif
	frame	data/chars/2badgirl10/blk03.gif
	@cmd	stop
	frame	data/chars/2badgirl10/blk02.gif
	@cmd	clearL
	frame	data/chars/2badgirl10/blk01.gif
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 1)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/empty.gif
	delay	120
	frame	data/chars/2badgirl10/ch03.gif
	delay	12
	frame	data/chars/2badgirl10/ch02.gif
	frame	data/chars/2badgirl10/ch01.gif
	frame	data/chars/2badgirl10/b00.gif
	offset	108 165
	frame	data/chars/2badgirl10/slamck13.gif
		
anim	follow5
	loop	0
	delay	3
	offset	108 191
	bbox	0 0 0 0
	fastattack	1
	hitflash	flashscreen1
	forcedirection	-1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/2badgirl10/rise14.gif
	@cmd	clearL
	sound	data/sounds/bgirl08.wav
	frame	data/chars/2badgirl10/rise14.gif
	delay	5
	move	3
	frame	data/chars/2badgirl10/rise13.gif
	sound	data/sounds/super1.wav
	@cmd	mpgain -20
	@cmd	spawnbind2 "allsp" 1 1 1 "ANI_FOLLOW1"
	frame	data/chars/2badgirl10/rise12.gif
	frame	data/chars/2badgirl10/rise11.gif
	frame	data/chars/2badgirl10/rise10.gif
	delay	2
	frame	data/chars/2badgirl10/rise5.gif #6
	move	2
	hitfx	data/sounds/beat5.wav
	attack10	73 85 110 55 15 1 1 0 9 30
	dropv	1.5 1 0
	frame	data/chars/2badgirl10/rise5.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/2badgirl10/rise6.gif
	frame	data/chars/2badgirl10/rise6.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/rise7.gif
	frame	data/chars/2badgirl10/rise7.gif
	frame	data/chars/2badgirl10/rise8.gif
	frame	data/chars/2badgirl10/rise8.gif
	frame	data/chars/2badgirl10/rise9.gif
	frame	data/chars/2badgirl10/rise9.gif
	frame	data/chars/2badgirl10/rise10.gif
	frame	data/chars/2badgirl10/rise10.gif
	@cmd	looper 6 3
	delay	8
	frame	data/chars/2badgirl10/rise4.gif
	move	0
	frame	data/chars/2badgirl10/rise3.gif #35
	frame	data/chars/2badgirl10/rise2.gif
	frame	data/chars/2badgirl10/rise1.gif
	@cmd	clearL
	frame	data/chars/2badgirl10/rise15.gif
	frame	data/chars/2badgirl10/rise16.gif
		
anim	follow6
	loop	0
	delay	11
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/ch02.gif
	@cmd	degravity 0
	frame	data/chars/2badgirl10/ch01.gif
	frame	data/chars/2badgirl10/b00.gif
	offset	108 165
	frame	data/chars/2badgirl10/slamck13.gif
	offset	108 191
	frame	data/chars/2badgirl10/idle06.gif
	delay	12
	frame	data/chars/2badgirl10/idle07a.gif
	frame	data/chars/2badgirl10/idle07b.gif
	frame	data/chars/2badgirl10/idle07a.gif
	frame	data/chars/2badgirl10/idle07b.gif
	frame	data/chars/2badgirl10/idle07a.gif
	frame	data/chars/2badgirl10/idle07b.gif
	frame	data/chars/2badgirl10/idle07a.gif
	@cmd	mpgain 75
	frame	data/chars/2badgirl10/idle07b.gif
		
anim	follow8
	loop	0
	delay	4
	offset	108 191
	bbox	0 0 0 0
	landframe	72
	fastattack	1
	forcedirection	-1
	seal	7 1
	@cmd	stop
	frame	data/chars/2badgirl10/blk16.gif
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2badgirl10/runatk02.gif
	frame	data/chars/2badgirl10/runatk03.gif
	attack	110 105 70 60 2 0 1 0 5 20
	frame	data/chars/2badgirl10/runatk04.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/runatk05.gif
	frame	data/chars/2badgirl10/a101.gif
	frame	data/chars/2badgirl10/a101a.gif
	attack2	110 105 70 60 2 0 1 0 20 20
	frame	data/chars/2badgirl10/a102.gif
	attack2	0 0 0 0
	frame	data/chars/2badgirl10/a103.gif
	@cmd	looper 1 5
	frame	data/chars/2badgirl10/rise16.gif
	hitfx	data/sounds/beat1.wav
	frame	data/chars/2badgirl10/a105.gif
	frame	data/chars/2badgirl10/a106.gif
	attack	110 105 70 60 2 0 1 0 5 20
	frame	data/chars/2badgirl10/a107.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/a108.gif
	frame	data/chars/2badgirl10/runatk11.gif
	frame	data/chars/2badgirl10/runatk13.gif
	attack	110 105 70 60 2 0 1 0 3 20
	frame	data/chars/2badgirl10/runatk16.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/runatk17.gif
	@cmd	looper 10 6
	sound	data/sounds/bgirl08.wav
	frame	data/chars/2badgirl10/rise16.gif
	hitfx	data/sounds/beat5.wav
	delay	6
	sound	data/sounds/punch1.wav
	frame	data/chars/2badgirl10/spa01.gif
	move	1
	frame	data/chars/2badgirl10/spa02.gif
	hitflash	Flash3
	frame	data/chars/2badgirl10/spa03.gif
	attack10	65 73 110 100 5 1 1 0 60 30
	dropv	3 0 0
	frame	data/chars/2badgirl10/spa04.gif
	frame	data/chars/2badgirl10/spa05.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/spa06.gif
	frame	data/chars/2badgirl10/spa07.gif
	frame	data/chars/2badgirl10/rise16.gif
	sound	data/sounds/punch1.wav
	frame	data/chars/2badgirl10/spa01.gif
	frame	data/chars/2badgirl10/spa02.gif
	frame	data/chars/2badgirl10/spa03.gif
	attack10	65 73 110 100 5 1 1 0 60 30
	dropv	3 0 0
	frame	data/chars/2badgirl10/spa04.gif
	frame	data/chars/2badgirl10/spa05.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/spa06.gif
	frame	data/chars/2badgirl10/spa07.gif
	frame	data/chars/2badgirl10/rise16.gif
	sound	data/sounds/punch1.wav
	frame	data/chars/2badgirl10/spa01.gif
	frame	data/chars/2badgirl10/spa02.gif
	frame	data/chars/2badgirl10/spa03.gif
	attack10	65 73 110 100 5 1 1 0 60 30
	dropv	3 0 0
	frame	data/chars/2badgirl10/spa04.gif
	frame	data/chars/2badgirl10/spa05.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/spa06.gif
	frame	data/chars/2badgirl10/spa07.gif
	frame	data/chars/2badgirl10/rise16.gif
	delay	5
	move	0
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/bgirl02.wav
	frame	data/chars/2badgirl10/rise14.gif
	@cmd	leaper 0 4 0
	frame	data/chars/2badgirl10/rise12.gif
	frame	data/chars/2badgirl10/rise11.gif
	frame	data/chars/2badgirl10/rise10.gif
	delay	2
	frame	data/chars/2badgirl10/rise5.gif
	attack10	65 73 110 100 5 1 1 0 5 30
	dropv	1.1 0 0
	frame	data/chars/2badgirl10/rise5.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/2badgirl10/rise6.gif
	@cmd	leaper 0 0.5 0
	frame	data/chars/2badgirl10/rise6.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/rise7.gif
	frame	data/chars/2badgirl10/rise7.gif
	frame	data/chars/2badgirl10/rise8.gif
	frame	data/chars/2badgirl10/rise8.gif
	frame	data/chars/2badgirl10/rise9.gif
	@cmd	leaper 0 0.5 0
	frame	data/chars/2badgirl10/rise9.gif
	frame	data/chars/2badgirl10/rise10.gif
	frame	data/chars/2badgirl10/rise10.gif
	@cmd	looper 47 9
	delay	9
	@cmd	leaper 0 2 0
	sound	data/sounds/bgirl02.wav
	frame	data/chars/2badgirl10/slamck4.gif
	attack10	65 73 110 100 5 1 1 1 1 30
	dropv	2 0 0
	hitfx	data/sounds/beat4.wav
	frame	data/chars/2badgirl10/upk04.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/spa15.gif
	delay	6
	staydown	500 500
	hitflash	flashscreen2
	attack	65 73 110 100 150 1 1 0 85 30
	dropv	4 1 0
	frame	data/chars/2badgirl10/spa16.gif
	@cmd	leaper 0 1 0
	frame	data/chars/2badgirl10/spa17.gif
	frame	data/chars/2badgirl10/spa18.gif
	@cmd	leaper 0 1 0
	frame	data/chars/2badgirl10/spa10.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/spa11.gif
	frame	data/chars/2badgirl10/spa10.gif
	frame	data/chars/2badgirl10/spa11.gif
	frame	data/chars/2badgirl10/spa10.gif
	frame	data/chars/2badgirl10/spa11.gif
	@cmd	looper 67 15
	delay	9
	frame	data/chars/2badgirl10/rise16.gif
	frame	data/chars/2badgirl10/rise16.gif
	frame	data/chars/2badgirl10/rise15.gif
	frame	data/chars/2badgirl10/rise15a.gif
	frame	data/chars/2badgirl10/rise16.gif
		
anim	forwardjump
@script
	void self = getlocalvar("self");
	if (frame == 0 )
	{
        changeentityproperty(self, "aggression", 20);
	}
	@end_script	
	loop	1 6 12
	delay	5
	offset	108 191
	bbox	101 85 35 35
	frame	data/chars/2badgirl10/2grab02.gif
	frame	data/chars/2badgirl10/2grab03.gif
	frame	data/chars/2badgirl10/2grab04.gif
	frame	data/chars/2badgirl10/2grab05.gif
	frame	data/chars/2badgirl10/2grab05a.gif
	frame	data/chars/2badgirl10/2grab05b.gif
	delay	3
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
		
anim	freespecial1
	energycost	12
	mponly	1
	loop	0
	delay	6
	offset	108 191
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	staydown	400 400
	jumpframe	4 5 1
	landframe	17
	hitflash	flashscreen1
	hitfx	data/sounds/beat4.wav
	@cmd	dasher 1.5 0 0
	frame	data/chars/2badgirl10/1grab01.gif
	offset	108 160
	sound	data/sounds/bgirl08.wav
	frame	data/chars/2badgirl10/1grab06b.gif
	frame	data/chars/2badgirl10/1grab07.gif
	frame	data/chars/2badgirl10/1grab08.gif
	offset	108 191
	attack10	85 57 60 110 60 1 1 0 20 15
	dropv	5 0.5 0
	frame	data/chars/2badgirl10/upper03.gif
	delay	5
	frame	data/chars/2badgirl10/upper04.gif
	frame	data/chars/2badgirl10/upper05.gif
	attack10	0 0 0 0
	@cmd	looper 5 3
	frame	data/chars/2badgirl10/upper06.gif
	frame	data/chars/2badgirl10/upper07.gif
	frame	data/chars/2badgirl10/upper08.gif
	frame	data/chars/2badgirl10/2grab03.gif
	frame	data/chars/2badgirl10/2grab04.gif
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
	frame	data/chars/2badgirl10/2grab05c.gif
	frame	data/chars/2badgirl10/2grab05d.gif
	@cmd	looper 12 10
	delay	5
	frame	data/chars/2badgirl10/2grab00.gif
	frame	data/chars/2badgirl10/2grab00.gif
	frame	data/chars/2badgirl10/2grab00.gif
		
anim	freespecial12
@script
	void self = getlocalvar("self");
	void aggro = getentityproperty(self,"aggression");
	void mana = getentityproperty(self,"mp");
	if (aggro >= 90 && frame >= 0 && (mana>=10))
	{
	performattack(getlocalvar("self"), openborconstant("ANI_freespecial14"));
	}
	else if (frame == 0)
	{
	changeentityproperty(self, "aggression", aggro+10);
	}
	if (aggro >= 90 && frame >= 0 && (mana<=9))
	{
 	performattack(getlocalvar("self"), openborconstant("ANI_freespecial31"));
	}
	@end_script	
	loop	0
	delay	7
	offset	108 191
	bbox	95 100 30 70
	fastattack	1
	cancel	4 10 1 a freespecial13
	hitfx	data/sounds/beat5.wav
	frame	data/chars/2badgirl10/b09.gif
	frame	data/chars/2badgirl10/b10.gif
	attack	100 87 100 50 7 0 1 0 15 0
	frame	data/chars/2badgirl10/b08.gif
	frame	data/chars/2badgirl10/b05.gif
	frame	data/chars/2badgirl10/b09.gif
	attack	0 0 0 0
	delay	6
	frame	data/chars/2badgirl10/b10.gif
	frame	data/chars/2badgirl10/b10.gif
