name	 syarm
	attack	1 0 75 80 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/13.gif
	offset	-2 74
	attack	1 0 70 75 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/14.gif
	offset	-20 35
	attack	20 0 35 35 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/15.gif
	offset	-35 6
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/pw/16.gif
	offset	-45 6
	frame	data/chars/beyond/1alien6/pw/17.gif
	offset	-53 0
	frame	data/chars/beyond/1alien6/pw/18.gif
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	@cmd	suicide
	frame	data/chars/beyond/1alien6/pw/arm01.gif
		
anim	follow2
	loop	0
	delay	7
	offset	10 5
	bbox	0 0 0 0
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	@cmd	flip
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	offset	-53 0
	frame	data/chars/beyond/1alien6/pw/18.gif
	offset	-45 6
	frame	data/chars/beyond/1alien6/pw/17.gif
	offset	-35 6
	frame	data/chars/beyond/1alien6/pw/16.gif
	attack	19 1 36 34 9 1 0 0 35 0
	dropv	5 1
	offset	-20 35
	frame	data/chars/beyond/1alien6/pw/15.gif
	attack	1 3 72 74 9 1 0 0 35 0
	dropv	5 1
	offset	-2 74
	frame	data/chars/beyond/1alien6/pw/14.gif
	attack	4 3 70 82 9 1 0 0 35 0
	dropv	5 1
	offset	0 81
	frame	data/chars/beyond/1alien6/pw/13.gif
	attack	2 4 75 97 9 1 0 0 35 0
	dropv	5 1
	offset	5 98
	frame	data/chars/beyond/1alien6/pw/12.gif
	attack	3 2 77 101 9 1 1 0 35 0
	dropv	5 1
	delay	40
	offset	4 100
	frame	data/chars/beyond/1alien6/pw/11.gif
	delay	7
	offset	5 98
	attack	1 0 70 100 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/12.gif
	offset	0 81
	attack	1 0 75 80 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/13.gif
	offset	-2 74
	attack	1 0 70 75 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/14.gif
	offset	-20 35
	attack	20 0 35 35 9 1 0 0 35 0
	dropv	5 1
	frame	data/chars/beyond/1alien6/pw/15.gif
	offset	-35 6
	attack	0 0 0 0
	frame	data/chars/beyond/1alien6/pw/16.gif
	offset	-45 6
	frame	data/chars/beyond/1alien6/pw/17.gif
	offset	-53 0
	frame	data/chars/beyond/1alien6/pw/18.gif
	frame	data/chars/beyond/1alien6/pw/arm01.gif
		
anim	idle
	loop	0
	delay	5
	offset	10 10
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	@cmd	suicide
	frame	data/chars/beyond/1alien6/pw/arm01.gif
		
anim	spawn
	loop	0
	delay	30
	offset	101 190
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	delay	9
	frame	data/chars/beyond/1alien6/pw/arm02.gif
	frame	data/chars/beyond/1alien6/pw/arm03.gif
	frame	data/chars/beyond/1alien6/pw/arm04.gif
	frame	data/chars/beyond/1alien6/pw/arm05.gif
	frame	data/chars/beyond/1alien6/pw/arm06.gif
	frame	data/chars/beyond/1alien6/pw/arm07.gif
	frame	data/chars/beyond/1alien6/pw/arm08.gif
	delay	14
	frame	data/chars/beyond/1alien6/pw/arm09.gif
	frame	data/chars/beyond/1alien6/pw/arm10.gif
	frame	data/chars/beyond/1alien6/pw/arm11.gif
	frame	data/chars/beyond/1alien6/pw/arm12.gif
	frame	data/chars/beyond/1alien6/pw/arm13.gif
	frame	data/chars/beyond/1alien6/pw/arm14.gif
	@cmd	looper 9 4
	delay	9
	frame	data/chars/beyond/1alien6/pw/arm15.gif
	frame	data/chars/beyond/1alien6/pw/arm16.gif
	frame	data/chars/beyond/1alien6/pw/arm17.gif
	frame	data/chars/beyond/1alien6/pw/arm18.gif
	frame	data/chars/beyond/1alien6/pw/arm19.gif
	frame	data/chars/beyond/1alien6/pw/arm20.gif
	frame	data/chars/beyond/1alien6/pw/arm01.gif
	@cmd	suicide
	frame	data/chars/beyond/1alien6/pw/arm01.gif
		
#|edited by openBor Stats v 0.53
		
