music         data/music/office2.ogg
item	apple
coords  -320 460
at      2700

spawn   mrwolf
map     2
#health  250
coords  -120 460 70
at      2700

spawn   mrwolf
map     3
health  610
coords  -220 440
at      2700

spawn   mrpink
map     4
#health  250
item	7cofe
coords  -320 460
at      2700

spawn   MrRed
map     4
#health  250
item	apple
coords  -320 460
at      2700


#--ghost-pause--to-next---
group 1 1
at    2700

spawn   mrgreen
map     4
#health  250
coords  -120 460
at      2700

#------------boss-show----------------------
scrollx  2850  4000
at  2850

blockade 3500
at       3500
#-------------boss-show---------------------


group    4 4
at       3550

spawn   bub
spawnscript data/scripts/noscpos.c
item    1up
2phealth  4000
3phealth  4500
aggression 200
coords  3955 420 300
at      3500

spawn   ghost4
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost3
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghosttime
spawnscript data/scripts/noscpos.c
health  15
coords  3955 420
at      3500

#---------------------------


spawn   swat
spawnscript data/scripts/noscpos.c
flip    1
2phealth  400
aggression 200
coords  3990 410 70
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500


spawn   swat
spawnscript data/scripts/noscpos.c
map     1
2phealth  400
aggression 200
coords  3915 410 70
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500


spawn   swat
spawnscript data/scripts/noscpos.c
map     2
2phealth  400
item    7shuss
aggression 200
coords  3945 410 70
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   swat
spawnscript data/scripts/noscpos.c
map     3
2phealth  400
item    ruby
aggression 200
coords  3915 410 70
at      3500


spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   swat
spawnscript data/scripts/noscpos.c
2phealth  400
aggression 200
coords  3945 410 70
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   swat
spawnscript data/scripts/noscpos.c
flip    1
map     1
2phealth  400
item    cheese
aggression 200
coords  3990 410 70
at      3500


spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500


spawn   swat
spawnscript data/scripts/noscpos.c
map     2
2phealth  400
aggression 200
coords  3915 410 70
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500


spawn   swat
spawnscript data/scripts/noscpos.c
map     3
2phealth  400
item    7cofe
aggression 200
coords  3945 410 70
at      3500

spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   swat
spawnscript data/scripts/noscpos.c
flip    1
2phealth  400
aggression 200
coords  3990 410 70
at      3500



spawn   ghost2
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500

spawn   ghost1
spawnscript data/scripts/noscpos.c
coords  3955 420
at      3500


spawn   swat
spawnscript data/scripts/noscpos.c
map     1
2phealth  400
item    1up
aggression 200
coords  3915 410 70
at      3500



#---------------------

group    1 1
at       3550

spawn	doorIN
spawnscript data/scripts/noscpos.c
coords  3735 415
at      3550
