music		data/music/base2.ogg
spawn   barrel
map     1
coords  3945 320
at      0


#------------------------

group   3 3
at      0

wait
at      0

spawn   donna
map     1
health  170
coords  455 285
at      0

spawn   heiderna
map     1
health  190
coords  475 305
at      0

spawn   donna
map     2
health  150
coords  555 285
at      0

spawn   heiderna
map     2
health  180
coords  570 295
at      0

2pspawn   donna
map     3
health  190
coords  555 285
at      0
#------------------------

spawn   trevor
map     1
health  210
coords  500 270
at      240

3pspawn   berret
map     1
health  230
coords  490 310
at      240


#------------------------
group   4 4
at      270

wait
at      320

spawn   ironman
map     1
health  210
coords  -50 290
at      270


spawn   ironman
map     2
health  210
coords  -50 290
at      270


spawn   snake
map     1
health  180
coords  950 290
at      270

2pspawn   snake
map     2
item    7shuss
health  180
coords  950 290
at      270


spawn   schnell
health  250
coords  -50 290
at      270


#------------------------

spawn   schnell
health  250
map     1
item    5neckl
coords  510 290
at      930

#------------------------
group   3 3
at      1150

wait
at      1150

spawn   trevor
health  210
map     2
coords  690 290
at      1150

spawn   donna
health  180
map     3
coords  690 290
at      1150

2pspawn   heiderna
health  190
item    7donut
map     3
coords  -300 290
at      1150

spawn   ironman
health  230
map     3
coords  690 290
at      1150

spawn   snake
health  180
map     3
coords  -300 290
at      1150

spawn   schnell
health  230
map     2
coords  -300 290
at      1150

2pspawn   donna
health  190
map     4
coords  690 290
at      1150

spawn   trevor
health  220
item    7shuss
map     4
coords  -300 290
at      1150

3pspawn   heiderna
health  190
map     4
coords  690 290
at      1150




#--------
#--------

#------------------------
spawn   berret
health  210
map     3
coords  550 270
at      1420


spawn   snake
health  170
map     1
coords  570 310
at      1420
#------------------------
group   4 4
at      1800

wait
at      1800

spawn   ironman
health  210
coords  500 270
at      1800


spawn   trevor
map     2
item    food1
health  210
coords  550 300
at      1800


spawn   ironman
map     1
health  230
coords  -320 300
at      1800

spawn   snake
map     2
health  180
coords  -320 300
at      1800

#------------------------
group   1 1
at      1800

wait
at      1800

spawn   donna
map     3
item    bannana
health  180
coords  -320 300
at      1800

#------------------------
group   3 3
at      2200

wait
at      2200



spawn   schnell
map     3
health  240
coords  650 300
at      2200

spawn   trevor
map     3
health  210
coords  700 280
at      2200


spawn   berret
map     3
health  220
coords  -300 270
at      2200

2pspawn   berret
map     4
item    cheese
health  220
coords  -300 270
at      2200


spawn   heiderna
map     3
health  180
coords  650 300
at      2200


#--------------------
spawn   schnell
map     2
health  240
coords  500 310
at      2500

spawn   trevor
map     2
health  210
coords  570 270
at      2500
#------------------------
group   1 1
at      2800
wait
at      2800


spawn   berret
map     1
health  220
coords  510 270
at      2800


#------------------------

#----------------------
spawn	goIN
spawnscript data/scripts/noscpos.c
coords  3800 250
at      3120
#---------------------

spawn   ghosttest
coords  650 320
at      3120
