music		data/music/templest3.ogg
coords	895 310
at	0

spawn   tire1
coords	760 315 80
at	0

spawn   tire1
coords	810 315 80
at	0

spawn   tire1
item    apple
coords	860 315 80
at	0


spawn   drum2
map     2
item	food5
coords	1220 300
at	0


spawn   nwbar
@script
void main(){
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
}
@end_script
map     2
item    lulcardx
coords	1400 440
at	0

spawn   nwbar
@script
void main(){
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
}
@end_script
item    ring
coords	1465 440
at	0


#-----------------------

spawn   tire2
coords	1950 430
at	0


spawn   tire2
coords	2020 430
at	0

spawn   tire2
coords	2090 430
at	0

spawn   tire2
coords	2160 430
at	0

spawn   tire2
item    lulcardx
coords	1970 450
at	0


spawn   tire2
coords	2040 450
at	0

spawn   tire2
coords	2110 450
at	0

spawn   tire2
coords	2180 450
at	0



spawn   tire1
coords	1990 450 80
at	0


spawn   tire1
coords	2040 450 80
at	0

spawn   tire1
item    moneybag
coords	2090 450 80
at	0

spawn   tire1
coords	2140 450 80
at	0


#-----enemie------------------

spawn   ghosttime
@script
void main()
{
	setglobalvar("Kgnextday", NULL());
	setglobalvar("challenge", NULL());
	setglobalvar("killelle", NULL());
	setglobalvar("cupkill", NULL());
	setglobalvar("bn1", NULL());
	setglobalvar("bn2", NULL());
	setglobalvar("bn3", NULL());
	setglobalvar("bn4", NULL());
	setglobalvar("rsh1", NULL());
	setglobalvar("rsh2", NULL());
	setglobalvar("maphold1", NULL());
	setglobalvar("maphold2", NULL());
	setglobalvar("maphold3", NULL());
}
@end_script
health	5
coords  0 335
at      0


#-----------------------

#-----------------------

group   8 8
at      200
wait
at      200

spawn   bob
map     1
#health  160
item    ruby
coords  620 360
at      200

spawn   daldo
map     1
#health  190
coords  600 340
at      200


spawn   jimcombo
flip    1
map     1
#health  220
coords  -230 340
at      200

spawn   shimali
map     1
health  220
item    diamond
coords  630 350
at      200


spawn  shimali
spawnscript	data/scripts/hard.c
map     2
#health  220
coords  -300 360
at      200


spawn  daldo
spawnscript	data/scripts/hard.c
map     1
#health  160
coords  630 350
at      200


spawn  daldo
spawnscript	data/scripts/mania.c
map     2
coords  -300 350
at      200

spawn  gen
spawnscript	data/scripts/mania.c
map     1
coords  -300 340
at      200

#-----------------------
#-----------------------

group   4 4
at      400
wait
at      400

spawn   ghost1
coords  600 340
at      400


spawn   slay
map     1
#health  200
item    money2
coords  -300 340
at      400


spawn   psycho
map     2
#health  150
coords  -300 360
at      400


spawn   vigo
map     1
#health  130
coords  620 350
at      400


group    8 8
at      400

spawn   rider1b
flip	1
coords  -280 355
at      400


spawn   rider4b
coords  560 330
at      400


spawn   rider3b
flip	1
coords  -280 320
at      400


spawn   rider2b
coords  560 355
at      400


spawn   vigo
spawnscript	data/scripts/hard.c
map     2
#health  150
coords  -290 340
at      400


spawn  rodder
spawnscript	data/scripts/hard.c
map     1
#health  140
coords  -320 350
at      400

spawn   rodder
spawnscript	data/scripts/hard.c
map     2
coords  620 350
at      400

spawn  gazz
spawnscript	data/scripts/hard.c
map     2
item    food4
coords  -300 350
at      400

spawn   rodder
spawnscript	data/scripts/mania.c
map     3
health  240
coords  620 350
at      400


spawn   rodder
spawnscript	data/scripts/mania.c
map     1
coords  -320 350
at      400

#-----------------------
blockade 1180
at       1180
#-----------------------

group   4 4
at      1200

spawn   meloke
map     2
item    food2
coords  560 345 70
at      1200


spawn   beloche
map     2
aggression 150
coords  620 330 70
at      1200

spawn   steroid
map     3
coords  570 300 70
at      1200

spawn   bash
map     3
item    food6
coords  600 310 70
at      1200

spawn   ghost4
coords  600 340
at      0

group	30 30
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
coords	-600 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
map		1
coords	-570 300 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/hard.c
coords	-620 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
coords	-560 345 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/hard.c
coords	-610 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
map		2
coords	-560 300 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
coords	-610 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
map		1
coords	-560 345 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/hard.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
coords	-560 310 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/hard.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
map		2
coords	-570 325 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
coords	-620 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/hard.c
map		1
coords	-580 330 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/hard.c
coords	-630 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-580 320 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-600 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-570 300 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-620 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-560 345 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-610 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-560 300 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-610 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-560 345 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-560 310 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-570 325 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-620 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-580 330 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-630 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-600 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-570 300 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-620 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-560 345 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-610 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-560 300 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-610 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-560 345 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-560 310 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-570 325 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-620 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-580 330 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-630 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-580 320 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-600 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-570 300 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-620 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-560 345 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-610 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-560 300 70
at	0

spawn   kagajin2
map		1
spawnscript	data/scripts/mania.c
coords	-610 330 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		2
coords	-560 345 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-560 310 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-610 320 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-570 325 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
coords	-620 310 70
at	0

spawn   kagajin2
spawnscript	data/scripts/mania.c
map		1
coords	-580 330 70
at	0

spawn   kagajin2
map		2
spawnscript	data/scripts/mania.c
coords	-630 320 70
at	0


#-----------------------



group   1 1
at      1200

spawn   kagasp
spawnscript data/scripts/noscpos.c
coords  1650 350 100
at      1200


spawn   kagajin
spawnscript data/scripts/noscpos.c
health	2000
2phealth	4000
3phealth	5000
boss    1
coords  1730 330 100
at      1200




