music		data/music/dock1.ogg
coords  780 220
at      1200


spawn   fatguy
map     4
#health  230
coords  -350 260
at      1200

spawn   bomber
map     1
flip    1
#health  30
coords  -280 245
at      1200

#------------//------van-attack---//------
spawn   runvan3
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
flip    1
map		2
coords  -180 230
at      1200
#------------//------van-attack---//------


spawn   biff
map     4
item    money1
#health  230
coords  610 260
at      1200

spawn   bomber
map     1
#health  30
coords  750 270
at      1200

spawn   ghost1
coords  -350 240
at      800

#------------//------van-attack---//------
spawn   runvan3
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("hard");

   performattack(self, openborconstant("ANI_FOLLOW1"));

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map		3
flip    1
coords  -180 230
at      1200
#------------//------van-attack---//------

spawn  rodder
map     4
#health  90
coords  -350 250
at      1200

spawn  8ball
spawnscript	data/scripts/hard.c
map     2
#health  200
coords  610 260
at      1200


#----------------------

group 4 4
at    1600
wait
at    1600

spawn   malenko
map     2
#health  270
coords  610 260
at      1600

spawn   kraven
map     1
health  310
item    ruby
coords  -350 240
at      1600


#------//-boat-attack---//-------
spawn   runboat1
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW3"));
} @end_script
map     4
coords  750 205
at      1600
#---------------//------


spawn   kimberry
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);
	}
@end_script
map     1
#health  200
coords  500 240
at      1600

spawn   kimberry
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);
	}
@end_script
flip	1
map     2
#health  170
coords  -100 240
at      1600


spawn   lucy
map     4
#health  130
coords  610 240
at      1600

#------//-boat-attack---//-------
spawn   runboat1
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("hard");

   performattack(self, openborconstant("ANI_FOLLOW3"));

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     4
coords  750 205
at      1600

spawn   ghosttime
health	10
@script
void main()
	{
	setglobalvar("leveln","17lvlg2");
	}
@end_script
coords  100 250
at      1600

spawn   ghosttime
health	10
spawnscript	data/scripts/spawn3p.c
coords  -300 240
at      1600
#---------------//------

#------------------

group 4 4
at    2000


spawn   fatguy
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);
	}
@end_script
map     3
#health  240
item    money2
coords  550 240
at      2000


spawn   biff
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);
	}
@end_script
flip	1
map     3
#health  240
coords  -100 240
at      2000

spawn   bomber
map     1
#health  30
coords  780 240
at      2000


spawn   jimcombo
map     3
health  320
coords  630 260
at      2000

#------//-boat-attack---//-------
spawn   runboat1
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW4"));
} @end_script
map     2
coords  800 205
at      2000
#---------------//------


spawn   dash
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);
	}
@end_script
flip	1
map     2
#health  210
item    gold
coords  -100 260
at      2000

spawn   bomber
map     1
flip    1
#health  30
coords  -280 245
at      150

spawn   psycho
@script
void main()
	{
	void self = getlocalvar("self");
	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);
	}
@end_script
map     3
#health  120
coords  550 240
at      2000


spawn  slay
spawnscript	data/scripts/hard.c
map     3
health  310
coords  -370 240
at      2000

#------//-boat-attack---//-------
spawn   runboat1
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("hard");

   performattack(self, openborconstant("ANI_FOLLOW4"));

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     2
coords  800 205
at      2000
#---------------//------

#------------//------van-attack---//------
spawn   runvan3
map	2
coords  650 220
at      2000
#------------//-------------------


spawn   bomber
map     1
item    food6
#health  30
coords  750 270
at      150

spawn  vigo
spawnscript	data/scripts/hard.c
map     4
#health  90
coords  630 260
at      2000


spawn   psycho
map     4
#health  110
coords  -400 260
at      2000

spawn   steroid
map     2
2phealth	3000
3phealth	4000
item    diamond
coords  -400 260
at      2000


#------------//------van-attack---//------
spawn   runvan3
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW1"));
} @end_script
map	3
flip	1
coords  -180 230
at      2000
#------------//-------------------


group	15 15
at		2000

#------//-boat-attack---//-------
spawn   runboat1
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("hard");

   performattack(self, openborconstant("ANI_FOLLOW5"));

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
coords  800 205
at      2000
#---------------//------



spawn   slay
spawnscript	data/scripts/hard.c
map     2
health  320
coords  630 260
at      2000

spawn  psycho
spawnscript	data/scripts/hard.c
map     3
#health  210
coords  -610 260
at      2000

spawn   bomber
spawnscript	data/scripts/hard.c
item    food6
#health  30
coords  750 270
at      150

spawn  vigo
spawnscript	data/scripts/hard.c
map     3
#health  90
coords  630 260
at      2000


spawn   psycho
spawnscript	data/scripts/hard.c
map     4
#health  110
coords  -400 260
at      2000

spawn   runvan3
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("hard");

   performattack(self, openborconstant("ANI_FOLLOW2"));

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map	3
flip	1
coords  -180 230
at      2000
#------------//-------------------

spawn   fatguy
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     2
#health  240
item    money2
coords  550 240
at      2000


spawn   biff
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
flip	1
map     2
#health  240
coords  -100 240
at      2000

spawn   bomber
spawnscript	data/scripts/mania.c
map     1
#health  30
coords  780 240
at      2000


spawn   jimcombo
spawnscript	data/scripts/mania.c
map     2
health  320
coords  630 260
at      2000

spawn   dash
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
flip	1
map     3
#health  210
item    gold
coords  -100 260
at      2000

spawn   bomber
spawnscript	data/scripts/mania.c
map     2
flip    1
#health  30
coords  -280 245
at      150

spawn   psycho
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     5
#health  120
coords  550 240
at      2000


spawn  slay
spawnscript	data/scripts/mania.c
map     2
health  310
coords  -370 240
at      2000


spawn   fatguy
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     1
#health  240
item    money2
coords  550 240
at      2000


spawn   biff
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
flip	1
map     1
#health  240
coords  -100 240
at      2000

spawn   bomber
spawnscript	data/scripts/mania.c
map     3
#health  30
coords  780 240
at      2000


spawn   jimcombo
spawnscript	data/scripts/mania.c
map     1
health  320
coords  630 260
at      2000

spawn   dash
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, 3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
flip	1
#health  210
item    gold
coords  -100 260
at      2000

spawn   bomber
spawnscript	data/scripts/mania.c
flip    1
#health  30
coords  -280 245
at      150

spawn   psycho
@script
  void main()
  {
    void self = getlocalvar("self");
    void difficulty = getglobalvar("mania");

	performattack(self, openborconstant("ANI_JUMP"));
	tossentity(self, 4, -3, 0);

    if(difficulty == 0){
      killentity(self);
    }
  }
@end_script
map     6
#health  120
coords  550 240
at      2000


spawn  slay
spawnscript	data/scripts/mania.c
map     3
health  310
coords  -370 240
at      2000
