music		data/music/1bonus.ogg
spawn   Drume
map     1
health  180
coords  500 385
at      0

spawn   drum2
item    money2
health  250
coords  400 385 70
at      0

spawn   drum2
health  250
coords  465 385 70
at      0


spawn   Drume
item    1up
map     1
health  180
coords  430 385 150
at      0

#-------------//--------

spawn   drum
map     2
health  250
coords  390 400
at      0

spawn   drum2
health  180
coords  455 400
at      0

spawn   drum2
item    ruby
health  230
coords  520 400
at      0

spawn   Drume
map     1
health  190
coords  420 400 70
at      0

spawn   drum2
item    diamond
health  250
coords  485 400 70
at      0


spawn   drum
item    gold
map     2
health  190
coords  450 400 150
at      0

#-------------//--------

spawn   drum2
health  310
coords  410 420
at      0

spawn   Drume
item    money1
map     1
health  220
coords  475 420
at      0

spawn   drum2
health  270
coords  540 420
at      0

spawn   Drume
item    ring
map     1
health  190
coords  440 420 70
at      0

spawn   drum2
health  230
coords  505 420 70
at      0


spawn   drum
item    moneybag
map     2
health  300
coords  470 420 150
at      0


#-------------//--------

spawn   drum2
health  370
coords  430 430
at      0

spawn   drum2
health  190
coords  495 430
at      0

spawn   drum
health  250
map     2
coords  560 430
at      0

spawn   drum2
item    1up
health  240
coords  460 430 70
at      0

spawn   drum2
health  220
coords  525 430 70
at      0


spawn   Drume
item    ruby
map     1
health  190
coords  490 430 150
at      0


#---------------

spawn   bonus1
alias	ANI_FOLLOW3
coords  100 230
at      0

#---------------

group 5 5
at    0

#-------------------
spawn   ghost1
coords  310 355
at      0

spawn   ghost1
coords  310 355
at      0


spawn   ghost1
coords  310 355
at      0

spawn   ghost1
coords  310 355
at      0

spawn   ghost1
coords  310 355
at      0

#-------------------

spawn   bdrum3
coords  -20 360 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
coords  -30 430 165
at      0

#----------------------

spawn   bdrum3
flip    1
coords  930 360 165
at      0

spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
flip    1
coords  930 430 165
at      0


#---------------------


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0


spawn   ghost1
coords  310 355
at      0

#-------------------

spawn   bdrum3
coords  -20 360 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
coords  -30 430 165
at      0

#----------------------

spawn   bdrum3
flip    1
coords  930 360 165
at      0

spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
flip    1
coords  930 430 165
at      0


#---------------------


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0



spawn   ghost1
coords  310 355
at      0

#-------------------

spawn   bdrum3
coords  -20 360 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
coords  -30 430 165
at      0

#----------------------

spawn   bdrum3
flip    1
coords  930 360 165
at      0

spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
flip    1
coords  930 430 165
at      0


#---------------------


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0


spawn   ghost1
coords  310 355
at      0

#-------------------

spawn   bdrum3
coords  -20 360 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
coords  -30 430 165
at      0

#----------------------

spawn   bdrum3
flip    1
coords  930 360 165
at      0

spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
flip    1
coords  930 430 165
at      0


#---------------------


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0

#---------------------


spawn   bdrum3
coords  -20 360 165
at      0

spawn   bdrum3
flip    1
coords  930 430 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
coords  -30 430 165
at      0

spawn   bdrum3
flip    1
coords  930 360 165
at      0


spawn   ghost1
coords  310 355
at      0

#-------------------

spawn   bdrum3
coords  -20 360 165
at      0


spawn   bdrum3
coords  -40 380 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
coords  -90 400 165
at      0

spawn   bdrum3
coords  -60 420 165
at      0


spawn   bdrum3
coords  -30 430 165
at      0

#----------------------

spawn   bdrum3
flip    1
coords  930 360 165
at      0

spawn   bdrum3
flip    1
coords  980 380 165
at      0

spawn   bdrum3
flip    1
coords  1010 400 165
at      0


spawn   bdrum3
flip    1
coords  950 420 165
at      0

spawn   ghost1
coords  310 355
at      0


spawn   bdrum3
flip    1
coords  930 430 165
at      0


