music		data/music/templest1.ogg
#------------------------


group   4 4
at      250
wait
at      250

spawn   bomber
map     1
item    money1
#health  30
coords  750 235
at      100

spawn   bomber
flip    1
item    diamond
map     1
coords  -300 240
at      100

spawn   bomber
flip    1
item    5dime
map     1
coords  -300 285
at      100

spawn   bomber
map     1
item    gold
coords  700 290
at      100

#------------------------

shadowcolor     1
at              1300
shadowalpha     -1
at              1300

#------------------------

group   6 6
at      1410
wait
at      1410

spawn   randy
#health  190
aggression 150
coords  640 260
at      1410

spawn   thong
health  290
item    money2
aggression 150
coords  700 240
at      1410

spawn   jay
health  190
item    money2
aggression 150
coords  -280 260
at      1410

spawn   randy
spawnscript	data/scripts/hard.c
aggression 150
coords  640 250
at      1410

spawn   thong
spawnscript	data/scripts/hard.c
aggression 150
coords  700 250
at      1410

spawn   jay
spawnscript	data/scripts/hard.c
aggression 150
coords  -280 250
at      1410


#------------------------

group   5 5
at      1750
wait
at      1750

spawn   jay
health  190
map     1
item    5bill
aggression 150
coords  680 260
at      1750


spawn   fox
health  450
map     1
item    apple2
aggression 150
coords  710 230
at      1750


spawn   thong
#health  190
map     1
aggression 150
coords  -300 250
at      1750


spawn   butterbean
#health  350
map     1
aggression 150
coords  -300 250
at      1750


spawn   bash
#health  550
map     1
item    7shuss
aggression 150
coords  800 285
at      1750

spawn   bomber
map     1
item    diamond
#health  30
coords  730 270
at      1750


spawn   randy
#health  190
map     1
aggression 150
coords  -250 260
at      1750

spawn   bomber
map     1
flip    1
item    ruby
#health  30
coords  -280 240
at      1750


spawn   shimali
map     2
#health  200
coords  -300 240
at      1750

spawn   wendy
map     4
item    bannana
health  200
coords  600 240
at      1750


spawn   bomber
map     1
item    5gbar
#health  30
coords  750 240
at      1750

group   7 7
at      1750

spawn   zen
map     1
item    cheese
#health  220
coords  580 270
at      1750

spawn   shimali
map     3
#health  200
coords  610 250
at      1750

spawn   bomber
map     1
flip    1
item    lulcardx
#health  30
coords  -300 300
at      1750


spawn   daldo
spawnscript	data/scripts/hard.c
map     3
#health  190
coords  610 250
at      1750

spawn   bomber
spawnscript	data/scripts/hard.c
map     1
item    ruby
#health  30
coords  760 200
at      1750

spawn   wendy
spawnscript	data/scripts/hard.c
health  200
coords  -300 300
at      1750

spawn   wendy
spawnscript	data/scripts/hard.c
map     3
item    bannana
health  200
coords  610 250
at      1750


#------------------------

group   5 5
at      2000
wait
at      2000

spawn   jay
map     3
#health  190
coords  610 250
at      2000


spawn   bob
map     3
#health  190
coords  -310 250
at      2000

spawn   bomber
map     1
flip    1
item    money1
#health  30
coords  -300 280
at      2000

spawn   thong
map     3
#health  190
coords  -310 250
at      2000

spawn   butterbean
map     3
item    food1
#health  300
coords  -310 300
at      2000

group   8 8
at      2000

spawn   bomber
map     1
flip    1
item    apple
#health  30
coords  -300 205
at      2000

spawn   fox
map     3
#health  250
coords  710 240
at      2000

spawn   bash
spawnscript	data/scripts/hard.c
map     2
item    food4
aggression 150
coords  -300 285
at      2000

spawn   bash
spawnscript	data/scripts/hard.c
aggression 150
coords  -310 300
at      2000

spawn   bash
spawnscript	data/scripts/hard.c
map     1
aggression 150
coords  610 250
at      2000


spawn   bomber
spawnscript	data/scripts/hard.c
map     1
item    diamond
#health  30
coords  750 250
at      2000

#------------------------

shadowcolor     -2
at              2460
shadowalpha     6
at              2460

#------------------------


group   4 4
at      2600
#wait
#at      2600

spawn   sheila
map     3
item    bannana
aggression 150
#health  250
coords  610 300
at      2600

spawn   shikky
map     4
aggression 150
#health  190
coords  -310 270
at      2600

spawn   eve
map     3
item    lulcardx
aggression 250
#health  290
coords  -300 280
at      2600

spawn   ghosttime
health	1
@script
void main()
	{
	setglobalvar("leveln","26lvl");
	}
@end_script
coords  -300 280
at      2600

spawn   ghosttime
health	1
spawnscript	data/scripts/spawn3p.c
coords  -300 290
at      2600

#-----------------

group   1 1
at      2600

spawn   ghosttime
health	1
@script
void main()
	{
	setglobalvar("leveln" , NULL());
	}
@end_script
coords  -300 280
at      2600

spawn   goin
spawnscript data/scripts/noscpos.c
coords  2910 190
at      2600

spawn   ghosttest
coords  -300 280
at      2600

