name		kyoplr
	attack	0 0 0 0
	delay	5
	frame	data/chars/xkyo/b42.png
	frame	data/chars/xkyo/b39.png
		
anim	attack7
	range	65 85
	rangez	-15 15
	loop	0
	delay	5
	offset	73 123
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo02.wav
	frame	data/chars/xkyo/b20.png
	frame	data/chars/xkyo/b21.png
	frame	data/chars/xkyo/b30.png
	delay	6
	attack	75 35 90 40 40 1 0 0 40 15
	dropv	2 4 0
	frame	data/chars/xkyo/b31.png
	frame	data/chars/xkyo/b32.png
	attack	0 0 0 0
	delay	8
	frame	data/chars/xkyo/b33.png
	frame	data/chars/xkyo/b34.png
	frame	data/chars/xkyo/b35.png
	offset	55 110
	bbox	30 18 50 91
	frame	data/chars/xkyo/blk01.png
		
anim	attack8
	range	85 135
	rangez	-15 15
	loop	0
	delay	5
	offset	73 123
	bbox	50 25 40 91
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xkyo03.wav
	move	3
	frame	data/chars/xkyo/b01.png
	frame	data/chars/xkyo/b02.png
	frame	data/chars/xkyo/b03.png
	frame	data/chars/xkyo/b04.png
	frame	data/chars/xkyo/b05.png
	frame	data/chars/xkyo/b06.png
	delay	7
	attack	75 30 92 45 60 1 1 0 50 15
	dropv	3 3 0
	frame	data/chars/xkyo/b07.png
	delay	6
	attack	0 0 0 0
	frame	data/chars/xkyo/b08.png
	frame	data/chars/xkyo/b09.png
	move	0
	frame	data/chars/xkyo/b10.png
	frame	data/chars/xkyo/b11.png
	frame	data/chars/xkyo/b12.png
	frame	data/chars/xkyo/b13.png
	frame	data/chars/xkyo/b14.png
		
anim	attackdown
	loop	0
	delay	7
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/pik05.png
	@cmd	dasher 3 0 1
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xkyo/dgd05.png
	frame	data/chars/xkyo/dgd06.png
	frame	data/chars/xkyo/dgd07.png
	frame	data/chars/xkyo/dgd08.png
	frame	data/chars/xkyo/dgd09.png
	frame	data/chars/xkyo/dgd10.png
	@cmd	stop
	frame	data/chars/xkyo/pik05.png
		
anim	attackup
	loop	0
	delay	7
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/pik05.png
	@cmd	dasher 3 0 -1
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xkyo/dgd05.png
	frame	data/chars/xkyo/dgd06.png
	frame	data/chars/xkyo/dgd07.png
	frame	data/chars/xkyo/dgd08.png
	frame	data/chars/xkyo/dgd09.png
	frame	data/chars/xkyo/dgd10.png
	@cmd	stop
	frame	data/chars/xkyo/pik05.png
		
anim	block
	loop	0
	delay	7
	offset	55 110
	bbox	30 20 40 85
	frame	data/chars/xkyo/blk01.png
	frame	data/chars/xkyo/blk03.png
	frame	data/chars/xkyo/blk04.png
		
anim	burn
	loop	0
	delay	30
	offset	73 120
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	60 40 29 43 5 1 0 0 13 0
	frame	data/chars/xkyo/fall1.png
	frame	data/chars/xkyo/fall2.png
	delay	500
	frame	data/chars/xkyo/fall3.png
	attack	0 0 0 0
	delay	10
	frame	data/chars/xkyo/fall5.png
	delay	50
	frame	data/chars/xkyo/fall4.png
		
anim	charge
	loop	0
	delay	11
	offset	55 109
	bbox	40 15 35 80
	sound	data/sounds/xkyochrg2.wav
	frame	data/chars/xkyo/blk01.png
	frame	data/chars/xkyo/blk03.png
	delay	3
	offset	88 121
	bbox	70 45 40 71
	frame	data/chars/xkyo/spp08.png
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp09.png
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/xkyo/spp08.png
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp09.png
	frame	data/chars/xkyo/spp11.png
	@cmd	updateframe getlocalvar("self") 2
	delay	11
	offset	55 109
	bbox	40 15 35 80
	frame	data/chars/xkyo/blk03.png
	frame	data/chars/xkyo/blk01.png
		
anim	death
	loop	0
	delay	14
	offset	73 120
	bbox	0 0 0 0
	sound	data/sounds/xkyodeth.wav
	frame	data/chars/xkyo/fall4.png
	frame	data/chars/xkyo/fall6.png
	offset	73 120
	frame	data/chars/xkyo/pik06.png
	offset	98 120
	@cmd	flip
	delay	35
	frame	data/chars/xkyo/thr08.png
	delay	14
	@cmd	flip
	offset	79 66
	frame	data/chars/xkyo/slam5.gif
	offset	73 120
	delay	9
	frame	data/chars/xkyo/deth01.png
	frame	data/chars/xkyo/deth02.png
	frame	data/chars/xkyo/deth01.png
	delay	20
	frame	data/chars/xkyo/deth02.png
	delay	100
	frame	data/chars/xkyo/deth02.png
		
anim	fall
	loop	0
	delay	30
	offset	73 120
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xkyopain.wav
	attack	60 40 29 43 5 1 0 0 13 0
	frame	data/chars/xkyo/fall1.png
	frame	data/chars/xkyo/fall2.png
	delay	500
	frame	data/chars/xkyo/fall3.png
	attack	0 0 0 0
	delay	10
	frame	data/chars/xkyo/fall5.png
	delay	50
	frame	data/chars/xkyo/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	73 120
	bbox	0 0 0 0
	sound	data/sounds/xkyopain.wav
	landframe	3 dust
	attack	60 40 29 43 5 1 0 0 13 0
	frame	data/chars/xkyo/pain2.png
	frame	data/chars/xkyo/fall2.png
	attack	0 0 0 0
	delay	500
	frame	data/chars/xkyo/fall3.png
	delay	10
	frame	data/chars/xkyo/fall5.png
	delay	50
	frame	data/chars/xkyo/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xkyo/slam0.gif
	offset	45 95
	frame	data/chars/xkyo/slam1.gif
	offset	50 85
	frame	data/chars/xkyo/slam2.gif
	offset	45 95
	frame	data/chars/xkyo/slam3.gif
	offset	45 95
	frame	data/chars/xkyo/slam4.gif
	offset	75 55
	frame	data/chars/xkyo/slam5.gif
	offset	40 80
	frame	data/chars/xkyo/slam6.gif
	offset	20 90
	frame	data/chars/xkyo/slam7.gif
	offset	65 55
	frame	data/chars/xkyo/slam8.gif
	offset	65 83
	frame	data/chars/xkyo/slam9.gif
	offset	65 83
	frame	data/chars/xkyo/slam10.gif
	offset	20 90
	frame	data/chars/xkyo/slam11.gif
	offset	75 55
	frame	data/chars/xkyo/slam12.gif
	offset	75 55
	frame	data/chars/xkyo/slam13.gif
	offset	50 85
	frame	data/chars/xkyo/slam14.gif
	offset	45 95
	frame	data/chars/xkyo/slam15.gif
	offset	55 70
	frame	data/chars/xkyo/slam16.gif
	offset	65 83
	frame	data/chars/xkyo/slam17.gif
	offset	65 83
	frame	data/chars/xkyo/slam18.gif
	offset	45 95
	frame	data/chars/xkyo/slam19.gif
	offset	45 95
	frame	data/chars/xkyo/slam20.gif
	offset	45 95
	frame	data/chars/xkyo/slam21.gif
	offset	45 95
	frame	data/chars/xkyo/slam22.gif
	offset	59 85
	frame	data/chars/xkyo/slam23.gif
	offset	59 80
	frame	data/chars/xkyo/slam24.gif
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xkyo/slambbox1.gif
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	73 120
	bbox	0 0 0 0
	landframe	14
	sound	data/sounds/xkyopain.wav
	frame	data/chars/xkyo/fall10.png
	frame	data/chars/xkyo/fall11.png
	frame	data/chars/xkyo/fall12.png
	frame	data/chars/xkyo/fall13.png
	frame	data/chars/xkyo/fall10.png
	frame	data/chars/xkyo/fall11.png
	frame	data/chars/xkyo/fall12.png
	frame	data/chars/xkyo/fall13.png
	frame	data/chars/xkyo/fall10.png
	frame	data/chars/xkyo/fall11.png
	frame	data/chars/xkyo/fall12.png
	frame	data/chars/xkyo/fall13.png
	frame	data/chars/xkyo/fall10.png
	delay	300
	frame	data/chars/xkyo/fall11.png
	delay	15
	frame	data/chars/xkyo/fall4.png
	frame	data/chars/xkyo/fall4.png
	frame	data/chars/xkyo/fall4.png
		
anim	follow10
	loop	0
	delay	20
	offset	73 120
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	sound	data/sounds/xkyo01.wav
	frame	data/chars/xkyo/gdatk05.png
	delay	8
	frame	data/chars/xkyo/gdatk06.png
	frame	data/chars/xkyo/gdatk07.png
	delay	12
	attack11	60 95 65 25 50 1 0 0 50 10
	dropv	2 3
	frame	data/chars/xkyo/gdatk08.png
	frame	data/chars/xkyo/gdatk09.png
	attack11	0 0 0 0
	frame	data/chars/xkyo/gdatk10.png
	frame	data/chars/xkyo/gdatk11.png
	frame	data/chars/xkyo/gdatk12.png
	frame	data/chars/xkyo/pik05.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	90 144
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	7
	frame	data/chars/xkyo/jump10.png
	frame	data/chars/xkyo/jump09.png
	frame	data/chars/xkyo/jump08.png
	frame	data/chars/xkyo/jump07.png
	frame	data/chars/xkyo/jump06.png
	frame	data/chars/xkyo/jump05.png
	delay	500
	frame	data/chars/xkyo/jump04a.png
	delay	9
	frame	data/chars/xkyo/jump00.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	8
	offset	73 120
	bbox	0 0 0 0
	frame	data/chars/xkyo/pik05.png
	@cmd	dasher -3 0 0
	frame	data/chars/xkyo/dgd10.png
	@cmd	spawn01 "dust" 1 1 1
	frame	data/chars/xkyo/dgd09.png
	frame	data/chars/xkyo/dgd08.png
	frame	data/chars/xkyo/dgd07.png
	frame	data/chars/xkyo/dgd06.png
	frame	data/chars/xkyo/dgd05.png
	@cmd	stop
	frame	data/chars/xkyo/pik05.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 7)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	38 115
	bbox	0 0 0 0
	frame	data/chars/3pipas/empty.gif
	delay	6
	frame	data/chars/xkyo/taunt01.png
	frame	data/chars/xkyo/taunt02.png
	frame	data/chars/xkyo/taunt03.png
	frame	data/chars/xkyo/taunt04.png
	frame	data/chars/xkyo/taunt03.png
	frame	data/chars/xkyo/taunt02.png
	frame	data/chars/xkyo/taunt01.png
	frame	data/chars/xkyo/taunt02.png
	frame	data/chars/xkyo/taunt03.png
	frame	data/chars/xkyo/taunt04.png
		
anim	follow4
	followanim	5
	followcond	2
	fastattack	1
	loop	0
	delay	9
	move	0
	@cmd	stop
	offset	60 120
	bbox	0 0 0 0
	hitfx	data/sounds/grab.wav
	frame	data/chars/xkyo/sup03.png
	@cmd	clearL
	attack2	0 0 0 0
	frame	data/chars/xkyo/sup04.png
	frame	data/chars/xkyo/sup05.png
	offset	46 134
	frame	data/chars/xkyo/sup10.png
	frame	data/chars/xkyo/sup11.png
	delay	20
	attack	45 45 69 75 0 0 1 1 5 20
	frame	data/chars/xkyo/sup12.png
	attack	0 0 0
	delay	12
	frame	data/chars/xkyo/sup11.png
	frame	data/chars/xkyo/sup10.png
	offset	73 118
	frame	data/chars/xkyo/pik05.png
	offset	57 109
	frame	data/chars/xkyo/blk01.png
		
anim	follow5
	loop	0
	delay	30
	offset	46 134
	bbox	0 0 0 0
	@cmd	slamstart3
	@cmd	position 10 55 60 -1 -1
	frame	data/chars/xkyo/sup12.png
	delay	70
	@cmd	position 11 45 100 -1 -1
	frame	data/chars/xkyo/sup13.png
	delay	15
	sound	data/sounds/xkyo04.wav
	@cmd	spawn01 "explosion1" 90 120 1
	@cmd	position 11 45 100 -1 -1
	attack	10 20 120 110 85 1 1 0 15 35
	dropv	8 1
	@cmd	spawn01 "flashscreen2" 20 30 1
	frame	data/chars/xkyo/sup13.png
	@cmd	spawn01 "explosion2" 0 60 5
	@cmd	spawn01 "explosion1" 50 80 -1
	@cmd	position 13 50 80 -1 1
	frame	data/chars/xkyo/sup14.png
	@cmd	spawn01 "explosion2" 70 60 5
	@cmd	position 13 50 80 -1 1
	frame	data/chars/xkyo/sup14.png
	attack	0 0 0 0
	@cmd	depost 0
	@cmd	finish 250 1 1 8 0 1
	delay	45
	frame	data/chars/xkyo/sup14.png
	delay	10
	offset	46 134
	frame	data/chars/xkyo/sup15.png
	@cmd	clearL
	frame	data/chars/xkyo/sup16.png
	offset	72 120
	frame	data/chars/xkyo/pik05.png
	offset	55 109
	frame	data/chars/xkyo/blk03.png
		
anim	follow6
	cancel	1 6 0 J freespecial12
	cancel	1 6 0 A freespecial12
	cancel	1 6 0 S freespecial12
	fastattack	1
	loop	1 2 6
	delay	20
	offset	90 144
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	7 dust
	attack	0 0 0 0
	frame	data/chars/xkyo/jpbtk04.png
	delay	6
	frame	data/chars/xkyo/jump09.png
	frame	data/chars/xkyo/jump08.png #2
	frame	data/chars/xkyo/jump07.png
	frame	data/chars/xkyo/jump06.png
	frame	data/chars/xkyo/jump07a.png
	frame	data/chars/xkyo/jump08.png
	delay	9
	offset	73 120
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/pik05.png
		
anim	forwardjump
	cancel	0 7 0 S freespecial6
	loop	0
	delay	12
	offset	90 144
	bbox	75 37 45 51
	frame	data/chars/xkyo/jump04a.png
	delay	8
	frame	data/chars/xkyo/jump05.png
	frame	data/chars/xkyo/jump06.png
	frame	data/chars/xkyo/jump07.png
	frame	data/chars/xkyo/jump08.png
	frame	data/chars/xkyo/jump09.png
	frame	data/chars/xkyo/jump10.png
		
anim	freespecial12
	fastattack	1
	loop	0
	delay	5
	offset	90 144
	bbox	0 0 0 0
	jumpframe	0 0 4
	landframe	5 dust
	staydown	200 200
	hitfx	data/sounds/beat3.wav
	attack	0 0 0 0
	@cmd	flip
	frame	data/chars/xkyo/jx05.png
	sound	data/sounds/punch3.wav
	frame	data/chars/xkyo/jx06.png
	@cmd	leaper 2.9 0.2 0
	frame	data/chars/xkyo/jx07.png
	frame	data/chars/xkyo/jx08.png
	delay	500
	attack	75 45 55 70 40 1 0 0 35 30
	dropv	2 4
	frame	data/chars/xkyo/jx09.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	9
	offset	73 120
	bbox	50 60 40 50
	frame	data/chars/xkyo/pik06.png
	frame	data/chars/xkyo/pik05.png
		
anim	freespecial15
	loop	0
	delay	11
	offset	38 115
	bbox	0 0 0 0
	frame	data/chars/xkyo/taunt01.png
	frame	data/chars/xkyo/taunt02.png
	frame	data/chars/xkyo/taunt03.png
	frame	data/chars/xkyo/taunt04.png
	@cmd	spawnChild2  "toturi3" 1 1 1 "ANI_FOLLOW9"
	frame	data/chars/xkyo/taunt01.png
	frame	data/chars/xkyo/taunt02.png
	frame	data/chars/xkyo/taunt03.png
	frame	data/chars/xkyo/taunt04.png
		
anim	freespecial26
	energycost	35
	loop	0
	delay	7
	offset	61 137
	bbox	35 45 39 65
	staydown	500 500
	forcedirection	-1
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	sound	data/sounds/xkyochrg.wav
	frame	data/chars/xkyo/pwb_0025.png
	frame	data/chars/xkyo/pwb_0024.png
	frame	data/chars/xkyo/pwb_0023.png
	frame	data/chars/xkyo/pwb_0022.png
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" 1 1 1 4 "ANI_FOLLOW1"
	frame	data/chars/xkyo/pwb_0021.png
	frame	data/chars/xkyo/pwb_0020.png
	frame	data/chars/xkyo/pwb_0019.png
	frame	data/chars/xkyo/pwb_0018.png
	frame	data/chars/xkyo/pwb_0017.png
	frame	data/chars/xkyo/pwb_0016.png
	frame	data/chars/xkyo/pwb_0015.png
	frame	data/chars/xkyo/pwb_0018.png
	frame	data/chars/xkyo/pwb_0017.png
	frame	data/chars/xkyo/pwb_0016.png
	frame	data/chars/xkyo/pwb_0015.png
	frame	data/chars/xkyo/pwb_0014.png
	frame	data/chars/xkyo/pwb_0013.png
	frame	data/chars/xkyo/pwb_0012.png
	delay	2
	move	7
	bbox	0 0 0 0
	sound	data/sounds/xkyo04.wav
	frame	data/chars/xkyo/pwb_0011.png
	frame	data/chars/xkyo/pwb_0011.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0010.png
	frame	data/chars/xkyo/pwb_0010.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0009.png
	frame	data/chars/xkyo/pwb_0009.png
	@cmd	keymove 1.2
	burn	65 50 60 55 150 1 1 0 50 20
	dropv	3 4 0
	frame	data/chars/xkyo/pwb_0008.png
	frame	data/chars/xkyo/pwb_0008.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0007.png
	move	6
	frame	data/chars/xkyo/pwb_0007.png
	@cmd	keymove 1.2
	burn	65 50 90 55 150 1 1 0 50 20
	dropv	3 4 0
	frame	data/chars/xkyo/pwb_0006.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0006.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0005.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0005.png
	move	5
	frame	data/chars/xkyo/pwb_0004.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0004.png
	burn	65 50 46 55 150 1 1 0 50 20
	dropv	3 4 0
	delay	3
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0003.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0003.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0003.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0002.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0002.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0002.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	move	4
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	keymove 1.2
	frame	data/chars/xkyo/pwb_0001.png
	@cmd	stop
	move	0
	delay	12
	frame	data/chars/xkyo/pwb_0001.png
	burn	0 0 0 0
	delay	9
	frame	data/chars/xkyo/pwb_0001.png
	frame	data/chars/xkyo/pwb_0000.png
	offset	55 120
	frame	data/chars/xkyo/pik05.png
	offset	50 109
	frame	data/chars/xkyo/blk01.png
		
anim	freespecial27
	energycost	70
	mponly	1
	loop	0
	delay	8
	offset	57 109
	bbox	0 0 0 0
	followanim	4
	followcond	2
	fastattack	1
	forcedirection	-1
	seal	7 1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xkyo/blk01.png
	@cmd	clearL
	frame	data/chars/xkyo/blk03.png
	offset	91 120
	frame	data/chars/xkyo/spp11.png
	sound	data/sounds/super1.wav
	frame	data/chars/xkyo/spp10.png
	@cmd	spawn04 "allsp" 1 1 1 4
	delay	45
	frame	data/chars/xkyo/spp10.png #4
	delay	6
	@cmd	spawn01 "dust" 10 1 1
	offset	60 120
	frame	data/chars/xkyo/sup01.png
	delay	2
	move	5
	frame	data/chars/xkyo/sup02.png
	frame	data/chars/xkyo/sup02.png
	frame	data/chars/xkyo/sup02.png
	attack2	60 45 53 60 0 0 1 0 15 15
	frame	data/chars/xkyo/sup03.png #9
	@cmd	keymove 1.2
	frame	data/chars/xkyo/sup03.png
	@cmd	looper 9 15
	attack2	0 0 0 0
	frame	data/chars/xkyo/sup03.png
	move	0
	@cmd	stop
	delay	9
	frame	data/chars/xkyo/sup04.png
	delay	15
	frame	data/chars/xkyo/sup05.png
	delay	12
	offset	46 134
	frame	data/chars/xkyo/sup10.png
	offset	73 118
	frame	data/chars/xkyo/pik05.png
	offset	57 109
	frame	data/chars/xkyo/blk01.png
		
anim	freespecial29
@script
	void self = getlocalvar("self");
	int mp1 = getentityproperty(self,"mp");
	void plyr = getentityproperty(self, "playerindex");

	if(frame > 9 && playerkeys(plyr, 0, "attack3"))
	{
	  updateframe(self, 2);
	}
	@end_script	
	loop	0
	loop	0
	delay	11
	offset	55 109
	bbox	40 15 35 80
	sound	data/sounds/xkyochrg2.wav
	frame	data/chars/xkyo/blk01.png
	frame	data/chars/xkyo/blk03.png
	delay	3
	offset	88 121
	bbox	70 45 40 71
	frame	data/chars/xkyo/spp08.png
	frame	data/chars/xkyo/spp10.png
	frame	data/chars/xkyo/spp09.png
	frame	data/chars/xkyo/spp11.png
	frame	data/chars/xkyo/spp08.png
	frame	data/chars/xkyo/spp10.png
	@cmd	mpgain 1
	frame	data/chars/xkyo/spp09.png
	frame	data/chars/xkyo/spp11.png
	delay	11
	offset	55 109
	bbox	40 15 35 80
	frame	data/chars/xkyo/blk03.png
	frame	data/chars/xkyo/blk01.png
		
anim	freespecial3
	energycost	5
	mponly	1
	loop	0
	delay	5
	jumpframe	5 3.5 1.5
	landframe	10
	offset	61 137
	bbox	0 0 0 0
	forcedirection	-1
	hitflash	flashscreen1
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 1 0 0
	frame	data/chars/xkyo/spw_0007.png
	frame	data/chars/xkyo/spw_0006.png
	sound	data/sounds/xkyo03.wav
	frame	data/chars/xkyo/spw_0005.png
	@cmd	spawnbind2 "xkyopw" 70 70 1 "ANI_FOLLOW2"
	burn	65 30 70 80 30 1 0 0 25 15
	dropv	4 1.5
	frame	data/chars/xkyo/spw_0004.png
	frame	data/chars/xkyo/spw_0003.png
	delay	35
	frame	data/chars/xkyo/spw_0002.png #5
	delay	8
	frame	data/chars/xkyo/spw_0001.png
	burn	0 0 0 0
	frame	data/chars/xkyo/spw_0000.png
	offset	75 145
	frame	data/chars/xkyo/jump02.png
	delay	500
	frame	data/chars/xkyo/jump01.png
	delay	9
	offset	73 120
	frame	data/chars/xkyo/pik05.png
		
anim	freespecial30
	energycost	55
	mponly	1
	weaponframe	18 2
	loop	0
	delay	8
	offset	91 138
	bbox	0 0 0 0
	frame	data/chars/xkyo/spp01.png
	delay	6
	sound	data/sounds/xkyotlk.wav
