name goldengloves
type player
health  170
	offset	40 93
	frame	data/chars/goldengloves/attack6-05.png
	offset	36 78
	frame	data/chars/goldengloves/attack6-06.png
	offset	36 83
	frame	data/chars/goldengloves/attack6-07.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	36 96
	frame	data/chars/goldengloves/attack6-08.png
	@cmd	stop
	hitfx	data/sounds/hard2.wav
	attack	30 -3 51 83 30 0 1 0 5 15
	offset	30 118
	frame	data/chars/goldengloves/attack6-09.png
	delay	6
	offset	30 110
	frame	data/chars/goldengloves/attack6-10.png
	delay	4
	offset	31 109
	frame	data/chars/goldengloves/attack6-11.png
	offset	30 108
	frame	data/chars/goldengloves/attack6-12.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	6
	offset	27 108
	frame	data/chars/goldengloves/attack6-13.png
	delay	3
	offset	22 105
	frame	data/chars/goldengloves/attack6-14.png
	offset	15 104
	frame	data/chars/goldengloves/attack6-15.png
	offset	20 107
	frame	data/chars/goldengloves/attack6-16.png
	offset	23 105
	frame	data/chars/goldengloves/attack6-17.png
	offset	24 105
	frame	data/chars/goldengloves/attack4-12.png
		
anim	attack7
	cancel	6 11 0 d f a freespecial9
	cancel	6 11 0 d f s freespecial7
	cancel	2 19 0 d f j freespecial6
	offset	28 92
	range	60 145
	rangez	-25 25
	delay	1
	fastattack	1
	staydown	500 500
	hitfx	data/sounds/beat4.wav
	frame	data/chars/goldengloves/attack7-01.png
	@cmd	dasher 1 0 0
	delay	2
	offset	61 43
	frame	data/chars/goldengloves/attack7-02.png
	offset	61 43
	frame	data/chars/goldengloves/attack7-03.png
	offset	62 46
	frame	data/chars/goldengloves/attack7-04.png
	delay	5
	offset	64 50
	frame	data/chars/goldengloves/attack7-05.png
	delay	3
	offset	50 68
	frame	data/chars/goldengloves/attack7-06.png
	attack10	28 -3 48 78 40 1 1 0 15 15
	dropv	6.5 0.5
	delay	7
	offset	17 99
	frame	data/chars/goldengloves/attack7-07.png
	@cmd	stop
	delay	4
	offset	18 138
	frame	data/chars/goldengloves/attack7-08.png
	delay	8
	offset	18 128
	frame	data/chars/goldengloves/attack7-09.png
	offset	18 127
	frame	data/chars/goldengloves/attack7-10.png
	delay	6
	offset	18 124
	frame	data/chars/goldengloves/attack7-11.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	18 118
	frame	data/chars/goldengloves/attack7-12.png
	offset	17 116
	frame	data/chars/goldengloves/attack7-13.png
	delay	4
	offset	18 114
	frame	data/chars/goldengloves/attack7-14.png
	offset	14 99
	frame	data/chars/goldengloves/grab-01.png
	delay	6
	offset	17 99
	frame	data/chars/goldengloves/attack5-10.png
	offset	20 102
	frame	data/chars/goldengloves/attack5-11.png
	offset	23 104
	frame	data/chars/goldengloves/attack7-15.png
	offset	24 105
	frame	data/chars/goldengloves/grabattack2-10.png
		
anim	attackdown
	@cmd	dasher -2 0 1
	delay	5
	offset	29 101
	frame	data/chars/goldengloves/attackup-01.png
	sound	data/sounds/goldhuh.wav
	offset	31 89
	frame	data/chars/goldengloves/attackup-08.png
	offset	33 77
	frame	data/chars/goldengloves/attackup-07.png
	offset	33 71
	frame	data/chars/goldengloves/attackup-06.png
	offset	33 62
	frame	data/chars/goldengloves/attackup-05.png
	offset	33 59
	frame	data/chars/goldengloves/attackup-04.png
	offset	34 66
	frame	data/chars/goldengloves/attackup-03.png
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	@cmd	stop
	offset	29 101
	frame	data/chars/goldengloves/attackup-01.png
	@cmd	spawn01 "dust" 1 1 1
	offset	24 104
	frame	data/chars/goldengloves/idle-03.png
		
anim	attackup
	@cmd	dasher 2 0 -1
	offset	29 101
	delay	5
	frame	data/chars/goldengloves/attackup-01.png
	sound	data/sounds/goldhuh.wav
	offset	31 91
	frame	data/chars/goldengloves/attackup-02.png
	offset	34 66
	frame	data/chars/goldengloves/attackup-03.png
	offset	33 59
	frame	data/chars/goldengloves/attackup-04.png
	offset	33 62
	frame	data/chars/goldengloves/attackup-05.png
	offset	33 71
	frame	data/chars/goldengloves/attackup-06.png
	offset	33 77
	frame	data/chars/goldengloves/attackup-07.png
	offset	31 89
	frame	data/chars/goldengloves/attackup-08.png
	@cmd	stop
	offset	29 101
	frame	data/chars/goldengloves/attackup-01.png
	@cmd	spawn01 "dust" 1 1 1
	offset	24 104
	frame	data/chars/goldengloves/idle-03.png
		
anim	block
	bbox	10 9 26 95
	delay	6
	offset	30 104
	frame	data/chars/goldengloves/block-01.png
	bbox	10 9 26 95
	offset	32 103
	frame	data/chars/goldengloves/block-02.png
	bbox	8 9 28 92
	offset	33 101
	frame	data/chars/goldengloves/block-03.png
	bbox	8 9 28 91
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
		
anim	blockpain
	cancel	5 12 0 a freespecial12
	delay	3
	bbox	10 9 26 95
	move	-6
	offset	32 103
	frame	data/chars/goldengloves/block-02.png
	offset	33 101
	frame	data/chars/goldengloves/block-03.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	move	-4
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	move	0
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	34 100
	frame	data/chars/goldengloves/block-04.png
	offset	33 101
	frame	data/chars/goldengloves/block-03.png
	@cmd	anichange "ANI_BLOCK"
	offset	32 103
	frame	data/chars/goldengloves/block-02.png
		
anim	burn
	loop	0
	landframe	4
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	delay	30
	offset	38 95
	attack	5 13 30 28 5 1 1 0 13 5
	bbox	0 0 0 0
	frame	data/chars/goldengloves/fall-01.png
	sound	data/sounds/goldowch1.wav
	offset	51 79
	frame	data/chars/goldengloves/fall-02.png
	delay	500
	offset	43 82
	frame	data/chars/goldengloves/fall-03.png
	delay	10
	offset	35 106
	frame	data/chars/goldengloves/fall7-04.png
	delay	50
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
		
anim	charge
	delay	4
	bbox	8 11 27 93
	offset	23 104
	sound	data/sounds/xclark05.wav
	frame	data/chars/goldengloves/idle-10.png
	bbox	7 10 27 93
	offset	20 103
	frame	data/chars/goldengloves/idle-11.png
	bbox	6 10 27 91
	offset	19 101
	frame	data/chars/goldengloves/idle-12.png
	bbox	7 10 27 93
	offset	20 103
	frame	data/chars/goldengloves/idle-13.png
	bbox	8 10 27 94
	offset	22 104
	frame	data/chars/goldengloves/idle-14.png
	bbox	10 10 27 95
	offset	26 106
	frame	data/chars/goldengloves/idle-15.png
	bbox	12 10 27 94
	offset	29 106
	frame	data/chars/goldengloves/idle-16.png
	bbox	12 10 27 92
	offset	31 103
	frame	data/chars/goldengloves/idle-17.png
	bbox	13 10 27 91
	offset	32 102
	frame	data/chars/goldengloves/idle-18.png
	bbox	13 10 27 91
	offset	32 103
	frame	data/chars/goldengloves/idle-19.png
	bbox	13 10 27 94
	offset	31 106
	frame	data/chars/goldengloves/idle-20.png
	@cmd	updateframe getlocalvar("self") 1
	bbox	12 10 27 94
	offset	28 106
	frame	data/chars/goldengloves/idle-21.png
		
anim	death
	delay	40
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
	delay	8
	offset	46 36
	frame	data/chars/goldengloves/rise-01.png
	offset	42 50
	frame	data/chars/goldengloves/rise-02.png
	offset	34 65
	frame	data/chars/goldengloves/rise-03.png
	offset	29 66
	frame	data/chars/goldengloves/rise-00.png
	offset	28 74
	frame	data/chars/goldengloves/rise-04.png
	offset	27 97
	frame	data/chars/goldengloves/rise-05.png
	sound	data/sounds/goldowch1.wav
	offset	32 86
	frame	data/chars/goldengloves/death-01.png
	offset	32 81
	frame	data/chars/goldengloves/death-02.png
	offset	32 93
	frame	data/chars/goldengloves/death-03.png
	offset	32 96
	frame	data/chars/goldengloves/death-04.png
	offset	32 93
	frame	data/chars/goldengloves/death-05.png
	offset	32 86
	frame	data/chars/goldengloves/death-01.png
	offset	32 81
	frame	data/chars/goldengloves/death-02.png
	offset	32 93
	frame	data/chars/goldengloves/death-03.png
	offset	32 96
	frame	data/chars/goldengloves/death-04.png
	sound	data/sounds/goldeth.wav
	offset	32 93
	frame	data/chars/goldengloves/death-05.png
	offset	25 105
	frame	data/chars/goldengloves/death-06.png
	offset	24 101
	frame	data/chars/goldengloves/death-07.png
	offset	26 88
	frame	data/chars/goldengloves/death-08.png
	offset	22 81
	frame	data/chars/goldengloves/death-09.png
	offset	19 73
	frame	data/chars/goldengloves/death-10.png
	offset	21 71
	frame	data/chars/goldengloves/death-11.png
	offset	22 75
	frame	data/chars/goldengloves/death-12.png
	offset	25 81
	frame	data/chars/goldengloves/death-13.png
	offset	43 60
	frame	data/chars/goldengloves/death-14.png
	offset	84 13
	frame	data/chars/goldengloves/fall7-10.png
	offset	84 13
	frame	data/chars/goldengloves/fall7-10.png
	offset	67 40
	frame	data/chars/goldengloves/death-15.png
	offset	47 47
	frame	data/chars/goldengloves/death-16.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	offset	39 61
	frame	data/chars/goldengloves/death-17.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	offset	39 61
	frame	data/chars/goldengloves/death-17.png
	offset	43 60
	frame	data/chars/goldengloves/death-14.png
	offset	84 13
	frame	data/chars/goldengloves/fall7-10.png
	offset	84 13
	frame	data/chars/goldengloves/fall7-10.png
		
anim	fall
	loop	0
	delay	30
	landframe	4
	offset	38 95
	attack	5 13 30 28 5 1 1 0 13 5
	bbox	0 0 0 0
	frame	data/chars/goldengloves/fall-01.png
	sound	data/sounds/goldowch1.wav
	offset	51 79
	frame	data/chars/goldengloves/fall-02.png
	offset	43 82
	frame	data/chars/goldengloves/fall-03.png
	delay	500
	offset	35 106
	frame	data/chars/goldengloves/fall7-04.png
	delay	10
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
	delay	50
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
		
anim	fall2
	loop	0
	delay	30
	landframe	4
	offset	38 95
	attack	5 13 30 28 5 1 1 0 13 5
	bbox	0 0 0 0
	frame	data/chars/goldengloves/fall-01.png
	offset	51 79
	frame	data/chars/goldengloves/fall-02.png
	offset	43 82
	frame	data/chars/goldengloves/fall-03.png
	delay	500
	offset	35 106
	frame	data/chars/goldengloves/fall7-04.png
	delay	10
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
	delay	50
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
		
anim	fall3
	loop	0
	delay	30
	landframe	4
	offset	38 95
	attack	5 13 30 28 5 1 1 0 13 5
	bbox	4 14 32 27
	frame	data/chars/goldengloves/fall-01.png
	bbox	12 13 37 22
	offset	51 79
	frame	data/chars/goldengloves/fall-02.png
	bbox	13 21 43 18
	offset	43 82
	frame	data/chars/goldengloves/fall-03.png
	bbox	14 3 67 18
	delay	500
	offset	35 106
	frame	data/chars/goldengloves/fall7-04.png
	bbox	0 0 0 0
	delay	10
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
	bbox	0 0 0 0
	delay	50
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
		
anim	fall7
	bbox	0 0 0 0
	delay	1000
	offset	21 77
	frame	data/chars/goldengloves/fall7-01.png
	offset	19 84
	frame	data/chars/goldengloves/fall7-02.png
	offset	41 18
	frame	data/chars/goldengloves/fall7-03.png
	offset	35 60
	frame	data/chars/goldengloves/fall7-04.png
	offset	19 85
	frame	data/chars/goldengloves/fall7-05.png
	offset	44 68
	frame	data/chars/goldengloves/fall7-06.png
	offset	25 64
	frame	data/chars/goldengloves/fall7-07.png
	offset	14 78
	frame	data/chars/goldengloves/fall7-08.png
	offset	10 84
	frame	data/chars/goldengloves/fall7-09.png
	offset	66 7
	frame	data/chars/goldengloves/fall7-10.png
	offset	64 26
	frame	data/chars/goldengloves/fall7-11.png
	offset	14 75
	frame	data/chars/goldengloves/fall7-12.png
	offset	59 14
	frame	data/chars/goldengloves/fall7-13.png
	offset	59 14
	frame	data/chars/goldengloves/fall7-14.png
	offset	35 27
	frame	data/chars/goldengloves/fall7-15.png
	offset	24 69
	frame	data/chars/goldengloves/fall7-16.png
	offset	25 76
	frame	data/chars/goldengloves/fall7-17.png
	offset	58 25
	frame	data/chars/goldengloves/fall7-18.png
	offset	58 25
	frame	data/chars/goldengloves/fall7-19.png
	offset	25 78
	frame	data/chars/goldengloves/fall7-20.png
	offset	17 88
	frame	data/chars/goldengloves/fall7-21.png
	offset	19 86
	frame	data/chars/goldengloves/fall7-22.png
	offset	25 78
	frame	data/chars/goldengloves/fall7-23.png
	offset	25 76
	frame	data/chars/goldengloves/fall7-17.png
	offset	19 86
	frame	data/chars/goldengloves/fall7-25.png
	bbox	0 24 25 41
	offset	10 54
	frame	data/chars/goldengloves/fall7-26.png
		
anim	fall9
	loop	0
	delay	9
	landframe	14
	bbox	0 0 0 0
	offset	36 88
	frame	data/chars/goldengloves/fall9-01.png
	offset	34 88
	frame	data/chars/goldengloves/fall9-02.png
	offset	39 83
	frame	data/chars/goldengloves/fall9-03.png
	offset	35 84
	frame	data/chars/goldengloves/fall9-04.png
	offset	36 88
	frame	data/chars/goldengloves/fall9-01.png
	offset	34 88
	frame	data/chars/goldengloves/fall9-02.png
	offset	39 83
	frame	data/chars/goldengloves/fall9-03.png
	offset	35 84
	frame	data/chars/goldengloves/fall9-04.png
	offset	36 88
	frame	data/chars/goldengloves/fall9-01.png
	offset	34 88
	frame	data/chars/goldengloves/fall9-02.png
	offset	39 83
	frame	data/chars/goldengloves/fall9-03.png
	offset	35 84
	frame	data/chars/goldengloves/fall9-04.png
	offset	36 88
	frame	data/chars/goldengloves/fall9-01.png
	offset	34 88
	frame	data/chars/goldengloves/fall9-02.png
	offset	55 26
	frame	data/chars/goldengloves/fall-05.png
		
anim	follow10
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	delay	3
	offset	35 48
	frame	data/chars/goldengloves/follow10-01.png
	offset	41 51
	frame	data/chars/goldengloves/follow10-02.png
	offset	42 56
	frame	data/chars/goldengloves/follow10-03.png
	offset	46 54
	frame	data/chars/goldengloves/follow10-04.png
	attack	21 20 98 39 60 1 0 0 50 15
	delay	7
	offset	44 56
	frame	data/chars/goldengloves/follow10-05.png
	delay	6
	offset	44 56
	frame	data/chars/goldengloves/follow10-06.png
	offset	44 58
	frame	data/chars/goldengloves/follow10-07.png
	offset	41 60
	frame	data/chars/goldengloves/follow10-08.png
	delay	7
	offset	34 65
	frame	data/chars/goldengloves/follow10-09.png
	delay	6
	offset	25 67
	frame	data/chars/goldengloves/follow10-10.png
	delay	7
	offset	29 68
	frame	data/chars/goldengloves/follow10-11.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	jumpframe	0 3 -1
	landframe	10
	loop	0
	delay	7
	offset	19 123
	frame	data/chars/goldengloves/jump-01.png
	offset	19 119
	frame	data/chars/goldengloves/jump-02.png
	offset	20 118
	frame	data/chars/goldengloves/jump-03.png
	offset	26 98
	frame	data/chars/goldengloves/jump-04.png
	offset	26 98
	frame	data/chars/goldengloves/jump-05.png
	offset	28 99
	frame	data/chars/goldengloves/jump-06.png
	offset	26 105
	frame	data/chars/goldengloves/jump-07.png
	offset	19 119
	frame	data/chars/goldengloves/jump-08.png
	offset	19 123
	frame	data/chars/goldengloves/jump-09.png
	delay	300
	offset	19 123
	frame	data/chars/goldengloves/jump-10.png
	delay	7
	offset	28 85
	frame	data/chars/goldengloves/jumpdelay-01.png
	offset	28 82
	frame	data/chars/goldengloves/jumpdelay-02.png
		
anim	follow16
	offset	13 90
	bbox	0 0 0 0
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	delay	7
	frame	data/chars/goldengloves/follow16-01.png
	@cmd	dasher -2 0 0
	offset	13 92
	frame	data/chars/goldengloves/follow16-02.png
	offset	29 73
	frame	data/chars/goldengloves/follow16-03.png
	offset	24 53
	frame	data/chars/goldengloves/follow16-04.png
	offset	34 45
	frame	data/chars/goldengloves/follow16-05.png
	offset	23 53
	frame	data/chars/goldengloves/follow16-06.png
	sound	data/sounds/goldmou.wav
	offset	47 47
	frame	data/chars/goldengloves/death-16.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	offset	43 61
	frame	data/chars/goldengloves/death-17.png
	@cmd	stop
	@cmd	spawn01 "dust" 1 1 1
	offset	22 81
	frame	data/chars/goldengloves/death-09.png
	delay	5
	offset	25 105
	frame	data/chars/goldengloves/death-06.png
	offset	27 97
	frame	data/chars/goldengloves/rise-05.png
		
anim	follow17
 @script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 7)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	bbox	0 0 0 0
	frame	data/chars/goldengloves/empty.png
	delay	10
	offset	24 105
	frame	data/chars/goldengloves/follow17-01.png
	offset	24 107
	frame	data/chars/goldengloves/follow17-02.png
	offset	24 109
	frame	data/chars/goldengloves/follow17-03.png
	delay	24
	offset	24 112
	frame	data/chars/goldengloves/follow17-04.png
	delay	8
	offset	24 111
	frame	data/chars/goldengloves/follow17-05.png
	delay	10
	offset	24 105
	frame	data/chars/goldengloves/follow17-06.png
	offset	24 105
	frame	data/chars/goldengloves/follow17-07.png
	delay	8
	offset	24 105
	frame	data/chars/goldengloves/follow17-08.png
	delay	35
	offset	24 105
	frame	data/chars/goldengloves/follow17-09.png
	delay	7
	offset	24 111
	frame	data/chars/goldengloves/follow17-05.png
	offset	24 112
	frame	data/chars/goldengloves/follow17-04.png
	offset	24 109
	frame	data/chars/goldengloves/follow17-03.png
	offset	24 107
	frame	data/chars/goldengloves/follow17-02.png
	offset	24 105
	frame	data/chars/goldengloves/follow17-01.png
		
anim	follow4
	loop	0
	delay	3
	bbox	0 0 0 0
	forcedirection	-1
	fastattack	1
	seal	15 2
	move	0
	@cmd	stop
	@cmd	clearL
	offset	24 104
	frame	data/chars/goldengloves/attack-01.png
	sound	data/sounds/goldshh.wav
	offset	24 103
	frame	data/chars/goldengloves/attack-02.png
	attack	20 19 54 33 10 0 1 0 5 20
	offset	24 104
	frame	data/chars/goldengloves/attack-03.png
	offset	24 104
	frame	data/chars/goldengloves/attack-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack-01.png
	offset	24 104
	frame	data/chars/goldengloves/attack2-01.png
	sound	data/sounds/goldshh.wav
	offset	23 103
	frame	data/chars/goldengloves/attack2-02.png
	attack	26 11 64 36 20 0 1 0 12 20
	offset	23 103
	frame	data/chars/goldengloves/attack2-03.png
	offset	23 103
	frame	data/chars/goldengloves/attack2-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 104
	frame	data/chars/goldengloves/attack2-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack2-06.png
	offset	24 102
	sound	data/sounds/goldshu.wav
	frame	data/chars/goldengloves/attack3-01.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-02.png
	offset	23 103
	frame	data/chars/goldengloves/attack3-03.png
	attack	36 7 59 31 0 0 1 0 8 20
	offset	23 103
	frame	data/chars/goldengloves/attack3-04.png
	attack	0 0 0 0 0 0 0 0 0 0
	offset	24 103
	frame	data/chars/goldengloves/attack3-05.png
	offset	24 104
	frame	data/chars/goldengloves/attack3-06.png
	offset	26 94
	hitfx	data/sounds/beat5.wav
	frame	data/chars/goldengloves/attack4-01.png
	offset	26 88
	frame	data/chars/goldengloves/attack4-02.png
	sound	data/sounds/goldshh.wav
	attack	40 6 44 52 20 0 1 0 20 20
	offset	28 97
	frame	data/chars/goldengloves/attack4-03.png
	offset	27 97
	frame	data/chars/goldengloves/attack4-04.png
	offset	27 95
	frame	data/chars/goldengloves/attack4-05.png
	offset	26 91
	frame	data/chars/goldengloves/attack4-06.png
	sound	data/sounds/goldshh.wav
