name			byotkcn1
	frame	data/bgs/beyond/lvl20/bck/tankcn17.gif
	sound	data/sounds/overlord04.wav
	frame	data/bgs/beyond/lvl20/bck/tankcn16.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn17.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn16.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn17.gif
	delay	12
	frame	data/bgs/beyond/lvl20/bck/tankcn18.gif
	@cmd	spawnGun7 "venn1" -20 25 1 4 1 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl20/bck/tankcn19.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn20.gif
	@cmd	clearL
	frame	data/bgs/beyond/lvl20/bck/tankcn21.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn22.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn23.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn24.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn24.gif #18
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn24.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn24.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn24.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	@cmd	looper 18 65 
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	@cmd	killgun 2 0
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	@cmd	killgun 3 0
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	@cmd	killgun 4 0
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif
	@cmd	anichange "ANI_FOLLOW7"
	frame	data/bgs/beyond/lvl20/bck/tankcn25.gif


anim	follow7
	loop	1
	delay	12
	offset	95 90
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn19.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn19.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn19.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn19.gif


anim	idle
	loop	1
	delay	12
	offset	95 110
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif
	@cmd	clearL
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif

anim	fall
	loop	0
	delay	5
	offset	95 110
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif

anim	rise
	loop	0
	delay	5
	offset	95 110
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif


anim	death
	loop	0
	delay	15
	offset	95 110
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif


