name		bigali
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif



anim	death
	loop	0
	delay	5
	offset	550 650
	bbox	0 0 0 0
	quakeframe	42 35 20
	@cmd	killgun 6 1
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	@cmd	looper 2 4 
	@cmd	killgun 3 0
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	sound	data/sounds/bear1.wav
	sound	data/sounds/beat4.wav
	@cmd	killgun 5 0
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	@cmd	killgun 4 0
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	@cmd	degravity 1
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	@cmd	dasher 0 2 0
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	sound	data/sounds/beat4.wav
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	sound	data/sounds/beat4.wav
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	@cmd	killgun 2 0
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	sound	data/sounds/bear2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif #15
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	@cmd	looper 37 10
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	frame	data/bgs/beyond/lvl2/mali/alidet01.gif
	frame	data/bgs/beyond/lvl2/mali/alidet02.gif
	frame	data/bgs/beyond/lvl2/mali/alidet03.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif #30
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	sound	data/sounds/fall3.wav
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif
	delay	10
	frame	data/bgs/beyond/lvl2/mali/alidet04.gif




		
anim	fall
	loop	0
	delay	5
	offset	550 650
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
		
anim	idle
	loop	1
	delay	4
	offset	550 650
	bbox	385 435 90 210
	@cmd	lifeaggr 50 250
	frame	data/bgs/beyond/lvl2/mali/idl01.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle07.gif
	frame	data/bgs/beyond/lvl2/mali/idle06.gif
	frame	data/bgs/beyond/lvl2/mali/idle05.gif
	frame	data/bgs/beyond/lvl2/mali/idle04.gif
	frame	data/bgs/beyond/lvl2/mali/idle03.gif
	frame	data/bgs/beyond/lvl2/mali/idle02.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle00.gif
	frame	data/bgs/beyond/lvl2/mali/idl03.gif
	frame	data/bgs/beyond/lvl2/mali/idl02.gif








		
anim	pain
	loop	0
	delay	5
	offset	550 650
	bbox	385 435 90 210
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
		
anim	pain2
	loop	0
	delay	5
	offset	550 650
	bbox	385 435 90 210
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
		
anim	rise
	loop	0
	delay	5
	offset	550 650
	bbox	385 435 90 210
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
		
anim	spawn
	loop	0
	delay	5
	offset	550 650
	bbox	0 0 0 0
	quakeframe	8 35 20
	jumpframe 1 12 0 0
	landframe 7
	@cmd	spawnGun2 "mrkarate3" -850 0 35 6  
	frame	data/bgs/beyond/lvl2/mali/sp00.gif
	delay	50
	frame	data/bgs/beyond/lvl2/mali/sp00.gif
	delay	5
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	@cmd	spawnGun "bigaliarm1" 150 5 15 2
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	@cmd	spawnGun5 "bigaliarm2" 1 1 1 3 "ANI_FOLLOW5"
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	@cmd	spawnGun "bigaliarm2" -300 1 1 4
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	delay	1000
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	delay	6
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	@cmd	spawnGun5 "bigaliarm1" 1 100 100 5 "ANI_FOLLOW4"
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	sound	data/sounds/fall2.wav
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	sound	data/sounds/fall3.wav
	delay	50
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	delay	12
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
	@cmd	beidle
	frame	data/bgs/beyond/lvl2/mali/idle01.gif
		
#|edited by openBor Stats v 0.53
		
