name          overlord2
	frame	data/chars/beyond/3overlord/run03.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run04.gif
	frame	data/chars/beyond/3overlord/run05.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	stop
	delay	14
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	attack2
	range	110 135
	rangez	-14 14
	loop	0
	delay	6
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/hard2.wav
	hitflash	flashscreen1
	move	5
	frame	data/chars/beyond/3overlord/c01.gif
	frame	data/chars/beyond/3overlord/c01.gif
	frame	data/chars/beyond/3overlord/c02.gif
	frame	data/chars/beyond/3overlord/c02.gif
	attack3	115 95 90 45 20 1 0 0 45 15
	dropv	2 6
	frame	data/chars/beyond/3overlord/c03.gif
	move	0
	frame	data/chars/beyond/3overlord/c03.gif
	delay	14
	frame	data/chars/beyond/3overlord/c04.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/c02.gif
	frame	data/chars/beyond/3overlord/c01.gif
		
anim	attack4
	range	90 150
	rangez	30 200
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/beat1.wav
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab04.gif
	frame	data/chars/beyond/3overlord/ab05.gif
	frame	data/chars/beyond/3overlord/ab06.gif
	@cmd	spawnbind4 "ldrpwr" 1 1 1 1 4
	delay	130
	frame	data/chars/beyond/3overlord/ab07.gif
	@cmd	spawn02 "ldrpwr3" 1 500 500
	delay	500
	frame	data/chars/beyond/3overlord/ab07.gif
	delay	12
	frame	data/chars/beyond/3overlord/ab06.gif
	frame	data/chars/beyond/3overlord/ab05.gif
	frame	data/chars/beyond/3overlord/ab04.gif
	frame	data/chars/beyond/3overlord/ab03.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/pain3.gif
	delay	10
	frame	data/chars/beyond/3overlord/pain4.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	attack5
	range	90 150
	rangez	-200 -30
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/beat1.wav
	@cmd	spawnAni "ldrpwr" 180 1 -35 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" 90 1 60 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/b01.gif
	@cmd	spawnAni "ldrpwr" 1 1 -35 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/b02.gif
	@cmd	spawnAni "ldrpwr" -180 1 -55 "ANI_FOLLOW5"
	@cmd	spawnAni "ldrpwr" -90 1 60 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/b03.gif
	delay	6
	frame	data/chars/beyond/3overlord/b04.gif
	frame	data/chars/beyond/3overlord/b05.gif
	frame	data/chars/beyond/3overlord/b06.gif
	frame	data/chars/beyond/3overlord/b07.gif
	frame	data/chars/beyond/3overlord/b08.gif
	frame	data/chars/beyond/3overlord/b09.gif
	frame	data/chars/beyond/3overlord/b10.gif
	@cmd	looper 4 8
	delay	12
	frame	data/chars/beyond/3overlord/b03.gif
	frame	data/chars/beyond/3overlord/b02.gif
	frame	data/chars/beyond/3overlord/b01.gif
		
anim	attack6
	range	170 195
	rangez	-25 25
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/beat1.wav
	frame	data/chars/beyond/3overlord/b01.gif
	@cmd	spawnbind4 "ldrpwr" 1 1 1 1 4
	frame	data/chars/beyond/3overlord/b02.gif
	delay	8
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	@cmd	spawn01 "ldrpwr" 110 1 -1
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	frame	data/chars/beyond/3overlord/bpw01.gif
	frame	data/chars/beyond/3overlord/bpw02.gif
	@cmd	looper 3 3
	delay	12
	frame	data/chars/beyond/3overlord/b02.gif
	frame	data/chars/beyond/3overlord/b01.gif
		
anim	attack8
	range	180 280
	rangez	25 140
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	quakeframe	2 4 8
	hitfx	data/sounds/beat5.wav
	@cmd	target 2 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	attack3	95 100 60 55 5 0 1 1 25 15
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	frame	data/chars/beyond/3overlord/run01.gif
	@cmd	target 2 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	looper 6 3
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run04.gif
	frame	data/chars/beyond/3overlord/run05.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	stop
	delay	14
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	attack9
	range	-20 55
	rangez	25 100
	loop	0
	delay	15
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	spawnbind4 "ldrpwr" 1 1 1 1 4
	@cmd	spawnGun2 "ldrpwr2" 1 1 1 2
	frame	data/chars/beyond/3overlord/e01.gif
	delay	500
	frame	data/chars/beyond/3overlord/e02.gif
	delay	15
	frame	data/chars/beyond/3overlord/e01.gif
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	backwalk
	loop	1 4
	delay	9
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
	frame	data/chars/beyond/3overlord/wk00.gif
	frame	data/chars/beyond/3overlord/wk01.gif
	frame	data/chars/beyond/3overlord/wk02.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk04.gif
	frame	data/chars/beyond/3overlord/wk03.gif
	frame	data/chars/beyond/3overlord/wk02.gif
		
anim	block
	loop	0
	delay	5
	offset	103 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain1.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	move	-6
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain3.gif
	frame	data/chars/beyond/3overlord/pain3.gif
	frame	data/chars/beyond/3overlord/pain4.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	move	-3
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	delay	11
	move	0
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	attack1 0 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	burn
	loop	0
	delay	200
	offset	103 189
	bbox	0 0 0 0
	jumpframe	0 0.1 -5
	landframe	1 dust
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	frame	data/chars/beyond/3overlord/pain8.gif
	delay	2
	move	-6
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	spawnbind "dust" -1 1 1
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	move	0
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	anichange "ANI_RISE"
	frame	data/chars/beyond/3overlord/pain7.gif
			
anim	fall
	loop	0
	delay	200
	offset	103 189
	bbox	0 0 0 0
	jumpframe	0 0.1 -5
	landframe	1 dust
	frame	data/chars/beyond/3overlord/pain8.gif
	delay	2
	move	-6
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	spawnbind "dust" -1 1 1
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7a.gif
	move	0
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	anichange "ANI_RISE"
	frame	data/chars/beyond/3overlord/pain7.gif



anim	fall7
@script
	void self = getlocalvar("self");
 	void opp = getentityproperty(self, "opponent");

	if(frame >= 0)
	{
     	bindentity(opp, NULL());
     	bindentity(self, NULL());
     	performattack(opp, openborconstant("ANI_PAIN"));
     	performattack(self, openborconstant("ANI_FOLLOW2"));
	}
@end_script
	loop	0
	delay	5
	offset	103 189
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif




		
anim	follow1
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	fastattack	1
	@cmd	target 2 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	@cmd	spawnbind6 "ldrpwr" 1 1 -1 "ANI_FOLLOW9"
	frame	data/chars/beyond/3overlord/run05.gif
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/c05.gif
	attack5	90 45 85 100 22 1 0 0 40 20
	dropv	9 1
	frame	data/chars/beyond/3overlord/c06.gif
	frame	data/chars/beyond/3overlord/c07.gif
	@cmd	stop
	delay	75
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/c08.gif
	delay	15
	frame	data/chars/beyond/3overlord/c09.gif
	attack5	0 0 0 0
	frame	data/chars/beyond/3overlord/c10.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	follow11
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/k04.gif
	frame	data/chars/beyond/3overlord/k05.gif
	frame	data/chars/beyond/3overlord/k04.gif
	frame	data/chars/beyond/3overlord/k05.gif
	delay	15
	frame	data/chars/beyond/3overlord/k04.gif
	frame	data/chars/beyond/3overlord/k03.gif
	frame	data/chars/beyond/3overlord/k02.gif
	frame	data/chars/beyond/3overlord/k01.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	follow2
	loop	0
	delay	9
	offset	100 189
	bbox	0 0 0 0
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	fastattack	1
	@cmd	target 1 1 1 1 1
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/h01.gif
	frame	data/chars/beyond/3overlord/h02.gif
	delay	5
	@cmd	dash
	frame	data/chars/beyond/3overlord/h03.gif
	frame	data/chars/beyond/3overlord/h03.gif
	frame	data/chars/beyond/3overlord/h03.gif
	attack5	90 45 85 100 35 1 0 0 35 20
	dropv	10 1
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h05.gif
	frame	data/chars/beyond/3overlord/h05.gif
	frame	data/chars/beyond/3overlord/h05.gif
	@cmd	stop
	delay	12
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/h06.gif
	attack5	0 0 0 0
	delay	20
	frame	data/chars/beyond/3overlord/h07.gif
	delay	12
	frame	data/chars/beyond/3overlord/pain1.gif
		
anim	follow4
	delay	30
	attackone	0
	offset	100 189
	bbox	0 0 0 0
	@cmd	slamstart2
	@cmd	position 7 60 30 -1 -1
	frame	data/chars/beyond/3overlord/d01.gif
	delay	15
	@cmd	spawngrab "grab1" 200 200 450 155 1 8
	@cmd	position 11 55 55 -1 -1
	frame	data/chars/beyond/3overlord/d02.gif
	delay	90
	@cmd	position 23 50 75 -1 -1
	frame	data/chars/beyond/3overlord/d03.gif
	delay	11
	@cmd	position 23 40 55 -1 -1
	frame	data/chars/beyond/3overlord/d12.gif
	@cmd	position 7 30 55 -1 -1
	frame	data/chars/beyond/3overlord/d13.gif
	@cmd	position 11 32 62 -1 -1
	frame	data/chars/beyond/3overlord/d14.gif
	@cmd	spawn01 "flash" 30 95 1
	sound	data/sounds/hard1.wav
	@cmd	position 11 30 60 -1 -1
	frame	data/chars/beyond/3overlord/d15.gif
	@cmd	position 7 30 55 -1 -1
	frame	data/chars/beyond/3overlord/d16.gif
	@cmd	position 23 40 55 -1 -1
	frame	data/chars/beyond/3overlord/d12.gif
	delay	20
	@cmd	position 23 50 75 -1 -1
	frame	data/chars/beyond/3overlord/d03.gif
	@cmd	looper 3 3
	delay	20
	@cmd	position 23 50 75 -1 -1
	frame	data/chars/beyond/3overlord/d03.gif
	delay	12
	@cmd	position 1 50 65 1 1
	frame	data/chars/beyond/3overlord/d04.gif
	@cmd	position 0 40 60 1 1
	frame	data/chars/beyond/3overlord/d05.gif
	@cmd	position 2 -30 35 1 1
	frame	data/chars/beyond/3overlord/d06.gif
	delay	2
	@cmd	killgun 8 0
	@cmd	position 2 0 35 1 1
	frame	data/chars/beyond/3overlord/d06.gif
	@cmd	depost 0
	@cmd	finish 120 1 -4 3 0 0
	frame	data/chars/beyond/3overlord/d07.gif
	frame	data/chars/beyond/3overlord/d08.gif
	frame	data/chars/beyond/3overlord/d09.gif
	@cmd	clearL
	frame	data/chars/beyond/3overlord/d10.gif
	frame	data/chars/beyond/3overlord/d11.gif
	delay	16
	@cmd	flip
	frame	data/chars/beyond/3overlord/pain1.gif
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain3.gif
	delay	100
	frame	data/chars/beyond/3overlord/pain4.gif
	delay	10
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	@cmd	attack1 -120 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain4.gif
	delay	11
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	attack1 0 120 25 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	idle
	loop	1
	delay	1
	offset	100 189
	bbox	79 97 50 91
	@cmd	clearL
	frame	data/chars/beyond/3overlord/idle01.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/idle02.gif
	frame	data/chars/beyond/3overlord/idle03.gif
	frame	data/chars/beyond/3overlord/idle04.gif
	frame	data/chars/beyond/3overlord/idle05.gif
	frame	data/chars/beyond/3overlord/idle06.gif
	frame	data/chars/beyond/3overlord/idle07.gif
	frame	data/chars/beyond/3overlord/idle08.gif
	frame	data/chars/beyond/3overlord/idle09.gif
	frame	data/chars/beyond/3overlord/idle10.gif
	frame	data/chars/beyond/3overlord/idle11.gif
	frame	data/chars/beyond/3overlord/idle12.gif
	frame	data/chars/beyond/3overlord/idle13.gif
	frame	data/chars/beyond/3overlord/idle14.gif
	frame	data/chars/beyond/3overlord/idle15.gif
	frame	data/chars/beyond/3overlord/idle16.gif
	frame	data/chars/beyond/3overlord/idle17.gif
	frame	data/chars/beyond/3overlord/idle18.gif
	frame	data/chars/beyond/3overlord/idle19.gif
	frame	data/chars/beyond/3overlord/idle20.gif
	frame	data/chars/beyond/3overlord/idle21.gif
	frame	data/chars/beyond/3overlord/idle22.gif
	frame	data/chars/beyond/3overlord/idle23.gif
	frame	data/chars/beyond/3overlord/idle24.gif
	frame	data/chars/beyond/3overlord/idle25.gif
	frame	data/chars/beyond/3overlord/idle26.gif
	frame	data/chars/beyond/3overlord/idle27.gif
	frame	data/chars/beyond/3overlord/idle28.gif
	frame	data/chars/beyond/3overlord/idle29.gif
	frame	data/chars/beyond/3overlord/idle30.gif
	frame	data/chars/beyond/3overlord/idle31.gif
	frame	data/chars/beyond/3overlord/idle32.gif
	frame	data/chars/beyond/3overlord/idle33.gif
	frame	data/chars/beyond/3overlord/idle34.gif
	frame	data/chars/beyond/3overlord/idle35.gif
	frame	data/chars/beyond/3overlord/idle36.gif
	frame	data/chars/beyond/3overlord/idle37.gif
	frame	data/chars/beyond/3overlord/idle38.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	jumpland
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif
		
anim	pain
	loop	0
	delay	3
	offset	100 189
	bbox	79 97 50 91
	@cmd	stop
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain5.gif
	delay	6
	offset	105 189
	frame	data/chars/beyond/3overlord/pain5.gif
	offset	100 189
	frame	data/chars/beyond/3overlord/pain5.gif
		
anim	pain2
	loop	0
	delay	3
	offset	100 189
	bbox	79 97 50 91
	@cmd	stop
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	killgun 1 0
	@cmd	killgun 2 0
	frame	data/chars/beyond/3overlord/pain5.gif
	delay	6
	offset	105 189
	frame	data/chars/beyond/3overlord/pain5.gif
	offset	100 189
	frame	data/chars/beyond/3overlord/pain5.gif
		
anim	rise
	loop	0
	delay	6
	offset	103 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/pain5.gif
		
anim	spawn
	loop	1 4 6
	delay	5
	offset	100 189
	bbox	0 0 0 0
	platform	-30 680 10 10 30 30 500 150
	frame	data/chars/beyond/3overlord/spawn01.gif
	@cmd	spawnGun5 "mbrain" 0 0 -1 30 "ANI_FOLLOW6"
	frame	data/chars/beyond/3overlord/spawn01.gif
	frame	data/chars/beyond/3overlord/spawn01.gif
	delay	5
	frame	data/chars/beyond/3overlord/spawn01.gif
