name          overlordfn
	frame	data/chars/beyond/3overlord/run04.gif
	frame	data/chars/beyond/3overlord/run05.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	stop
	delay	11
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif



anim	attack9
	range	150 315
	rangez	-170 -35
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	followanim	1
	followcond	1
	quakeframe	2 4 8
	hitfx	data/sounds/beat5.wav
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	attack3	95 100 60 55 5 0 1 1 25 15
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	frame	data/chars/beyond/3overlord/run01.gif
	@cmd	target 3 1.5 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run05.gif
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	looper 6 3
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run01.gif
	frame	data/chars/beyond/3overlord/run02.gif
	frame	data/chars/beyond/3overlord/run03.gif
	sound	data/sounds/fall2.wav
	frame	data/chars/beyond/3overlord/run04.gif
	frame	data/chars/beyond/3overlord/run05.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/run06.gif
	@cmd	stop
	delay	11
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif



anim	attack4
	range	220 300
	rangez	-35 35
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/bpx05.gif
	frame	data/chars/beyond/3overlord/bpx06.gif
	@cmd	anichange "Ani_FOLLOW4"
	frame	data/chars/beyond/3overlord/bpx05.gif


anim	follow4
	loop	0
	delay	5
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/bpx07a.gif
	frame	data/chars/beyond/3overlord/bpx08a.gif
	@cmd	spawnbind4 "tentcl2" 1 1 5 0 4
	@cmd	spawnbind4 "tentcl2" -20 15 -1 0 4
	@cmd	spawnbind4 "tentcl2" 20 15 -1 0 4
	@cmd	spawnbind4 "tentcl2" -20 1 20 0 4
	@cmd	spawnbind4 "tentcl2" 20 1 20 0 4

	@cmd	spawnbind4 "ldrpwr3" 25 15 1 1 4
	frame	data/chars/beyond/3overlord/bpx09a.gif

	frame	data/chars/beyond/3overlord/bpx07.gif #3

	frame	data/chars/beyond/3overlord/bpx08a.gif
	@cmd	attack1 -80 -5 15 "ANI_TURN" 
	frame	data/chars/beyond/3overlord/bpx09a.gif
	frame	data/chars/beyond/3overlord/bpx07a.gif

	frame	data/chars/beyond/3overlord/bpx08.gif
	@cmd	spawnM2 "ldrpwr" 110 1 -1 1
	frame	data/chars/beyond/3overlord/bpx09a.gif
	@cmd	attack1 -80 -5 15 "ANI_TURN"
	frame	data/chars/beyond/3overlord/bpx07a.gif
	frame	data/chars/beyond/3overlord/bpx08a.gif

	frame	data/chars/beyond/3overlord/bpx09.gif

	frame	data/chars/beyond/3overlord/bpx07a.gif
	@cmd	attack1 -80 -5 15 "ANI_TURN"
	frame	data/chars/beyond/3overlord/bpx08a.gif
	frame	data/chars/beyond/3overlord/bpx09a.gif
	@cmd	looper 3 5 
	delay	7
	frame	data/chars/beyond/3overlord/bpx06.gif
	frame	data/chars/beyond/3overlord/bpx05.gif
	frame	data/chars/beyond/3overlord/pain1.gif





		
anim	backwalk
	loop	1
	delay	7
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/wk10.gif
	frame	data/chars/beyond/3overlord/wk11a.gif
	frame	data/chars/beyond/3overlord/wk10b.gif
	frame	data/chars/beyond/3overlord/wk11.gif

		
anim	block
	loop	0
	delay	2
	offset	103 189
	bbox	79 97 50 91
	move	-4
	frame	data/chars/beyond/3overlord/d16.gif
	frame	data/chars/beyond/3overlord/d16.gif
	frame	data/chars/beyond/3overlord/d16.gif
	frame	data/chars/beyond/3overlord/death01.gif
	move	-6
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	move	-4
	frame	data/chars/beyond/3overlord/death01.gif
	frame	data/chars/beyond/3overlord/death01.gif
	move	0
	frame	data/chars/beyond/3overlord/death01.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/death01.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/death01.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/death01.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/death01.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/d16.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/d16.gif
	@cmd	attack1 -80 150 15 "ANI_FOLLOW5"
	frame	data/chars/beyond/3overlord/d16.gif



anim	follow5
	loop	0
	delay	3
	offset	103 189
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/go01.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go03.gif
	frame	data/chars/beyond/3overlord/go04.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go08.gif
	delay	1
	move	150
	frame	data/chars/beyond/3overlord/empty.gif
	move	0
	delay	3
	@cmd	target 2 1 1 1 0
	frame	data/chars/beyond/3overlord/go08.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/go07.gif
	frame	data/chars/beyond/3overlord/go06.gif
	frame	data/chars/beyond/3overlord/go05.gif
	frame	data/chars/beyond/3overlord/go04.gif
	frame	data/chars/beyond/3overlord/go03.gif
	frame	data/chars/beyond/3overlord/go02.gif
	frame	data/chars/beyond/3overlord/go01.gif

	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	attack1 -150 150 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	attack1 -150 150 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	attack1 -150 150 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain1.gif
	@cmd	attack1 -150 150 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain1.gif
	@cmd	attack1 -150 150 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/3overlord/pain1.gif


anim	fall
	loop	0
	delay	200
	offset	103 189
	bbox	0 0 0 0
	jumpframe 0 0.1 -5
	landframe 1 dust
	frame	data/chars/beyond/3overlord/pain8.gif
	delay	2
	move	-6
	frame	data/chars/beyond/3overlord/pain8.gif
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	spawnbind "dust" -1 1 1
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif

	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	damchg2
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif

	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	move	0
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	anichange "ANI_RISE"
	frame	data/chars/beyond/3overlord/pain7.gif


anim	fall7
@script
	void self = getlocalvar("self");
 	void opp = getentityproperty(self, "opponent");

	if(frame >= 0)
	{
     	bindentity(opp, NULL());
     	bindentity(self, NULL());
     	performattack(opp, openborconstant("ANI_PAIN"));
     	performattack(self, openborconstant("ANI_FOLLOW2"));
	}
@end_script
	loop	0
	delay	5
	offset	103 189
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif
	frame	data/chars/beyond/3overlord/idle43.gif



anim	rise
	loop	0
	delay	6
	offset	103 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain6.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/pain5.gif


anim	special2
	loop	0
	delay	4
	offset	103 189
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/pain10.gif
	frame	data/chars/beyond/3overlord/pain11.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/pain12.gif
	@cmd	target 4 2 2 2 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/pain13.gif
	frame	data/chars/beyond/3overlord/pain14.gif
	frame	data/chars/beyond/3overlord/pain15.gif
	frame	data/chars/beyond/3overlord/pain16.gif
	frame	data/chars/beyond/3overlord/pain17.gif
	frame	data/chars/beyond/3overlord/pain18.gif
	frame	data/chars/beyond/3overlord/pain19.gif

	#@cmd	target 4 2 2 2 0
	frame	data/chars/beyond/3overlord/pain18.gif
	frame	data/chars/beyond/3overlord/pain17.gif
	frame	data/chars/beyond/3overlord/pain16.gif
	frame	data/chars/beyond/3overlord/pain15.gif
	frame	data/chars/beyond/3overlord/pain14.gif
	frame	data/chars/beyond/3overlord/pain13.gif
	@cmd	target 1 1 1 1 0
	@cmd	stop
	frame	data/chars/beyond/3overlord/pain12.gif
	frame	data/chars/beyond/3overlord/pain11.gif
	@cmd	attack1 -140 140 25 "ANI_FOLLOW8"
	frame	data/chars/beyond/3overlord/pain10.gif
	delay	8
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -140 140 25 "ANI_FOLLOW8"
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	attack1 -140 140 25 "ANI_FOLLOW8"
	frame	data/chars/beyond/3overlord/pain6.gif
	@cmd	attack1 -140 140 25 "ANI_FOLLOW8"
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/pain5.gif


anim	follow8
	loop	0
	delay	4
	offset	103 189
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/pain10.gif
	frame	data/chars/beyond/3overlord/pain11.gif
	sound	data/sounds/super3.wav
	frame	data/chars/beyond/3overlord/pain12.gif
	@cmd	target 4 2 2 2 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/pain13.gif
	frame	data/chars/beyond/3overlord/pain14.gif
	frame	data/chars/beyond/3overlord/pain15.gif
	frame	data/chars/beyond/3overlord/pain16.gif
	frame	data/chars/beyond/3overlord/pain17.gif
	frame	data/chars/beyond/3overlord/pain18.gif
	frame	data/chars/beyond/3overlord/pain19.gif

	#@cmd	target 4 2 2 2 0
	frame	data/chars/beyond/3overlord/pain18.gif
	frame	data/chars/beyond/3overlord/pain17.gif
	frame	data/chars/beyond/3overlord/pain16.gif
	frame	data/chars/beyond/3overlord/pain15.gif
	frame	data/chars/beyond/3overlord/pain14.gif
	frame	data/chars/beyond/3overlord/pain13.gif
	@cmd	target 1 1 1 1 0
	@cmd	stop
	frame	data/chars/beyond/3overlord/pain12.gif
	frame	data/chars/beyond/3overlord/pain11.gif
	frame	data/chars/beyond/3overlord/pain10.gif
	delay	8
	frame	data/chars/beyond/3overlord/pain7a.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/pain5.gif


	
anim	burn
	loop	0
	delay	200
	offset	103 189
	bbox	0 0 0 0
	jumpframe 0 0.1 -5
	landframe 1 dust
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	frame	data/chars/beyond/3overlord/pain8.gif
	delay	2
	move	-6
	frame	data/chars/beyond/3overlord/pain8.gif
	frame	data/chars/beyond/3overlord/pain8.gif
	@cmd	spawnbind "dust" -1 1 1
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif
	frame	data/chars/beyond/3overlord/pain5.gif

	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	frame	data/chars/beyond/3overlord/pain6.gif
	move	-4
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	damchg2
	frame	data/chars/beyond/3overlord/pain7.gif
	frame	data/chars/beyond/3overlord/pain7.gif

	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7a.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	move	0
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	attack1 -100 100 25 "ANI_SPECIAL2"
	frame	data/chars/beyond/3overlord/pain7.gif
	@cmd	anichange "ANI_RISE"
	frame	data/chars/beyond/3overlord/pain7.gif

		
anim	follow1
	loop	0
	delay	7
	offset	100 189
	bbox	79 97 50 91
	hitfx	data/sounds/beat4.wav
	fastattack	1
	@cmd	target 1.5 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/run03.gif
	frame	data/chars/beyond/3overlord/run04.gif
	@cmd	spawnGun5 "ldrpwr" 1 1 -1 8 "ANI_FOLLOW9"
	frame	data/chars/beyond/3overlord/run05.gif
	@cmd	target 1 1 1 1 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/c05.gif
	attack3	90 45 85 100 22 1 0 0 25 20
	dropv	4.5 0
	frame	data/chars/beyond/3overlord/c06.gif
	frame	data/chars/beyond/3overlord/c07.gif
	@cmd	stop
	delay	20
	frame	data/chars/beyond/3overlord/c08.gif
	delay	10
	frame	data/chars/beyond/3overlord/c09.gif
	attack3	0 0 0 0
	frame	data/chars/beyond/3overlord/c10.gif
	delay	9
	frame	data/chars/beyond/3overlord/c15.gif
	hitflash	flashscreen2
	frame	data/chars/beyond/3overlord/c16.gif
	attack5	90 20 85 130 35 1 0 0 40 30
	dropv	7 0.5
	frame	data/chars/beyond/3overlord/c17.gif
	frame	data/chars/beyond/3overlord/c18.gif
	frame	data/chars/beyond/3overlord/c19.gif
	attack5	0 0 0 0
	delay	70
	frame	data/chars/beyond/3overlord/c20.gif
	delay	12
	@cmd	killgun 8 0
	frame	data/chars/beyond/3overlord/c21.gif
	frame	data/chars/beyond/3overlord/c22.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	follow2
	loop	0
	delay	5
	offset	100 189
	bbox	0 0 0 0
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	fastattack	1
	@cmd	target 2 1 0.5 0.5 0
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/h01.gif
	frame	data/chars/beyond/3overlord/h02.gif
	delay	3
	@cmd	target 2 1 0.5 0.5 0
	@cmd	dash
	frame	data/chars/beyond/3overlord/h03.gif
	frame	data/chars/beyond/3overlord/h03.gif
	frame	data/chars/beyond/3overlord/h03.gif
	attack5	90 45 85 100 35 1 0 0 15 20
	dropv	4 4
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h04.gif
	frame	data/chars/beyond/3overlord/h05.gif
	frame	data/chars/beyond/3overlord/h05.gif
	@cmd	stop
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/h05.gif
	delay	10
	frame	data/chars/beyond/3overlord/h06.gif
	attack5	0 0 0 0
	frame	data/chars/beyond/3overlord/h07.gif
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/idle39.gif
		
anim	follow6
	delay	30
	attackone	0
	offset	100 189
	bbox	0 0 0 0
	@cmd	slamstart2
	@cmd	position 7 60 30 -1 -1
	frame	data/chars/beyond/3overlord/d01.gif
	delay	9
	@cmd	spawngrab "grab1" 200 200 450 110 1 8
	@cmd	position 11 55 55 -1 -1
	frame	data/chars/beyond/3overlord/d02.gif
	@cmd	position 23 50 75 -1 -1
	frame	data/chars/beyond/3overlord/d03.gif
	@cmd	position 23 40 55 -1 -1
	frame	data/chars/beyond/3overlord/d12.gif
	@cmd	position 7 30 55 -1 -1
	frame	data/chars/beyond/3overlord/d13.gif
	@cmd	position 11 32 62 -1 -1
	frame	data/chars/beyond/3overlord/d14.gif
	@cmd	spawn01 "flash" 30 95 1
	sound	data/sounds/hard1.wav
	@cmd	position 11 30 60 -1 -1
	frame	data/chars/beyond/3overlord/d15.gif
	@cmd	position 7 30 55 -1 -1
	frame	data/chars/beyond/3overlord/d16.gif
	@cmd	position 23 40 55 -1 -1
	frame	data/chars/beyond/3overlord/d12.gif
	@cmd	position 23 50 75 -1 -1
	frame	data/chars/beyond/3overlord/d03.gif
	@cmd	looper 3 2
	delay	11
	@cmd	position 1 50 65 1 1
	frame	data/chars/beyond/3overlord/d04.gif
	@cmd	position 0 40 60 1 1
	frame	data/chars/beyond/3overlord/d05.gif
	@cmd	position 2 -30 35 1 1
	frame	data/chars/beyond/3overlord/d06.gif
	delay	2
	@cmd	killgun 8 0
	@cmd	position 2 0 35 1 1
	frame	data/chars/beyond/3overlord/d06.gif
	@cmd	depost 0
	@cmd	finish 120 1 -4 3 0 0
	frame	data/chars/beyond/3overlord/d07.gif
	frame	data/chars/beyond/3overlord/d08.gif
	frame	data/chars/beyond/3overlord/d09.gif
	@cmd	clearL
	frame	data/chars/beyond/3overlord/d10.gif
	frame	data/chars/beyond/3overlord/d11.gif

anim	turn
	loop	0
	delay	5
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain3a.gif
	frame	data/chars/beyond/3overlord/pain4a.gif
	frame	data/chars/beyond/3overlord/pain4b.gif
	frame	data/chars/beyond/3overlord/pain4c.gif
	frame	data/chars/beyond/3overlord/pain4.gif
	frame	data/chars/beyond/3overlord/pain4c.gif
	frame	data/chars/beyond/3overlord/pain4b.gif
	frame	data/chars/beyond/3overlord/pain4a.gif
	frame	data/chars/beyond/3overlord/pain3a.gif
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/pain1.gif
	frame	data/chars/beyond/3overlord/idle39.gif
	frame	data/chars/beyond/3overlord/idle39.gif


		
anim	jumpland
	loop	0
	delay	12
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	frame	data/chars/beyond/3overlord/ab01.gif
	frame	data/chars/beyond/3overlord/ab02.gif


anim	pain
	loop	0
	delay	3
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	damchg2
	frame	data/chars/beyond/3overlord/pain5.gif
	delay	6
	offset	105 189
	frame	data/chars/beyond/3overlord/pain5.gif
	offset	100 189
	frame	data/chars/beyond/3overlord/pain5.gif



		
anim	pain2
	loop	0
	delay	3
	offset	100 189
	bbox	79 97 50 91
	frame	data/chars/beyond/3overlord/pain2.gif
	@cmd	damchg2
	frame	data/chars/beyond/3overlord/pain5.gif
	delay	6
	offset	105 189
	frame	data/chars/beyond/3overlord/pain5.gif
	offset	100 189
	frame	data/chars/beyond/3overlord/pain5.gif
		

anim	idle
	loop	1
	delay	3
	offset	100 189
