name		Yuri
	frame	data/chars/0yuri/win1.gif
	frame	data/chars/0yuri/win2.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/win4.gif
	frame	data/chars/0yuri/win5.gif
	delay	55
	frame	data/chars/0yuri/win6.gif
	delay	9
	frame	data/chars/0yuri/win5.gif
	frame	data/chars/0yuri/win4.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/win2.gif
	frame	data/chars/0yuri/win1.gif
	delay	3
	frame	data/chars/0yuri/win1.gif


anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
@end_script
	loop	0
	delay	6
	offset	145 205
	bbox	0 0 0 0
	jumpframe 0 3 -1
	landframe 7
	frame	data/chars/0yuri/ju07.gif
	frame	data/chars/0yuri/ju06.gif
	frame	data/chars/0yuri/ju05.gif
	frame	data/chars/0yuri/ju04.gif
	frame	data/chars/0yuri/ju03.gif
	frame	data/chars/0yuri/ju02.gif
	delay	300
	frame	data/chars/0yuri/ju01.gif
	delay	12
	frame	data/chars/0yuri/ju12.gif



anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
@end_script
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/dgd07.gif
	@cmd	dasher -3 0 0
	frame	data/chars/0yuri/dgd08.gif
	frame	data/chars/0yuri/dgd09.gif
	@cmd	spawn01 "dust" 55 1 1
	frame	data/chars/0yuri/dgd10.gif
	frame	data/chars/0yuri/dgd11.gif
	frame	data/chars/0yuri/dgd12.gif
	frame	data/chars/0yuri/dgd13.gif
	frame	data/chars/0yuri/dgd14.gif
	@cmd	stop
	frame	data/chars/0yuri/dgd15.gif
	frame	data/chars/0yuri/dgd16.gif

#--------------------------------//-----------------------



anim	attack1
	range	0 135
	loop	0
	delay	4
	offset	145 205
	bbox	130 121 33 80
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/0yuri/a01.gif
	attack	144 120 76 21 12 0 0 0 5 0
	frame	data/chars/0yuri/a03.gif
	frame	data/chars/0yuri/a04.gif
	attack	0 0 0 0
	delay	5
	frame	data/chars/0yuri/a05.gif
		
anim	attack2
	range	0 65
	loop	0
	delay	5
	offset	145 207
	bbox	125 121 33 80
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat2.wav
	frame	data/chars/0yuri/a06.gif
	frame	data/chars/0yuri/a07.gif
	delay	6
	attack	140 121 71 25 14 0 0 0 11 0
	frame	data/chars/0yuri/a08.gif
	frame	data/chars/0yuri/a09.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/a10.gif
	frame	data/chars/0yuri/a06.gif
		
anim	attack3
	range	0 65
	loop	0
	delay	5
	offset	145 205
	bbox	108 121 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/a17.gif
	frame	data/chars/0yuri/a18.gif
	delay	6
	attack2	140 130 71 30 17 0 0 0 14 0
	frame	data/chars/0yuri/a19.gif
	frame	data/chars/0yuri/a20.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/a21.gif
	frame	data/chars/0yuri/a18.gif
		
anim	attack4
	range	0 65
	loop	0
	delay	5
	offset	145 205
	bbox	108 121 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/a06.gif
	frame	data/chars/0yuri/a07.gif
	frame	data/chars/0yuri/a30.gif
	attack10 140 110 65 50 40 1 0 0 15 0
	dropv	5 0.4
	frame	data/chars/0yuri/a31.gif
	frame	data/chars/0yuri/a32.gif
	attack10 0 0 0 0
	delay	9
	frame	data/chars/0yuri/a33.gif
	delay	8
	frame	data/chars/0yuri/a30.gif
	frame	data/chars/0yuri/a07.gif
	frame	data/chars/0yuri/a06.gif
		
anim	attack5
	range	0 85
	loop	0
	delay	4
	offset	145 205
	bbox	108 121 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/b01.gif
	frame	data/chars/0yuri/b02.gif
	frame	data/chars/0yuri/b03.gif
	delay	6
	attack2	145 126 79 28 14 0 0 0 10 0
	frame	data/chars/0yuri/b04.gif
	frame	data/chars/0yuri/b05.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/b06.gif
	frame	data/chars/0yuri/b01.gif
		
anim	attack6
	range	0 85
	loop	0
	delay	5
	offset	145 205
	bbox	102 100 39 97
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat3.wav
	frame	data/chars/0yuri/b17.gif
	frame	data/chars/0yuri/b12.gif
	delay	6
	attack	145 126 79 28 17 0 0 0 14 0
	frame	data/chars/0yuri/b18.gif
	frame	data/chars/0yuri/b19.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/b12.gif
	frame	data/chars/0yuri/b17.gif
		
anim	attack7
	range	0 85
	loop	0
	delay	5
	offset	145 205
	bbox	102 100 39 97
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat3.wav
	frame	data/chars/0yuri/b30.gif
	frame	data/chars/0yuri/b31.gif
	frame	data/chars/0yuri/b32.gif
	frame	data/chars/0yuri/b33.gif
	delay	6
	attack	145 126 79 28 40 1 0 0 15 0
	dropv	2 3
	frame	data/chars/0yuri/b34.gif
	frame	data/chars/0yuri/b35.gif
	frame	data/chars/0yuri/b36.gif
	frame	data/chars/0yuri/b37.gif
	frame	data/chars/0yuri/b36.gif
	attack	0 0 0 0
	frame	data/chars/0yuri/b38.gif
	frame	data/chars/0yuri/b06.gif
	frame	data/chars/0yuri/b03.gif
	frame	data/chars/0yuri/b02.gif
	frame	data/chars/0yuri/b01.gif
		
anim	attack8
	range	0 125
	loop	0
	delay	7
	offset	145 205
	bbox	102 100 39 97
	followanim	5
	followcond	1
	jumpframe	1 2 3
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/d01.gif
	delay	12
	attack	131 126 45 35 55 1 0 0 30 15
	dropv	2 3
	frame	data/chars/0yuri/d02.gif
	frame	data/chars/0yuri/d03.gif
	attack	0 0 0 0
	delay	9
	frame	data/chars/0yuri/d04.gif
	frame	data/chars/0yuri/d05.gif
	frame	data/chars/0yuri/d06.gif
	delay	10
	frame	data/chars/0yuri/d07.gif
	frame	data/chars/0yuri/d08.gif
		
anim	attackdown
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/dgd05.gif
	@cmd	dasher 2.1 0 0.4
	frame	data/chars/0yuri/dgd06.gif
	frame	data/chars/0yuri/dgd07.gif
	@cmd	spawn01 "dust" 55 1 1
	frame	data/chars/0yuri/dgd08.gif
	frame	data/chars/0yuri/dgd09.gif
	frame	data/chars/0yuri/dgd10.gif
	frame	data/chars/0yuri/dgd11.gif
	frame	data/chars/0yuri/dgd12.gif
	frame	data/chars/0yuri/dgd13.gif
	frame	data/chars/0yuri/dgd14.gif
	@cmd	stop
	frame	data/chars/0yuri/dgd15.gif
	frame	data/chars/0yuri/dgd16.gif
		
anim	attackup
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/dgd05.gif
	@cmd	dasher 2.1 0 -0.4
	frame	data/chars/0yuri/dgd06.gif
	frame	data/chars/0yuri/dgd07.gif
	@cmd	spawn01 "dust" 55 1 1
	frame	data/chars/0yuri/dgd08.gif
	frame	data/chars/0yuri/dgd09.gif
	frame	data/chars/0yuri/dgd10.gif
	frame	data/chars/0yuri/dgd11.gif
	frame	data/chars/0yuri/dgd12.gif
	frame	data/chars/0yuri/dgd13.gif
	frame	data/chars/0yuri/dgd14.gif
	@cmd	stop
	frame	data/chars/0yuri/dgd15.gif
	frame	data/chars/0yuri/dgd16.gif
		
anim	block
	loop	0
	delay	6
	offset	145 205
	bbox	108 121 33 80
	frame	data/chars/0yuri/blk01.gif
	frame	data/chars/0yuri/blk02.gif
	delay	20
	frame	data/chars/0yuri/blk02.gif
		
anim	burn
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/fall1.gif
	delay	10
	frame	data/chars/0yuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/fall3.gif
	delay	180
	frame	data/chars/0yuri/fall4.gif
	delay	20
	frame	data/chars/0yuri/fall4.gif
		
anim	cant
	loop	0
	delay	7
	offset	145 205
	bbox	108 121 33 80
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/ch01.gif
	frame	data/chars/0yuri/ch02.gif
	frame	data/chars/0yuri/ch03.gif
	frame	data/chars/0yuri/ch04.gif
	frame	data/chars/0yuri/de01.gif
	frame	data/chars/0yuri/de02.gif
	delay	15
	frame	data/chars/0yuri/de03.gif
	delay	7
	frame	data/chars/0yuri/de01.gif
		
anim	charge
	loop	0
	delay	7
	offset	145 205
	bbox	108 121 33 80
	sound	data/sounds/yurch.wav
	frame	data/chars/0yuri/ch01.gif
	frame	data/chars/0yuri/ch02.gif
	frame	data/chars/0yuri/ch03.gif
	frame	data/chars/0yuri/ch04.gif
	frame	data/chars/0yuri/ch09.gif
	frame	data/chars/0yuri/ch10.gif
	frame	data/chars/0yuri/ch11.gif
	frame	data/chars/0yuri/ch12.gif
	@cmd	updateframe getlocalvar("self") 3
	frame	data/chars/0yuri/ch08.gif
		
anim	chargeattack
	loop	0
	delay	7
	offset	145 205
	bbox	0 0 0 0
	staydown	300 300
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/0yuri/d08.gif
	frame	data/chars/0yuri/d05.gif
	frame	data/chars/0yuri/d04.gif
	frame	data/chars/0yuri/d24.gif
	frame	data/chars/0yuri/d31.gif
	delay	7
	blast	140 85 35 75 30 0 0 20 0
	dropv	4 2.5
	frame	data/chars/0yuri/d25.gif
	frame	data/chars/0yuri/d26.gif
	frame	data/chars/0yuri/d27.gif
	frame	data/chars/0yuri/d28.gif
	frame	data/chars/0yuri/d27.gif
	frame	data/chars/0yuri/d28.gif
	frame	data/chars/0yuri/d29.gif
	frame	data/chars/0yuri/d30.gif
	frame	data/chars/0yuri/d27.gif
	frame	data/chars/0yuri/d28.gif
	blast	0 0 0 0
	delay	9
	frame	data/chars/0yuri/d28.gif
	frame	data/chars/0yuri/d29.gif
	frame	data/chars/0yuri/d30.gif
	delay	12
	frame	data/chars/0yuri/d30.gif
	frame	data/chars/0yuri/d31.gif
	frame	data/chars/0yuri/b17.gif
	frame	data/chars/0yuri/a17.gif
	frame	data/chars/0yuri/a18.gif
		
anim	death
	loop	0
	delay	10
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/fall4.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/0yuri/dgd02.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/0yuri/dgd01.gif
	frame	data/chars/0yuri/de04.gif
	frame	data/chars/0yuri/pain4.gif
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/pain3.gif
	frame	data/chars/0yuri/de01.gif
	frame	data/chars/0yuri/de02.gif
	frame	data/chars/0yuri/de03.gif
	frame	data/chars/0yuri/de02.gif
	frame	data/chars/0yuri/de03.gif
	frame	data/chars/0yuri/de01.gif
	sound	data/sounds/yurde.wav
	delay	12
	frame	data/chars/0yuri/de04.gif
	frame	data/chars/0yuri/de05.gif
	frame	data/chars/0yuri/de06.gif
	frame	data/chars/0yuri/de07.gif
	frame	data/chars/0yuri/de08.gif
	delay	55
	frame	data/chars/0yuri/de09.gif
		
anim	fall
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/fall1.gif
	delay	10
	frame	data/chars/0yuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/fall3.gif
	delay	10
	frame	data/chars/0yuri/fall4.gif
		
anim	fall2
	loop	0
	delay	50
	offset	145 205
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/pain4.gif
	delay	10
	frame	data/chars/0yuri/fall2.gif
	delay	300
	frame	data/chars/0yuri/fall3.gif
	delay	10
	frame	data/chars/0yuri/fall4.gif
		
anim	fall3
	loop	0
	delay	50
	offset	145 205
	bbox	95 123 52 59
	landframe	3
	frame	data/chars/0yuri/pain4.gif
	delay	10
	bbox	88 150 74 26
	frame	data/chars/0yuri/fall2.gif
	delay	300
	bbox	96 170 59 30
	frame	data/chars/0yuri/fall3.gif
	delay	10
	bbox	0 0 0 0
	frame	data/chars/0yuri/fall4.gif


anim	fall4
	loop	0
	delay	2
	offset	145 205
	bbox	0 0 0 0
	flipframe	0
	move	-3
	frame	data/chars/0yuri/dgd07.gif
	sound       data/sounds/yurde.wav
	frame	data/chars/0yuri/dgd07.gif
	frame	data/chars/0yuri/dgd05.gif
	frame	data/chars/0yuri/dgd05.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/dgd04a.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/dgd04a.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/0yuri/dgd03.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/dgd02.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/dgd02.gif
	frame	data/chars/0yuri/dgd07.gif	#12
	frame	data/chars/0yuri/dgd07.gif
	frame	data/chars/0yuri/dgd05.gif
	frame	data/chars/0yuri/dgd05.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/dgd04a.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/dgd04a.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/0yuri/dgd03.gif
	@cmd	spawn01 "dust3" 25 20 5
	frame	data/chars/0yuri/dgd02.gif
	@cmd	leaper 0 0.4 0
	frame	data/chars/0yuri/dgd02.gif
	@cmd	looper 12 8
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd04a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd04a.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd04.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd03.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/0yuri/dgd02.gif
	frame	data/chars/misc/empty.gif






		
anim	fall5
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	landframe	9
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/fall5.gif
	frame	data/chars/0yuri/fall6.gif
	frame	data/chars/0yuri/fall7.gif
	frame	data/chars/0yuri/fall8.gif
	frame	data/chars/0yuri/fall5.gif
	frame	data/chars/0yuri/fall6.gif
	frame	data/chars/0yuri/fall7.gif
	frame	data/chars/0yuri/fall8.gif
	@cmd	looper 4 10
	delay	300
	frame	data/chars/0yuri/fall5.gif
	delay	100
	frame	data/chars/0yuri/fall4.gif
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/0yuri/slam0.gif
	offset	45 95
	frame	data/chars/0yuri/slam1.gif
	offset	50 85
	frame	data/chars/0yuri/slam2.gif
	offset	45 95
	frame	data/chars/0yuri/slam3.gif
	offset	45 95
	frame	data/chars/0yuri/slam4.gif
	offset	75 55
	frame	data/chars/0yuri/slam5.gif
	offset	40 80
	frame	data/chars/0yuri/slam6.gif
	offset	20 90
	frame	data/chars/0yuri/slam7.gif
	offset	65 55
	frame	data/chars/0yuri/slam8.gif
	offset	65 83
	frame	data/chars/0yuri/slam9.gif
	offset	65 83
	frame	data/chars/0yuri/slam10.gif
	offset	20 90
	frame	data/chars/0yuri/slam11.gif
	offset	75 55
	frame	data/chars/0yuri/slam12.gif
	offset	75 55
	frame	data/chars/0yuri/slam13.gif
	offset	50 85
	frame	data/chars/0yuri/slam14.gif
	offset	45 95
	frame	data/chars/0yuri/slam15.gif
	offset	55 70
	frame	data/chars/0yuri/slam16.gif
	offset	65 83
	frame	data/chars/0yuri/slam17.gif
	offset	65 83
	frame	data/chars/0yuri/slam18.gif
	offset	45 95
	frame	data/chars/0yuri/slam19.gif
	offset	45 95
	frame	data/chars/0yuri/slam20.gif
	offset	45 95
	frame	data/chars/0yuri/slam21.gif
	offset	45 95
	frame	data/chars/0yuri/slam22.gif
	offset	59 85
	frame	data/chars/0yuri/slam23.gif
	offset	59 80
	frame	data/chars/0yuri/slam24.gif
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/0yuri/slambbox1.gif
	bbox	0 0 0 0


anim	fall8
	loop	0
	delay	5
	offset	145 204
	bbox	0 0 0 0
	sound	data/sounds/water_splash01.wav
	frame	data/chars/0yuri/empty.gif
	@cmd	spawnAni "byowater" 1 1 1 "ANI_FOLLOW2"
	frame	data/chars/0yuri/empty.gif
	delay	300
	frame	data/chars/0yuri/empty.gif
	delay	10
	frame	data/chars/0yuri/empty.gif
	@cmd	suicide
	frame	data/chars/0yuri/empty.gif

anim	fall15
	loop	0
	delay	5
	offset	145 204
	bbox	0 0 0 0
	sound	data/sounds/water_splash01.wav
	frame	data/chars/0yuri/empty.gif
	@cmd	spawnAni "byowater" 1 1 1 "ANI_FOLLOW3"
	frame	data/chars/0yuri/empty.gif
	delay	300
	frame	data/chars/0yuri/empty.gif
	delay	10
	frame	data/chars/0yuri/empty.gif
	@cmd	suicide
	frame	data/chars/0yuri/empty.gif


		
anim	fall9
	loop	0
	delay	9
	offset	145 205
	bbox	0 0 0 0
	landframe	9
	sound	data/sounds/yurpa.wav
	frame	data/chars/0yuri/fall5.gif
	frame	data/chars/0yuri/fall6.gif
	frame	data/chars/0yuri/fall7.gif
	frame	data/chars/0yuri/fall8.gif
	frame	data/chars/0yuri/fall5.gif
	frame	data/chars/0yuri/fall6.gif
	frame	data/chars/0yuri/fall7.gif
	frame	data/chars/0yuri/fall8.gif
	@cmd	looper 4 10
	delay	300
	frame	data/chars/0yuri/fall5.gif
	delay	100
	frame	data/chars/0yuri/fall4.gif
		
anim	follow1
	loop	0
	delay	1
	offset	145 205
	bbox	0 0 0 0
	fastattack	1
	attackone	1
	custentity	exel
	hitflash	Flash3
	spawnframe	56 480 272 0 1
	jumpframe	60 5 0 0
	attack	0 0 0 0
	landframe	62
	sound	data/sounds/yurch.wav
	frame	data/chars/0yuri/grab.gif
	frame	data/chars/0yuri/a01.gif
	frame	data/chars/0yuri/a02.gif
	frame	data/chars/0yuri/a03.gif
	frame	data/chars/0yuri/a04.gif
	frame	data/chars/0yuri/grab.gif
	frame	data/chars/0yuri/a01.gif
	frame	data/chars/0yuri/a02.gif
	frame	data/chars/0yuri/a03.gif
	frame	data/chars/0yuri/a04.gif
	frame	data/chars/0yuri/grab.gif
	frame	data/chars/0yuri/a01.gif
	frame	data/chars/0yuri/a02.gif
	frame	data/chars/0yuri/a03.gif
	frame	data/chars/0yuri/a04.gif
		
anim	follow2
	loop	0
	delay	1
	offset	145 205
	bbox	0 0 0 0
	hitfx	data/sounds/beat4.wav
	frame	data/chars/0yuri/spat21.gif
	frame	data/chars/0yuri/spat22.gif
	frame	data/chars/0yuri/upp01.gif
	frame	data/chars/0yuri/upp02.gif
	frame	data/chars/0yuri/upp03.gif
	frame	data/chars/0yuri/upp10.gif
	frame	data/chars/0yuri/upp11.gif
	frame	data/chars/0yuri/upp12.gif
	frame	data/chars/0yuri/upp13.gif
		
anim	follow3
	loop	0
	delay	4
	offset	145 205
	bbox	0 0 0 0
	forcedirection	-1
	fastattack	1
	landframe 	46
	@cmd	stop
	frame	data/chars/0yuri/a06.gif
	frame	data/chars/0yuri/a07.gif	#1
	attack5	145 120 67 40 0 0 1 0 15 0
	frame	data/chars/0yuri/a08.gif
	frame	data/chars/0yuri/a09.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/a17.gif
	frame	data/chars/0yuri/a18.gif
	attack6	145 120 67 40 0 0 1 0 15 0
	frame	data/chars/0yuri/a19.gif
	frame	data/chars/0yuri/a20.gif
	attack6	0 0 0 0
	frame	data/chars/0yuri/a18.gif
	@cmd	looper 1 2
	frame	data/chars/0yuri/a30.gif
	frame	data/chars/0yuri/a32.gif
	attack5 145 120 67 40 0 0 1 0 35 0
	frame	data/chars/0yuri/a33.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/a30.gif
	frame	data/chars/0yuri/a07.gif
	hitfx	data/sounds/beat5.wav
	frame	data/chars/0yuri/b03.gif	#14
	attack5	145 120 67 40 0 0 1 0 15 0
	frame	data/chars/0yuri/b04.gif
	frame	data/chars/0yuri/b05.gif
	attack5	0 0 0 0
	frame	data/chars/0yuri/b06.gif
	frame	data/chars/0yuri/b12.gif
	attack6	145 120 67 40 0 0 1 0 15 0
	frame	data/chars/0yuri/b18.gif
	frame	data/chars/0yuri/b19.gif
	attack6	0 0 0 0
	delay	4
	frame	data/chars/0yuri/b12.gif
	@cmd	looper 14 2
	frame	data/chars/0yuri/ratk02.gif
	frame	data/chars/0yuri/ratk15.gif
	attack 124 130 60 40 0 0 1 0 15 0
	frame	data/chars/0yuri/ratk14.gif
	frame	data/chars/0yuri/ratk03.gif
	attack 0 0 0 0
	hitfx	data/sounds/beat1.wav
	frame	data/chars/0yuri/ratk04.gif
	delay	5
	@cmd	dasher 0 2 0
	frame	data/chars/0yuri/ratk05.gif	#27
	attack10 145 120 67 40 0 1 1 0 25 0
	dropv	1.5 0
	frame	data/chars/0yuri/ratk06.gif
	attack10 0 0 0 0
	frame	data/chars/0yuri/ratk07.gif
	attack10 145 120 67 40 0 1 1 0 25 0
	dropv	1.5 0
	frame	data/chars/0yuri/ratk08.gif
	attack10 0 0 0 0
	frame	data/chars/0yuri/ratk07.gif
	@cmd	looper 27 3
	frame	data/chars/0yuri/d24.gif	#32
	hitfx	data/sounds/beat5.wav
