name		shpfar
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 50 80 1 2 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 38 75 1 3 "ANI_FOLLOW2"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	@cmd	spawnGun5 "shpfshw" 35 75 -1 4 "ANI_FOLLOW3"
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	delay	100
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	delay	14
	frame	data/bgs/beyond/lvl2/bck/fship08.gif
	sound	data/sounds/alien12.wav
	frame	data/bgs/beyond/lvl2/bck/fship07.gif
	frame	data/bgs/beyond/lvl2/bck/fship06.gif
	frame	data/bgs/beyond/lvl2/bck/fship05.gif
	frame	data/bgs/beyond/lvl2/bck/fship04.gif
	frame	data/bgs/beyond/lvl2/bck/fship03.gif
	frame	data/bgs/beyond/lvl2/bck/fship02.gif
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	delay	1550
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	delay	200
	@cmd	stop
	@cmd	killgun 1 0	
	frame	data/bgs/beyond/lvl2/bck/fship13.gif



#----2dgo--------

	delay	1650
	@cmd	dasher -0.3 0 0
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	14
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	60
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	100
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	14
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	1550
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	200
	@cmd	stop
	frame	data/bgs/beyond/lvl2/bck/fship13.gif
	delay	4500
	frame	data/bgs/beyond/lvl2/bck/fship13.gif



anim	spawn
	loop	0
	delay	7000
	offset	350 255
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	delay	30
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
	@cmd	beidle
	frame	data/bgs/beyond/lvl2/bck/fship01.gif
		
#|edited by openBor Stats v 0.53
		
