name		leonaplr
	frame	data/chars/xleona/a31.png
	frame	data/chars/xleona/a32.png
	delay	6
	attack	143 125 75 30 20 0 0 0 10 0
	frame	data/chars/xleona/a33.png
	frame	data/chars/xleona/a34.png
	attack	0 0 0 0
	frame	data/chars/xleona/a35.png
		
anim	attack7
	range	60 85
	rangez	-15 15
	loop	0
	delay	4
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitflash	Flash4
	hitfx	data/sounds/sl2.wav
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/a20.png
	@cmd	dasher 1 0 0
	frame	data/chars/xleona/a21.png
	frame	data/chars/xleona/a22.png
	frame	data/chars/xleona/a23.png
	@cmd	stop
	frame	data/chars/xleona/a24.png
	delay	6
	attack10	143 100 75 60 40 1 0 0 40 15
	dropv	5 1
	frame	data/chars/xleona/a25.png
	frame	data/chars/xleona/a26.png
	attack10	0 0 0 0
	delay	15
	frame	data/chars/xleona/a27.png
	delay	12
	frame	data/chars/xleona/a14.png
	frame	data/chars/xleona/a20.png
		
anim	attack8
	range	85 140
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 1 0 0
	sound	data/sounds/xleona02.wav
	frame	data/chars/xleona/b20.png
	frame	data/chars/xleona/b21.png
	frame	data/chars/xleona/b22.png
	frame	data/chars/xleona/b23.png
	frame	data/chars/xleona/b24.png
	frame	data/chars/xleona/b25.png
	delay	15
	attack	93 115 125 50 60 1 0 0 40 15
	dropv	3 3
	frame	data/chars/xleona/b26.png
	attack	0 0 0 0
	delay	7
	@cmd	stop
	frame	data/chars/xleona/b27.png
	frame	data/chars/xleona/b28.png
	frame	data/chars/xleona/b29.png
	frame	data/chars/xleona/b30.png
		
anim	attackdown
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 0.4
	frame	data/chars/xleona/dgd00.png
	frame	data/chars/xleona/dgd01.png
	frame	data/chars/xleona/dgd02.png
	frame	data/chars/xleona/dgd05.png
	delay	7
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xleona/rise07.png
	frame	data/chars/xleona/rise08.png
	frame	data/chars/xleona/rise09.png
	offset	145 199
	frame	data/chars/xleona/jump02.png
	@cmd	stop
	offset	145 211
	delay	8
	frame	data/chars/xleona/b80a.png
	frame	data/chars/xleona/b80.png
		
anim	attackup
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 -0.4
	frame	data/chars/xleona/dgd00.png
	frame	data/chars/xleona/dgd01.png
	frame	data/chars/xleona/dgd02.png
	frame	data/chars/xleona/dgd05.png
	delay	7
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xleona/rise07.png
	frame	data/chars/xleona/rise08.png
	frame	data/chars/xleona/rise09.png
	offset	145 199
	frame	data/chars/xleona/jump02.png
	@cmd	stop
	offset	145 211
	delay	8
	frame	data/chars/xleona/b80a.png
	frame	data/chars/xleona/b80.png
		
anim	block
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xleona/blk01.png
	frame	data/chars/xleona/blk02.png
		
anim	burn
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xleona/fall1.png
	frame	data/chars/xleona/fall2.png
	delay	500
	frame	data/chars/xleona/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xleona/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xleona/fall4.png
		
anim	charge
	loop	0
	delay	9
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xleona/chg01.png
	frame	data/chars/xleona/chg02.png
	frame	data/chars/xleona/chg03.png
	delay	6
	frame	data/chars/xleona/chg04.png #3
	frame	data/chars/xleona/chg05.png
	frame	data/chars/xleona/chg06.png
	frame	data/chars/xleona/chg07.png
	frame	data/chars/xleona/chg08.png
	frame	data/chars/xleona/chg09.png
	frame	data/chars/xleona/chg10.png
	frame	data/chars/xleona/chg11.png
	frame	data/chars/xleona/chg12.png
	@cmd	updateframe getlocalvar("self") 8
	frame	data/chars/xleona/chg09.png
		
anim	death
	loop	0
	delay	40
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/fall4.png
	delay	9
	frame	data/chars/xleona/rise01.png
	frame	data/chars/xleona/get02.png
	frame	data/chars/xleona/get03.png
	frame	data/chars/xleona/grab55.png
	delay	30
	sound	data/sounds/xleonaDeth.wav
	frame	data/chars/xleona/grab56.png
	delay	9
	frame	data/chars/xleona/fall1.png
	frame	data/chars/xleona/fall2.png
	frame	data/chars/xleona/fall3.png
	delay	6
	offset	145 210
	frame	data/chars/xleona/fall4.png
	offset	145 211
	frame	data/chars/xleona/fall4.png
	offset	145 210
	frame	data/chars/xleona/fall4.png
	offset	145 211
	frame	data/chars/xleona/fall4.png
	offset	145 210
	frame	data/chars/xleona/fall4.png
	offset	145 211
	frame	data/chars/xleona/fall4.png
	delay	150
	offset	145 210
	frame	data/chars/xleona/fall4.png
		
anim	fall
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xleonaPain01.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xleona/fall1.png
	frame	data/chars/xleona/fall2.png
	delay	500
	frame	data/chars/xleona/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xleona/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xleona/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xleonaPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xleona/pain4.png
	frame	data/chars/xleona/fall2.png
	delay	500
	frame	data/chars/xleona/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xleona/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xleona/fall4.png
		
anim	fall3
	loop	0
	delay	30
	offset	145 211
	bbox	120 125 30 75
	sound	data/sounds/xleonaPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 20
	frame	data/chars/xleona/pain4.png
	bbox	115 133 60 40
	frame	data/chars/xleona/fall2.png
	delay	500
	bbox	110 145 50 50
	frame	data/chars/xleona/fall3.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	10
	offset	145 210
	bbox	100 186 80 25
	frame	data/chars/xleona/fall4.png
	delay	50
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xleona/slam0.png
	offset	45 95
	frame	data/chars/xleona/slam1.png
	offset	50 85
	frame	data/chars/xleona/slam2.png
	offset	45 95
	frame	data/chars/xleona/slam3.png
	offset	45 95
	frame	data/chars/xleona/slam4.png
	offset	75 55
	frame	data/chars/xleona/slam5.png
	offset	40 80
	frame	data/chars/xleona/slam6.png
	offset	20 90
	frame	data/chars/xleona/slam7.png
	offset	65 55
	frame	data/chars/xleona/slam8.png
	offset	65 83
	frame	data/chars/xleona/slam9.png
	offset	65 83
	frame	data/chars/xleona/slam10.png
	offset	20 90
	frame	data/chars/xleona/slam11.png
	offset	75 55
	frame	data/chars/xleona/slam12.png
	offset	75 55
	frame	data/chars/xleona/slam13.png
	offset	50 85
	frame	data/chars/xleona/slam14.png
	offset	45 95
	frame	data/chars/xleona/slam15.png
	offset	55 70
	frame	data/chars/xleona/slam16.png
	offset	65 83
	frame	data/chars/xleona/slam17.png
	offset	65 83
	frame	data/chars/xleona/slam18.png
	offset	45 95
	frame	data/chars/xleona/slam19.png
	offset	45 95
	frame	data/chars/xleona/slam20.png
	offset	45 95
	frame	data/chars/xleona/slam21.png
	offset	45 95
	frame	data/chars/xleona/slam22.png
	offset	59 85
	frame	data/chars/xleona/slam23.png
	offset	59 80
	frame	data/chars/xleona/slam24.png
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xleona/slambbox1.png
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	landframe	14
	sound	data/sounds/xleonaPain01.wav
	frame	data/chars/xleona/fall6.png
	frame	data/chars/xleona/fall7.png
	frame	data/chars/xleona/fall8.png
	frame	data/chars/xleona/fall9.png
	frame	data/chars/xleona/fall6.png
	frame	data/chars/xleona/fall7.png
	frame	data/chars/xleona/fall8.png
	frame	data/chars/xleona/fall9.png
	frame	data/chars/xleona/fall6.png
	frame	data/chars/xleona/fall7.png
	frame	data/chars/xleona/fall8.png
	frame	data/chars/xleona/fall9.png
	frame	data/chars/xleona/fall6.png
	delay	300
	frame	data/chars/xleona/fall7.png
	delay	15
	frame	data/chars/xleona/fall4.png
		
anim	follow10
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	hitfx	data/sounds/sl2.wav
	hitflash	Flash2
	frame	data/chars/xleona/chg01.png
	delay	16
	frame	data/chars/xleona/chg02.png
	delay	8
	frame	data/chars/xleona/grd00a.png
	sound	data/sounds/blade.wav
	frame	data/chars/xleona/grd00b.png
	delay	5
	attack11	105 190 80 30 65 1 0 0 9 10
	dropv	2 3
	frame	data/chars/xleona/grd03a.png
	frame	data/chars/xleona/grd03b.png
	frame	data/chars/xleona/grd03c.png
	frame	data/chars/xleona/grd03d.png
	frame	data/chars/xleona/grd03e.png
	attack11	0 0 0 0
	delay	8
	frame	data/chars/xleona/grd03.png
	frame	data/chars/xleona/grd04.png
	delay	20
	frame	data/chars/xleona/grd05.png
	delay	9
	frame	data/chars/xleona/grd01.png
	frame	data/chars/xleona/b80a.png
	frame	data/chars/xleona/b80.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	5
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	13
	frame	data/chars/xleona/jump01.png
	frame	data/chars/xleona/jump02.png
	frame	data/chars/xleona/jump03.png
	frame	data/chars/xleona/jump04.png
	frame	data/chars/xleona/jump05.png
	frame	data/chars/xleona/jump06.png
	frame	data/chars/xleona/jump07.png
	frame	data/chars/xleona/jump08.png
	frame	data/chars/xleona/jump09.png
	frame	data/chars/xleona/jump10.png
	frame	data/chars/xleona/jump11.png
	frame	data/chars/xleona/jump12.png
	delay	500
	frame	data/chars/xleona/jump13.png
	delay	9
	frame	data/chars/xleona/jump00.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	145 199
	bbox	0 0 0 0
	frame	data/chars/xleona/jump02.png
	offset	145 211
	@cmd	dasher -2.5 0 0
	frame	data/chars/xleona/rise09.png
	frame	data/chars/xleona/rise08.png
	frame	data/chars/xleona/rise07.png
	frame	data/chars/xleona/dgd05.png
	frame	data/chars/xleona/dgd02.png
	frame	data/chars/xleona/dgd01.png
	@cmd	stop
	frame	data/chars/xleona/dgd00.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 5)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/emp.png
	delay	50
	frame	data/chars/xleona/spw01.png
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	40
	frame	data/chars/xleona/spw05.png
		
anim	follow4
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	@cmd	stop
	@cmd	clearL
	hitflash	Flash4
	hitfx	data/sounds/sl1.wav
	move	0
	@cmd	stop
	frame	data/chars/xleona/spw10.png
	@cmd	clearL
	attack2	145 125 60 60 3 0 1 0 0 20
	frame	data/chars/xleona/spw11.png
	attack2	0 0 0 0
	frame	data/chars/xleona/spw12.png
	frame	data/chars/xleona/spw13.png
	frame	data/chars/xleona/spw14.png
	offset	140 225
	frame	data/chars/xleona/spw15.png
	attack6	145 125 60 75 3 0 1 0 0 20
	frame	data/chars/xleona/spw16.png
	attack6	0 0 0 0
	frame	data/chars/xleona/spw17.png
	frame	data/chars/xleona/spw18.png
	attack5	145 125 60 60 3 0 1 0 0 20
	frame	data/chars/xleona/spw19.png
	attack5	0 0 0 0
	@cmd	looper 5 10
	delay	8
	offset	145 211
	hitflash	Flash5
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xleona/rise10.png
	attack9	145 125 60 75 3 0 1 1 0 20
	frame	data/chars/xleona/rise09.png
	frame	data/chars/xleona/rise08.png
	frame	data/chars/xleona/rise07.png
	frame	data/chars/xleona/rise05.png
	attack9	0 0 0 0
	frame	data/chars/xleona/dgd01.png
	frame	data/chars/xleona/dgd00.png
	delay	20
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/spw25.png
	delay	8
	frame	data/chars/xleona/spw26.png
	frame	data/chars/xleona/spw27.png
	delay	6
	hitfx	data/sounds/sl2.wav
	frame	data/chars/xleona/spw28.png
	attack5	125 125 80 75 3 0 1 1 0 30
	frame	data/chars/xleona/spw29.png
	frame	data/chars/xleona/spw28.png
	attack5	0 0 0 0
	frame	data/chars/xleona/spw30.png
	@cmd	looper 21 18
	frame	data/chars/xleona/spw28.png
	hitflash	flashscreen2
	staydown	500 500
	attack	125 125 80 75 130 1 1 0 0 30
	dropv	6 0.5
	frame	data/chars/xleona/spw29.png
	@cmd	spawn01 "explosion1" 70 40 -1
	frame	data/chars/xleona/spw28.png
	attack	0 0 0 0
	frame	data/chars/xleona/spw30.png
	delay	8
	frame	data/chars/xleona/spw31.png
	frame	data/chars/xleona/spw26.png
	frame	data/chars/xleona/spw32.png
	@cmd	clearL
	frame	data/chars/xleona/spw32.png
	delay	60
	frame	data/chars/xleona/spw32.png
		
anim	forwardjump
	loop	0
	delay	5
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xleona/jump20.png
	frame	data/chars/xleona/jump21.png
	frame	data/chars/xleona/jump22.png
	frame	data/chars/xleona/jump23.png
	frame	data/chars/xleona/jump24.png
	frame	data/chars/xleona/jump25.png
	frame	data/chars/xleona/jump26.png
	frame	data/chars/xleona/jump28.png
		
anim	freespecial15
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spw05.png
	delay	9
	frame	data/chars/xleona/spw04.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw02.png
	delay	30
	frame	data/chars/xleona/spw01.png
	@cmd	spawnChild2 "toturi3" 1 1 1 "ANI_FOLLOW10"
	frame	data/chars/xleona/spw01.png
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	30
	frame	data/chars/xleona/spw05.png
		
anim	freespecial26
	energycost	35
	mponly	1
	loop	0
	delay	8
	offset	145 213
	bbox	130 110 30 40
	staydown	500 500
	forcedirection	-1
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	frame	data/chars/xleona/chg01.png
	frame	data/chars/xleona/chg02.png
	sound	data/sounds/super1.wav
	frame	data/chars/xleona/chg03.png
	@cmd	spawnAni2 "allsp" 1 1 1 4 "ANI_FOLLOW1"
	frame	data/chars/xleona/chg04.png
	frame	data/chars/xleona/chg05.png
	delay	40
	frame	data/chars/xleona/chg05a.png
	bbox	0 0 0 0
	delay	8
	frame	data/chars/xleona/b48.png
	frame	data/chars/xleona/pw30.png
	frame	data/chars/xleona/pw31.png
	delay	40
	frame	data/chars/xleona/b45.png
	delay	1
	attack	160 80 80 120 150 1 1 0 50 20
	dropv	3 4 0
	move	7
	sound	data/sounds/xleona03.wav
	frame	data/chars/xleona/pw32.png
	frame	data/chars/xleona/pw32.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw32.png
	frame	data/chars/xleona/pw32.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw32.png
	frame	data/chars/xleona/pw32.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw32.png
	frame	data/chars/xleona/pw33.png
	frame	data/chars/xleona/pw33.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw33.png
	frame	data/chars/xleona/pw33.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw33.png
	frame	data/chars/xleona/pw33.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw33.png
	delay	2
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw34.png
	frame	data/chars/xleona/pw34.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw34.png
	frame	data/chars/xleona/pw34.png
	move	4
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw35.png
	frame	data/chars/xleona/pw35.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw35.png
	move	2
	frame	data/chars/xleona/pw35.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/pw35.png
	frame	data/chars/xleona/pw35.png
	attack	0 0 0 0
	@cmd	stop
	move	0
	delay	30
	frame	data/chars/xleona/pw35.png
	delay	8
	frame	data/chars/xleona/pw36.png
	offset	135 213
	frame	data/chars/xleona/b30.png
	offset	145 213
	frame	data/chars/xleona/b20.png
		
anim	freespecial27
	energycost	75
	mponly	1
	loop	0
	delay	8
	offset	145 213
	fastattack	1
	forcedirection	-1
	seal	15 1
	followanim	4
	followcond	1
	hitfx	data/sounds/empty.wav
	frame	data/chars/xleona/chg01.png
	sound	data/sounds/super1.wav
	frame	data/chars/xleona/chg02.png
	frame	data/chars/xleona/chg03.png
	@cmd	spawn04 "allsp" 1 1 1 3
	frame	data/chars/xleona/chg04.png
	frame	data/chars/xleona/chg05.png
	delay	50
	frame	data/chars/xleona/chg05a.png
	delay	8
	sound	data/sounds/xleonaCharge.wav
	frame	data/chars/xleona/a31.png
	offset	155 213
	frame	data/chars/xleona/a32.png
	frame	data/chars/xleona/a33.png
	delay	3
	offset	140 213
	move	8
	frame	data/chars/xleona/spw10.png
	attack	135 125 50 60 0 0 1 1 0 15
	frame	data/chars/xleona/spw10.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/spw10.png
	frame	data/chars/xleona/spw10.png
	@cmd	keymove 1.2
	frame	data/chars/xleona/spw10.png
	@cmd	looper 10 5
	frame	data/chars/xleona/spw10.png
	delay	9
	move	0
	@cmd	stop
	frame	data/chars/xleona/b80a.png
	frame	data/chars/xleona/b80.png
		
anim	freespecial29
@script
	void self = getlocalvar("self");
	int mp1 = getentityproperty(self,"mp");
	void plyr = getentityproperty(self, "playerindex");

	if(frame > 11 && playerkeys(plyr, 0, "attack3"))
	{
	  updateframe(self, 8);
	}
	@end_script	
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xleona/chg01.png
	frame	data/chars/xleona/chg02.png
	frame	data/chars/xleona/chg03.png
	delay	6
	frame	data/chars/xleona/chg04.png
	frame	data/chars/xleona/chg05.png
	frame	data/chars/xleona/chg06.png
	frame	data/chars/xleona/chg07.png
	frame	data/chars/xleona/chg08.png
	delay	5
	frame	data/chars/xleona/chg09.png #8
	frame	data/chars/xleona/chg10.png
	frame	data/chars/xleona/chg11.png
	@cmd	mpgain 1
	frame	data/chars/xleona/chg12.png #11
	frame	data/chars/xleona/chg09.png
		
anim	freespecial3
	energycost	10
	mponly	1
	loop	0
	delay	8
	offset	145 213
	bbox	130 150 30 40
	frame	data/chars/xleona/pw15.png
	frame	data/chars/xleona/pw16.png
	sound	data/sounds/xleona01.wav
	frame	data/chars/xleona/pw17.png
	frame	data/chars/xleona/pw18.png
	frame	data/chars/xleona/pw19.png
	frame	data/chars/xleona/pw20.png
	@cmd	spawnAni "xleonapw" 20 60 0 "ANI_follow1"
	delay	30
	frame	data/chars/xleona/pw21.png
	delay	8
	frame	data/chars/xleona/pw19.png
	frame	data/chars/xleona/pw16.png
	frame	data/chars/xleona/pw15.png
		
anim	freespecial30
	energycost	55
	mponly	1
	weaponframe	14 2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spw01.png
	sound	data/sounds/xleonaTlk.wav
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	5
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png #14
	frame	data/chars/xleona/emp.png
		
anim	freespecial31
	energycost	55
	mponly	1
	weaponframe	14 9
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xleona/spw01.png
	sound	data/sounds/xleonaTlk.wav
	delay	9
	frame	data/chars/xleona/spw02.png
	frame	data/chars/xleona/spw03.png
	frame	data/chars/xleona/spw04.png
	delay	5
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png
	frame	data/chars/xleona/emp.png
	frame	data/chars/xleona/spw05.png #14
	frame	data/chars/xleona/emp.png
		
anim	freespecial8
	loop	0
	delay	6
	offset	145 213
	bbox	130 130 30 40
	hitflash	Flash4
	hitfx	data/sounds/sl2.wav
	fastattack	1
	forcedirection	-1
	jumpframe	1 3.5 3
	landframe	16 dust
	staydown	400 400
	frame	data/chars/xleona/get03.png
	sound	data/sounds/xleona03.wav
	bbox	130 110 30 40
	frame	data/chars/xleona/jump02.png
	frame	data/chars/xleona/jump04.png
	frame	data/chars/xleona/jump09.png
	sound	data/sounds/blade.wav
	frame	data/chars/xleona/jump10.png
	delay	4
	frame	data/chars/xleona/jua30.png
	frame	data/chars/xleona/jua31.png
	attack10	145 135 80 80 9 1 1 0 8 15
	dropv	2 3 0
	frame	data/chars/xleona/jua32.png
	attack	0 0 0 0
	frame	data/chars/xleona/jua33.png
