name		daimonplr
	frame	data/chars/xdaimon/dgd08.png
		
anim	block
	loop	0
	delay	8
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/blk01.png
	frame	data/chars/xdaimon/blk02.png
	frame	data/chars/xdaimon/blk03.png
		
anim	burn
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	sound	data/sounds/xdaimPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xdaimon/fall1.png
	frame	data/chars/xdaimon/fall2.png
	delay	500
	frame	data/chars/xdaimon/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xdaimon/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xdaimon/fall4.png
		
anim	charge
	loop	0
	delay	12
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xdaimon/chg00.png
	frame	data/chars/xdaimon/chg01.png
	delay	5
	frame	data/chars/xdaimon/chg02.png
	frame	data/chars/xdaimon/chg03.png
	frame	data/chars/xdaimon/chg02.png
	frame	data/chars/xdaimon/chg03.png
	@cmd	updateframe getlocalvar("self") 2
	frame	data/chars/xdaimon/chg02.png
		
anim	death
	loop	0
	delay	40
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/fall4.png
	delay	11
	frame	data/chars/xdaimon/dgd06.png
	frame	data/chars/xdaimon/dgd08.png
	sound	data/sounds/xdaimDET.wav
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/det01.png
	frame	data/chars/xdaimon/det02.png
	frame	data/chars/xdaimon/det03.png
	delay	10
	frame	data/chars/xdaimon/det04.png
	frame	data/chars/xdaimon/det05.png
	frame	data/chars/xdaimon/det04.png
	delay	100
	frame	data/chars/xdaimon/det05.png
		
anim	fall
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xdaimPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xdaimon/fall1.png
	frame	data/chars/xdaimon/fall2.png
	delay	500
	frame	data/chars/xdaimon/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xdaimon/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xdaimon/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3 dust
	sound	data/sounds/xdaimPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xdaimon/pain4.png
	frame	data/chars/xdaimon/fall2.png
	delay	500
	frame	data/chars/xdaimon/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xdaimon/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xdaimon/fall4.png
		
anim	fall3
	loop	0
	delay	30
	offset	145 211
	bbox	120 125 30 75
	landframe	3 dust
	sound	data/sounds/xdaimPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 20
	frame	data/chars/xdaimon/fall1.png
	bbox	115 133 60 40
	frame	data/chars/xdaimon/fall2.png
	delay	500
	bbox	110 145 50 50
	frame	data/chars/xdaimon/fall3.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	10
	offset	145 210
	bbox	100 186 80 25
	frame	data/chars/xdaimon/fall4.png
	delay	50
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xdaimon/slam0.png
	offset	45 95
	frame	data/chars/xdaimon/slam1.png
	offset	50 85
	frame	data/chars/xdaimon/slam2.png
	offset	45 95
	frame	data/chars/xdaimon/slam3.png
	offset	45 95
	frame	data/chars/xdaimon/slam4.png
	offset	75 55
	frame	data/chars/xdaimon/slam5.png
	offset	40 80
	frame	data/chars/xdaimon/slam6.png
	offset	20 90
	frame	data/chars/xdaimon/slam7.png
	offset	65 55
	frame	data/chars/xdaimon/slam8.png
	offset	65 83
	frame	data/chars/xdaimon/slam9.png
	offset	65 83
	frame	data/chars/xdaimon/slam10.png
	offset	20 90
	frame	data/chars/xdaimon/slam11.png
	offset	75 55
	frame	data/chars/xdaimon/slam12.png
	offset	75 55
	frame	data/chars/xdaimon/slam13.png
	offset	50 85
	frame	data/chars/xdaimon/slam14.png
	offset	45 95
	frame	data/chars/xdaimon/slam15.png
	offset	55 70
	frame	data/chars/xdaimon/slam16.png
	offset	65 83
	frame	data/chars/xdaimon/slam17.png
	offset	65 83
	frame	data/chars/xdaimon/slam18.png
	offset	40 115
	frame	data/chars/xdaimon/slam19.png
	offset	45 95
	frame	data/chars/xdaimon/slam20.png
	offset	45 95
	frame	data/chars/xdaimon/slam21.png
	offset	45 95
	frame	data/chars/xdaimon/slam22.png
	offset	59 85
	frame	data/chars/xdaimon/slam23.png
	offset	59 80
	frame	data/chars/xdaimon/slam24.png
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xdaimon/slambbox1.png
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	landframe	10
	sound	data/sounds/xdaimPAIN.wav
	frame	data/chars/xdaimon/fall6.png
	frame	data/chars/xdaimon/fall7.png
	frame	data/chars/xdaimon/fall8.png
	frame	data/chars/xdaimon/fall9.png
	frame	data/chars/xdaimon/fall6.png #4
	frame	data/chars/xdaimon/fall7.png
	frame	data/chars/xdaimon/fall8.png
	frame	data/chars/xdaimon/fall9.png
	@cmd	looper 4 10
	frame	data/chars/xdaimon/fall6.png
	delay	300
	frame	data/chars/xdaimon/fall7.png
	delay	15
	@cmd	clearL
	frame	data/chars/xdaimon/fall4.png
		
anim	follow10
	followanim	11
	followcond	1
	loop	0
	delay	10
	offset	145 211
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	hitfx	data/sounds/grab.wav
	frame	data/chars/xdaimon/grab05.png
	frame	data/chars/xdaimon/grab06.png
	delay	9
	attack11	105 190 95 30 0 0 1 1 9 10
	frame	data/chars/xdaimon/grab07.png
	delay	20
	frame	data/chars/xdaimon/grab08.png
	attack11	0 0 0 0
	delay	12
	frame	data/chars/xdaimon/grab06.png
	frame	data/chars/xdaimon/grab05.png
		
anim	follow11
	loop	0
	delay	20
	offset	145 211
	bbox	0 0 0 0
	attack	0 0 0 0
	@cmd	slamstart3
	@cmd	grabcheck2
	@cmd	position 2 35 5 -1 -1
	frame	data/chars/xdaimon/grab08.png
	delay	8
	sound	data/sounds/xdaim04.wav
	@cmd	position 2 35 10 -1 -1
	frame	data/chars/xdaimon/grab65.png
	@cmd	position 6 35 27 -1 -1
	frame	data/chars/xdaimon/grab66.png
	delay	15
	@cmd	position 5 40 65 -1 -1
	frame	data/chars/xdaimon/grab67.png
	delay	8
	@cmd	position 11 22 95 -1 -1
	frame	data/chars/xdaimon/grab68.png
	delay	2
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	delay	1
	@cmd	position 8 -15 50 -1 -1
	frame	data/chars/xdaimon/grab72.png
	@cmd	depost 0
	@cmd	finish 55 1 5 1 0 0
	frame	data/chars/xdaimon/grab72.png
	delay	60
	frame	data/chars/xdaimon/grab72.png
	delay	9
	frame	data/chars/xdaimon/grab73.png
	@cmd	clearL
	frame	data/chars/xdaimon/grab74.png
	frame	data/chars/xdaimon/grab75.png
	@cmd	flip
	frame	data/chars/xdaimon/jump00a.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	12
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	3
	frame	data/chars/xdaimon/jump03.png
	delay	8
	frame	data/chars/xdaimon/jump02.png
	delay	500
	frame	data/chars/xdaimon/jump01.png
	delay	8
	frame	data/chars/xdaimon/jump00.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/dgd08.png
	@cmd	dasher -2.5 0 0
	frame	data/chars/xdaimon/dgd07.png
	@cmd	spawn01 "dust" -20 1 1
	frame	data/chars/xdaimon/dgd06.png
	frame	data/chars/xdaimon/dgd05.png
	frame	data/chars/xdaimon/dgd04.png
	frame	data/chars/xdaimon/dgd03.png
	frame	data/chars/xdaimon/dgd02.png
	frame	data/chars/xdaimon/dgd01.png
	@cmd	stop
	frame	data/chars/xdaimon/run00.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 5)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/emp.png
	delay	9
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	40
	frame	data/chars/xdaimon/spw04.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
		
anim	follow4
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	otg	1
	fastattack	1
	forcedirection	-1
	staydown	500 500
	attack	0 0 0 0
	@cmd	stop
	@cmd	clearL
	seal	7 4
	frame	data/chars/xdaimon/jump00a.png
	frame	data/chars/xdaimon/a40.png
	frame	data/chars/xdaimon/a41.png
	attack2	145 115 65 65 5 0 1 0 18 30
	frame	data/chars/xdaimon/a42.png
	attack2	0 0 0 0
	frame	data/chars/xdaimon/a43.png
	frame	data/chars/xdaimon/a07.png
	frame	data/chars/xdaimon/a08.png
	attack2	145 115 65 65 5 0 1 0 18 30
	frame	data/chars/xdaimon/a10.png
	attack2	0 0 0 0
	frame	data/chars/xdaimon/a07.png
	@cmd	looper 1 5
	frame	data/chars/xdaimon/a06.png
	hitfx	data/sounds/beat3.wav
	sound	data/sounds/xdaim04.wav
	frame	data/chars/xdaimon/a30.png
	frame	data/chars/xdaimon/a31.png
	attack	145 115 110 65 5 1 1 0 25 30
	dropv	2 0
	frame	data/chars/xdaimon/a32.png
	delay	35
	frame	data/chars/xdaimon/a33.png
	attack	0 0 0 0
	delay	6
	frame	data/chars/xdaimon/a34.png
	frame	data/chars/xdaimon/a35.png
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xdaimon/a15a.png
	frame	data/chars/xdaimon/a16.png
	frame	data/chars/xdaimon/a17.png
	frame	data/chars/xdaimon/a18.png
	attack11	145 150 80 65 5 1 1 0 12 30
	dropv	0 0
	frame	data/chars/xdaimon/a19.png
	frame	data/chars/xdaimon/a20.png
	attack11	0 0 0 0
	frame	data/chars/xdaimon/a21.png
	frame	data/chars/xdaimon/jump00.png
	@cmd	looper 16 10
	frame	data/chars/xdaimon/jump00a.png
	delay	8
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/spw01.png
	delay	15
	frame	data/chars/xdaimon/spw02.png
	delay	8
	frame	data/chars/xdaimon/spw03.png
	frame	data/chars/xdaimon/spw04.png
	delay	12
	frame	data/chars/xdaimon/spw05.png
	delay	8
	frame	data/chars/xdaimon/sp02.png
	delay	45
	sound	data/sounds/xdaim02.wav
	frame	data/chars/xdaimon/sp02.png
	delay	9
	move	20
	hitfx	data/sounds/beat6.wav
	hitflash	flashscreen2
	frame	data/chars/xdaimon/sp03.png
	move	0
	attack	100 150 120 65 90 1 1 0 30 30
	dropv	10 0.5
	frame	data/chars/xdaimon/sp04.png
	delay	80
	frame	data/chars/xdaimon/sp04.png
	attack	0 0 0 0
	delay	9
	frame	data/chars/xdaimon/sld02.png
	delay	40
	frame	data/chars/xdaimon/sld05.png
	delay	8
	frame	data/chars/xdaimon/jump00.png
	@cmd	clearL
	frame	data/chars/xdaimon/jump00a.png
		
anim	forwardjump
	loop	0
	delay	15
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xdaimon/jump01.png
	delay	8
	frame	data/chars/xdaimon/jump02.png
	frame	data/chars/xdaimon/jump03.png
	delay	20
	frame	data/chars/xdaimon/jump04.png
	delay	8
	frame	data/chars/xdaimon/jump03.png
	frame	data/chars/xdaimon/jump02.png
	delay	20
	frame	data/chars/xdaimon/jump01.png
		
anim	freespecial15
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	20
	frame	data/chars/xdaimon/spw04.png
	@cmd	spawnChild2  "toturi3" 1 1 1 "ANI_FOLLOW6"
	frame	data/chars/xdaimon/spw04.png
	delay	9
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
		
anim	freespecial26
	energycost	60
	mponly	1
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" 1 1 1 2 "ANI_FOLLOW1"
	@cmd	slamstart2
	@cmd	position 10 35 49 -1 -1
	frame	data/chars/xdaimon/grab00.png
	delay	10
	sound	data/sounds/xdaim04.wav
	@cmd	dasher -2 0 0
	@cmd	position 11 22 95 -1 -1
	frame	data/chars/xdaimon/grab68.png
	delay	7
	@cmd	position 8 5 100 -1 -1
	frame	data/chars/xdaimon/grab69.png
	@cmd	stop
	attack	65 130 80 75 15 1 0 0 5 20
	dropv	3 0.5
	@cmd	spawn01 "qfx" -30 1 1
	@cmd	position 14 -35 49 -1 -1
	frame	data/chars/xdaimon/grab70.png
	delay	20
	@cmd	position 15 -35 49 -1 -1
	frame	data/chars/xdaimon/grab70.png
	attack	0 0 0 0
	delay	8
	@cmd	flip
	@cmd	position 2 35 10 -1 -1
	frame	data/chars/xdaimon/grab65.png #5
	@cmd	position 6 35 27 -1 -1
	frame	data/chars/xdaimon/grab66.png
	@cmd	dasher -2 0 0
	@cmd	position 5 40 65 -1 -1
	frame	data/chars/xdaimon/grab67.png
	delay	10
	@cmd	position 11 22 95 -1 -1
	frame	data/chars/xdaimon/grab68.png
	delay	7
	@cmd	stop
	@cmd	position 8 5 100 -1 -1
	frame	data/chars/xdaimon/grab69.png
	attack	65 130 80 75 15 1 0 0 5 20
	dropv	3 0.5
	@cmd	spawn01 "qfx" -30 1 1
	@cmd	position 14 -35 49 -1 -1
	frame	data/chars/xdaimon/grab70.png
	attack	0 0 0 0
	delay	20
	@cmd	position 15 -35 49 -1 -1
	frame	data/chars/xdaimon/grab70.png
	@cmd	looper 5 7
	delay	10
	@cmd	flip
	@cmd	position 2 35 10 -1 -1
	frame	data/chars/xdaimon/grab65.png
	@cmd	position 6 35 27 -1 -1
	frame	data/chars/xdaimon/grab66.png
	delay	25
	@cmd	position 5 40 65 -1 -1
	frame	data/chars/xdaimon/grab67.png
	sound	data/sounds/xdaim02.wav
	delay	10
	@cmd	position 11 22 95 -1 -1
	frame	data/chars/xdaimon/grab68.png
	delay	2
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	
	@cmd	position 8 -15 120 -1 -1
	frame	data/chars/xdaimon/grab71.png
	@cmd	depost 0
	@cmd	finish 200 1 0.5 10 0 0
	@cmd	spawn01 "flashscreen1" -30 1 1
	frame	data/chars/xdaimon/grab72.png
	delay	60
	frame	data/chars/xdaimon/grab72.png
	delay	9
	frame	data/chars/xdaimon/grab73.png
	@cmd	clearL
	frame	data/chars/xdaimon/grab74.png
	frame	data/chars/xdaimon/grab75.png
	@cmd	flip
	frame	data/chars/xdaimon/jump00a.png
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/spw10.png
	delay	55
	sound	data/sounds/xdaim03.wav
	frame	data/chars/xdaimon/spw11.png
	delay	9
	frame	data/chars/xdaimon/spw10.png
	frame	data/chars/xdaimon/idle01.png
		
anim	freespecial27
	energycost	75
	mponly	1
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	followanim	4
	followcond	1
	seal	7 4
	hitfx	data/sounds/empty.wav
	frame	data/chars/xdaimon/chg00.png
	frame	data/chars/xdaimon/chg01.png
	frame	data/chars/xdaimon/chg02.png
	sound	data/sounds/super1.wav
	@cmd	spawn04 "allsp" 1 1 1 2
	frame	data/chars/xdaimon/chg03.png
	delay	20
	frame	data/chars/xdaimon/chg03.png
	delay	8
	frame	data/chars/xdaimon/a43.png
	frame	data/chars/xdaimon/a41.png
	delay	20
	frame	data/chars/xdaimon/a40.png
	delay	6
	sound	data/sounds/xdaim03.wav
	frame	data/chars/xdaimon/grab05.png
	delay	3
	move	6
	attack	145 125 45 50 0 0 1 1 1 20
	frame	data/chars/xdaimon/sp05.png
	@cmd	keymove 1.2
	frame	data/chars/xdaimon/sp05.png
	frame	data/chars/xdaimon/sp05.png
	@cmd	keymove 1.2
	frame	data/chars/xdaimon/sp05.png
	@cmd	looper 9 4
	frame	data/chars/xdaimon/jump00.png
	attack	0 0 0 0
	move	0
	@cmd	stop
	delay	10
	frame	data/chars/xdaimon/jump00.png
	@cmd	clearL
	frame	data/chars/xdaimon/jump00a.png
		
anim	freespecial29
@script
	void self = getlocalvar("self");
	int mp1 = getentityproperty(self,"mp");
	void plyr = getentityproperty(self, "playerindex");

	if(frame > 5 && playerkeys(plyr, 0, "attack3"))
	{
	  updateframe(self, 2);
	}
	@end_script	
	delay	12
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xdaimon/chg00.png
	frame	data/chars/xdaimon/chg01.png
	delay	5
	frame	data/chars/xdaimon/chg02.png #2
	frame	data/chars/xdaimon/chg03.png
	@cmd	mpgain 1
	frame	data/chars/xdaimon/chg02.png
	frame	data/chars/xdaimon/chg03.png #5
	frame	data/chars/xdaimon/chg02.png
		
anim	freespecial30
	energycost	55
	mponly	1
	weaponframe	20 2
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/spw06.png
	sound	data/sounds/xdaimTLK.wav
	frame	data/chars/xdaimon/spw06.png
	delay	7
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	30
	frame	data/chars/xdaimon/spw04.png
	delay	7
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
	delay	5
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png #20
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
		
anim	freespecial31
	energycost	55
	mponly	1
	weaponframe	20 9
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/spw06.png
	sound	data/sounds/xdaimTLK.wav
	frame	data/chars/xdaimon/spw06.png
	delay	7
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw01.png
	frame	data/chars/xdaimon/spw02.png
	frame	data/chars/xdaimon/spw03.png
	delay	30
	frame	data/chars/xdaimon/spw04.png
	delay	7
	frame	data/chars/xdaimon/spw05.png
	frame	data/chars/xdaimon/spw06.png
	delay	5
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png #20
	frame	data/chars/xdaimon/emp.png
	frame	data/chars/xdaimon/spw06.png
		
anim	get
	delay	6
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xdaimon/jump00a.png
	delay	25
	frame	data/chars/xdaimon/get01.png
	delay	9
	frame	data/chars/xdaimon/jump00.png
	frame	data/chars/xdaimon/jump00a.png
		
anim	grab
	cancel	0 3 0 s freespecial26
	loop	1
	delay	3
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xdaimon/grab00.png
	frame	data/chars/xdaimon/grab00.png
	frame	data/chars/xdaimon/grab00.png
	frame	data/chars/xdaimon/grab00.png
		
anim	grabattack
	loop	0
	attackone	0
	delay	7
	offset	145 211
	bbox	130 125 30 75
	hitfx	data/sounds/beat3.wav
	fastattack	1
	attack	0 0 0 0
