name	 airfall
	sound     data/sounds/indirect.wav
	frame	data/chars/misc/text/jonnyround3/fall26.gif
	frame	data/chars/misc/text/jonnyround3/fall27.gif
	frame	data/chars/misc/text/jonnyround3/fall25.gif
	frame	data/chars/misc/text/jonnyround3/fall26.gif
	frame	data/chars/misc/text/jonnyround3/fall27.gif
	frame	data/chars/misc/text/jonnyround3/fall25.gif
	frame	data/chars/misc/text/jonnyround3/fall26.gif
	frame	data/chars/misc/text/jonnyround3/fall27.gif
	delay	30
	frame	data/chars/misc/text/jonnyround3/fall27.gif
	delay	800
	frame	data/chars/misc/text/jonnyround3/fall28.gif
	delay	5
	frame	data/chars/misc/text/jonnyround3/fall29.gif
	sound     data/sounds/indirect.wav
	frame	data/chars/misc/text/jonnyround3/fall30.gif
	frame	data/chars/misc/text/jonnyround3/fall31.gif
	frame	data/chars/misc/text/jonnyround3/fall29.gif
	frame	data/chars/misc/text/jonnyround3/fall30.gif
	frame	data/chars/misc/text/jonnyround3/fall31.gif
	frame	data/chars/misc/text/jonnyround3/fall29.gif
	frame	data/chars/misc/text/jonnyround3/fall30.gif
	frame	data/chars/misc/text/jonnyround3/fall31.gif
	delay	30
	frame	data/chars/misc/text/jonnyround3/fall31.gif
	delay	900
	frame	data/chars/misc/text/jonnyround3/fall32.gif
	delay	5
	frame	data/chars/misc/text/jonnyround3/fall33.gif
	sound     data/sounds/indirect.wav
	frame	data/chars/misc/text/jonnyround3/fall34.gif
	frame	data/chars/misc/text/jonnyround3/fall35.gif
	frame	data/chars/misc/text/jonnyround3/fall33.gif
	frame	data/chars/misc/text/jonnyround3/fall34.gif
	frame	data/chars/misc/text/jonnyround3/fall35.gif
	frame	data/chars/misc/text/jonnyround3/fall33.gif
	frame	data/chars/misc/text/jonnyround3/fall34.gif
	frame	data/chars/misc/text/jonnyround3/fall35.gif
	delay	30
	frame	data/chars/misc/text/jonnyround3/fall35.gif
	delay	800
	frame	data/chars/misc/text/jonnyround3/fall36.gif

	delay	6
	frame	data/chars/misc/text/jonnyround3/fall23.gif
	sound	data/sounds/super2.wav
	frame	data/chars/misc/text/jonnyround3/fall22.gif
	frame	data/chars/misc/text/jonnyround3/fall21.gif
	frame	data/chars/misc/text/jonnyround3/fall20.gif
	frame	data/chars/misc/text/jonnyround3/fall19.gif
	frame	data/chars/misc/text/jonnyround3/fall18.gif
	frame	data/chars/misc/text/jonnyround3/fall17.gif
	frame	data/chars/misc/text/jonnyround3/fall16.gif
	frame	data/chars/misc/text/jonnyround3/fall15.gif
	frame	data/chars/misc/text/jonnyround3/fall14.gif
	frame	data/chars/misc/text/jonnyround3/fall13.gif
	frame	data/chars/misc/text/jonnyround3/fall12.gif

	frame	data/chars/misc/text/jonnyround3/fall11.gif
	frame	data/chars/misc/text/jonnyround3/fall10.gif
	frame	data/chars/misc/text/jonnyround3/fall09.gif
	frame	data/chars/misc/text/jonnyround3/fall08.gif
	frame	data/chars/misc/text/jonnyround3/fall07.gif
	frame	data/chars/misc/text/jonnyround3/fall06.gif
	frame	data/chars/misc/text/jonnyround3/fall05.gif
	frame	data/chars/misc/text/jonnyround3/fall04.gif
	delay	5
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	frame	data/chars/misc/text/jonnyround3/fall03.gif
	frame	data/chars/misc/text/jonnyround3/fall02.gif
	frame	data/chars/misc/text/jonnyround3/fall01.gif
	delay	500
	frame	data/chars/misc/text/jonnyround3/fallspawn.gif
	frame	data/chars/misc/text/jonnyround3/fallspawn.gif
	frame	data/chars/misc/text/jonnyround3/fallspawn.gif







		
#|edited by openBor Stats v 0.53
		
