name		Beniplr
	offset	130 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat3.wav
	frame	data/chars/xbeni/b01.png
	sound	data/sounds/xbeni03.wav
	frame	data/chars/xbeni/b02.png
	attack	135 118 85 40 20 0 0 0 9 0
	frame	data/chars/xbeni/b03.png
	delay	5
	frame	data/chars/xbeni/b04.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b02.png
	frame	data/chars/xbeni/b01.png
		
anim	attack7
	range	60 85
	rangez	-15 15
	loop	0
	delay	7
	offset	125 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xbeni/b15.png
	sound	data/sounds/xbeni04.wav
	frame	data/chars/xbeni/b16.png
	frame	data/chars/xbeni/b16a.png
	attack	130 100 85 55 40 1 1 0 40 15
	dropv	3 2 0
	frame	data/chars/xbeni/b17.png
	delay	8
	frame	data/chars/xbeni/b18.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b19.png
	frame	data/chars/xbeni/b20.png
	frame	data/chars/xbeni/b21.png
		
anim	attack8
	range	85 140
	rangez	-15 15
	loop	0
	delay	5
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	@cmd	dasher 1.2 0 0
	frame	data/chars/xbeni/b21.png
	sound	data/sounds/xbeni03.wav
	frame	data/chars/xbeni/b25.png
	frame	data/chars/xbeni/b26.png
	frame	data/chars/xbeni/b26a.png
	attack	130 95 75 60 60 1 0 0 40 15
	dropv	3 3
	frame	data/chars/xbeni/b27.png
	delay	15
	@cmd	stop
	frame	data/chars/xbeni/b28.png
	attack	0 0 0 0
	delay	7
	frame	data/chars/xbeni/b26a.png
	frame	data/chars/xbeni/b26.png
	frame	data/chars/xbeni/b25.png
	frame	data/chars/xbeni/b21.png
		
anim	attackdown
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 0.4
	frame	data/chars/xbeni/dgd00.png
	frame	data/chars/xbeni/dgd01.png
	@cmd	spawn01 "dust" 20 1 1
	frame	data/chars/xbeni/dgd02.png
	frame	data/chars/xbeni/dgd03.png
	frame	data/chars/xbeni/dgd04.png
	frame	data/chars/xbeni/dgd05.png
	frame	data/chars/xbeni/dgd06.png
	@cmd	stop
	frame	data/chars/xbeni/rise04.png
		
anim	attackup
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	@cmd	dasher 2.5 0 -0.4
	frame	data/chars/xbeni/dgd00.png
	frame	data/chars/xbeni/dgd01.png
	@cmd	spawn01 "dust" 20 1 1
	frame	data/chars/xbeni/dgd02.png
	frame	data/chars/xbeni/dgd03.png
	frame	data/chars/xbeni/dgd04.png
	frame	data/chars/xbeni/dgd05.png
	frame	data/chars/xbeni/dgd06.png
	@cmd	stop
	frame	data/chars/xbeni/rise04.png
		
anim	block
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xbeni/blk01.png
	frame	data/chars/xbeni/blk02.png
		
anim	burn
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	sound	data/sounds/xbeniPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xbeni/fall1.png
	frame	data/chars/xbeni/fall2.png
	delay	500
	frame	data/chars/xbeni/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xbeni/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xbeni/fall4.png
		
anim	charge
	loop	0
	delay	7
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xbeni/chg01.png
	frame	data/chars/xbeni/chg02.png
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg05.png
	delay	5
	frame	data/chars/xbeni/chg10.png
	frame	data/chars/xbeni/chg11.png
	frame	data/chars/xbeni/chg12.png
	frame	data/chars/xbeni/chg13.png
	@cmd	updateframe getlocalvar("self") 4
	delay	8
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg03.png
		
anim	death
	loop	0
	delay	40
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/fall4.png
	delay	9
	frame	data/chars/xbeni/rise01.png
	sound	data/sounds/xbeniDET.wav
	frame	data/chars/xbeni/rise02.png
	frame	data/chars/xbeni/rise03.png
	frame	data/chars/xbeni/deth01.png
	frame	data/chars/xbeni/deth02.png
	frame	data/chars/xbeni/deth03.png
	frame	data/chars/xbeni/deth04.png
	frame	data/chars/xbeni/deth05.png
	frame	data/chars/xbeni/deth06.png
	frame	data/chars/xbeni/deth07.png
	delay	200
	frame	data/chars/xbeni/deth08.png
		
anim	fall
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xbeniPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xbeni/fall1.png
	frame	data/chars/xbeni/fall2.png
	delay	500
	frame	data/chars/xbeni/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xbeni/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xbeni/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3 dust
	sound	data/sounds/xbeniPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xbeni/pain4.png
	frame	data/chars/xbeni/fall2.png
	delay	500
	frame	data/chars/xbeni/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xbeni/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xbeni/fall4.png
		
anim	fall3
	loop	0
	delay	30
	offset	145 211
	bbox	120 125 30 75
	landframe	3 dust
	sound	data/sounds/xbeniPAIN.wav
	attack	130 130 29 43 5 1 0 0 13 20
	frame	data/chars/xbeni/pain4.png
	bbox	115 133 60 40
	frame	data/chars/xbeni/fall2.png
	delay	500
	bbox	110 145 50 50
	frame	data/chars/xbeni/fall3.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	10
	offset	145 210
	bbox	100 186 80 25
	frame	data/chars/xbeni/fall4.png
	delay	50
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xbeni/slam0.png
	offset	45 95
	frame	data/chars/xbeni/slam1.png
	offset	50 85
	frame	data/chars/xbeni/slam2.png
	offset	45 95
	frame	data/chars/xbeni/slam3.png
	offset	45 95
	frame	data/chars/xbeni/slam4.png
	offset	75 55
	frame	data/chars/xbeni/slam5.png
	offset	40 80
	frame	data/chars/xbeni/slam6.png
	offset	20 90
	frame	data/chars/xbeni/slam7.png
	offset	65 55
	frame	data/chars/xbeni/slam8.png
	offset	65 83
	frame	data/chars/xbeni/slam9.png
	offset	65 83
	frame	data/chars/xbeni/slam10.png
	offset	20 90
	frame	data/chars/xbeni/slam11.png
	offset	75 55
	frame	data/chars/xbeni/slam12.png
	offset	75 55
	frame	data/chars/xbeni/slam13.png
	offset	50 85
	frame	data/chars/xbeni/slam14.png
	offset	45 95
	frame	data/chars/xbeni/slam15.png
	offset	55 70
	frame	data/chars/xbeni/slam16.png
	offset	65 83
	frame	data/chars/xbeni/slam17.png
	offset	65 83
	frame	data/chars/xbeni/slam18.png
	offset	45 95
	frame	data/chars/xbeni/slam19.png
	offset	45 95
	frame	data/chars/xbeni/slam20.png
	offset	45 95
	frame	data/chars/xbeni/slam21.png
	offset	45 95
	frame	data/chars/xbeni/slam22.png
	offset	59 85
	frame	data/chars/xbeni/slam23.png
	offset	59 80
	frame	data/chars/xbeni/slam24.png
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xbeni/slambbox1.png
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	landframe	14
	sound	data/sounds/xbeniPAIN.wav
	frame	data/chars/xbeni/fall6.png
	frame	data/chars/xbeni/fall7.png
	frame	data/chars/xbeni/fall8.png
	frame	data/chars/xbeni/fall9.png
	frame	data/chars/xbeni/fall6.png
	frame	data/chars/xbeni/fall7.png
	frame	data/chars/xbeni/fall8.png
	frame	data/chars/xbeni/fall9.png
	frame	data/chars/xbeni/fall6.png
	frame	data/chars/xbeni/fall7.png
	frame	data/chars/xbeni/fall8.png
	frame	data/chars/xbeni/fall9.png
	frame	data/chars/xbeni/fall6.png
	delay	300
	frame	data/chars/xbeni/fall7.png
	delay	15
	frame	data/chars/xbeni/fall4.png
		
anim	follow10
	loop	0
	delay	5
	offset	145 211
	bbox	0 0 0 0
	forcedirection	-1
	attackone	1
	otg	2
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/xbeni/grd01.png
	frame	data/chars/xbeni/grd02.png
	sound	data/sounds/xbeni01.wav
	frame	data/chars/xbeni/grd03.png
	frame	data/chars/xbeni/grd04.png
	frame	data/chars/xbeni/grd05.png
	frame	data/chars/xbeni/grd06.png
	delay	8
	attack11	105 190 95 30 65 1 0 0 9 10
	dropv	2 3
	frame	data/chars/xbeni/grd07.png
	frame	data/chars/xbeni/grd08.png
	attack11	0 0 0 0
	frame	data/chars/xbeni/grd09.png
	frame	data/chars/xbeni/grd10.png
	frame	data/chars/xbeni/grd11.png
	frame	data/chars/xbeni/grd12.png
	frame	data/chars/xbeni/grd13.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	5
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	7
	frame	data/chars/xbeni/jump01.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump03.png
	delay	20
	frame	data/chars/xbeni/jump04.png
	delay	7
	frame	data/chars/xbeni/jump03.png
	frame	data/chars/xbeni/jump02.png
	delay	500
	frame	data/chars/xbeni/jump01.png
	delay	9
	frame	data/chars/xbeni/jump00.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/rise04.png
	@cmd	dasher -2.5 0 0
	frame	data/chars/xbeni/dgd06.png
	frame	data/chars/xbeni/dgd05.png
	frame	data/chars/xbeni/dgd04.png
	frame	data/chars/xbeni/dgd03.png
	frame	data/chars/xbeni/dgd02.png
	frame	data/chars/xbeni/dgd01.png
	frame	data/chars/xbeni/dgd00.png
	@cmd	stop
	frame	data/chars/xbeni/rise04.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 5)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/emp.png
	delay	50
	frame	data/chars/xbeni/spawn06.png
	delay	9
	frame	data/chars/xbeni/spawn05.png
	frame	data/chars/xbeni/spawn04.png
	frame	data/chars/xbeni/spawn03.png
	frame	data/chars/xbeni/spawn02.png
	frame	data/chars/xbeni/spawn01.png
	frame	data/chars/xbeni/spawn01.png
		
anim	follow4
	loop	0
	delay	6
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	jumpframe	41 2 0 0
	landframe	48 dust
	hitfx	data/sounds/beat2.wav
	move	0
	@cmd	stop
	frame	data/chars/xbeni/a10.png
	delay	4
	frame	data/chars/xbeni/a11.png
	attack	150 120 80 50 3 0 1 0 12 20
	frame	data/chars/xbeni/a12.png
	attack	0 0 0 0
	frame	data/chars/xbeni/a14.png
	frame	data/chars/xbeni/a01.png
	attack	150 120 80 50 3 0 1 0 12 20
	frame	data/chars/xbeni/a02.png
	attack	0 0 0 0
	frame	data/chars/xbeni/a04.png
	@cmd	looper 1 9
	frame	data/chars/xbeni/a11.png
	hitfx	data/sounds/beat5.wav
	delay	4
	frame	data/chars/xbeni/b01.png
	frame	data/chars/xbeni/b02.png
	attack	130 120 80 50 3 0 1 0 12 20
	frame	data/chars/xbeni/b04.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b02.png
	frame	data/chars/xbeni/b01.png
	frame	data/chars/xbeni/b05.png
	frame	data/chars/xbeni/b06.png
	attack	130 120 80 50 3 0 1 0 12 20
	frame	data/chars/xbeni/b08.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b06.png
	frame	data/chars/xbeni/b05.png
	@cmd	looper 8 6
	frame	data/chars/xbeni/a01.png
	delay	4
	hitfx	data/sounds/beat1.wav
	frame	data/chars/xbeni/b35.png
	frame	data/chars/xbeni/b36.png
	frame	data/chars/xbeni/b37.png
	frame	data/chars/xbeni/b38.png
	attack	130 120 80 50 3 0 1 0 12 30
	frame	data/chars/xbeni/b39a.png
	attack	0 0 0 0
	frame	data/chars/xbeni/b39b.png
	frame	data/chars/xbeni/b40.png
	frame	data/chars/xbeni/b37.png
	@cmd	looper 19 8
	frame	data/chars/xbeni/a01.png
	delay	2
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xbeni/spw01.png
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw02.png
	attack10	50 140 95 50 3 1 1 0 12 30
	dropv	1.2 0
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw03.png
	attack10	0 0 0 0
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw04.png
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw05.png
	sound	data/sounds/punch2.wav
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw06.png
	attack10	130 150 100 50 3 1 1 0 12 30
	dropv	1.2 0
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw07.png
	attack10	0 0 0 0
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw08.png
	@cmd	leaper 0 0.5
	frame	data/chars/xbeni/spw09.png
	@cmd	looper 29 11
	frame	data/chars/xbeni/a01.png
	drawmethod	255 255 0 1 0 0 -1
	staydown	500 500
	hitflash	flashscreen2
	hitfx	data/sounds/beat4.wav
	delay	3
	sound	data/sounds/xbeni04.wav
	offset	145 90
	@cmd	spawnAni "xleonapw" 50 -140 2 "ANI_follow8"
	frame	data/chars/xbeni/spw15.png
	frame	data/chars/xbeni/spw16.png
	attack	145 35 105 165 50 1 1 0 95 30
	dropv	-1 1
	frame	data/chars/xbeni/spw17.png
	delay	12
	frame	data/chars/xbeni/spw18.png
	delay	6
	attack	0 0 0 0
	frame	data/chars/xbeni/spw19.png
	frame	data/chars/xbeni/spw20.png
	frame	data/chars/xbeni/spw21.png
	delay	6
	frame	data/chars/xbeni/jump03.png
	frame	data/chars/xbeni/jump02.png
	delay	500
	frame	data/chars/xbeni/jump01.png
	delay	12
	nodrawmethod	
	offset	145 211
	frame	data/chars/xbeni/rise03.png
	@cmd	clearL
	frame	data/chars/xbeni/rise04.png
		
anim	follow6
@script
void self = getlocalvar("self");
void plyr = getentityproperty(self, "playerindex");

if(frame >= 3 && frame <= 18 )
{
	if( playerkeys(plyr, 0, "moveup") && playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPATTACK3"));
	}
	if( playerkeys(plyr, 0, "movedown") && playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPATTACK2"));
	}
	if( playerkeys(plyr, 0, "attack"))
	{
	performattack(self, openborconstant("ANI_JUMPFORWARD"));
	}
}
	@end_script	
	cancel	1 18 0 s freespecial5
	loop	0
	delay	20
	offset	145 211
	bbox	130 110 30 60
	jumpframe	0 3 0.5 0
	landframe	20
	frame	data/chars/xbeni/jua25.png
	delay	3
	frame	data/chars/xbeni/jump01.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump03.png #3
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump04.png
	frame	data/chars/xbeni/jump03.png
	frame	data/chars/xbeni/jump03.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump01.png #15
	frame	data/chars/xbeni/jump01.png
	frame	data/chars/xbeni/jump01.png
	@cmd	looper 15 30
	frame	data/chars/xbeni/jump01.png #18
	delay	500
	frame	data/chars/xbeni/jump01.png
	delay	9
	frame	data/chars/xbeni/jump00.png #20
		
anim	forwardjump
	cancel	0 6 0 s freespecial5
	loop	0
	delay	5
	offset	145 211
	bbox	130 110 30 60
	frame	data/chars/xbeni/jump01.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump03.png
	delay	30
	frame	data/chars/xbeni/jump04.png
	delay	7
	frame	data/chars/xbeni/jump03.png
	frame	data/chars/xbeni/jump02.png
	frame	data/chars/xbeni/jump01.png
		
anim	freespecial15
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/spawn01.png
	sound	data/sounds/xbeniTLK.wav
	frame	data/chars/xbeni/spawn02.png
	frame	data/chars/xbeni/spawn03.png
	frame	data/chars/xbeni/spawn04.png
	frame	data/chars/xbeni/spawn05.png
	frame	data/chars/xbeni/spawn06.png
	delay	30
	frame	data/chars/xbeni/spawn06.png
	@cmd	spawnChild2 "toturi3" 1 1 1 "ANI_FOLLOW2"
	frame	data/chars/xbeni/spawn06.png
	delay	9
	frame	data/chars/xbeni/spawn05.png
	frame	data/chars/xbeni/spawn04.png
	frame	data/chars/xbeni/spawn03.png
	frame	data/chars/xbeni/spawn02.png
	frame	data/chars/xbeni/spawn01.png
		
anim	freespecial26
	energycost	35
	mponly	1
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 60
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	staydown	300 300
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg05.png
	sound	data/sounds/super1.wav
	@cmd	spawnAni2 "allsp" -15 1 1 3 "ANI_FOLLOW1"
	frame	data/chars/xbeni/chg06.png
	delay	60
	frame	data/chars/xbeni/chg07.png
	delay	12
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg02.png
	delay	70
	frame	data/chars/xbeni/chg03.png
	delay	8
	sound	data/sounds/xbeni04.wav
	frame	data/chars/xbeni/grab02.png
	bbox	0 0 0 0
	delay	2
	attack	130 115 65 65 150 1 1 0 60 20
	dropv	3 4
	move	6
	@cmd	keymove 1.2
	frame	data/chars/xbeni/b60.png #8
	frame	data/chars/xbeni/b60.png
	@cmd	keymove 1.2
	frame	data/chars/xbeni/b60.png
	frame	data/chars/xbeni/b60.png #11
	@cmd	looper 8 5
	delay	9
	attack	0 0 0 0
	move	0
	@cmd	stop
	frame	data/chars/xbeni/rise04.png
	delay	30
	@cmd	clearL
	frame	data/chars/xbeni/rise03.png
	delay	8
	frame	data/chars/xbeni/rise04.png
		
anim	freespecial27
	energycost	75
	mponly	1
	loop	0
	delay	12
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	seal	7 1
	followanim	4
	followcond	1
	hitfx	data/sounds/empty.wav
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg05.png
	sound	data/sounds/super1.wav
	@cmd	spawn04 "allsp" 1 1 1 3
	frame	data/chars/xbeni/chg06.png
	delay	50
	frame	data/chars/xbeni/chg07.png
	delay	8
	frame	data/chars/xbeni/grd01.png #4
	frame	data/chars/xbeni/grd02.png
	sound	data/sounds/xbeni01.wav
	frame	data/chars/xbeni/grd03.png
	frame	data/chars/xbeni/grd04.png
	delay	2
	move	5
	attack	130 120 60 50 0 0 1 1 1 20
	frame	data/chars/xbeni/grd05.png #8
	@cmd	keymove 1.2
	frame	data/chars/xbeni/grd05.png
	frame	data/chars/xbeni/grd05.png
	@cmd	keymove 1.2
	frame	data/chars/xbeni/grd05.png
	attack	0 0 0 0
	@cmd	looper 8 7
	move	0
	@cmd	stop
	delay	9
	frame	data/chars/xbeni/rise04.png
	delay	20
	@cmd	clearL
	frame	data/chars/xbeni/rise03.png
	delay	8
	frame	data/chars/xbeni/rise04.png
		
anim	freespecial29
@script
	void self = getlocalvar("self");
	int mp1 = getentityproperty(self,"mp");
	void plyr = getentityproperty(self, "playerindex");

	if(frame > 7 && playerkeys(plyr, 0, "attack3"))
	{
	  updateframe(self, 4);
	}
	@end_script	
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	sound	data/sounds/xclark05.wav
	frame	data/chars/xbeni/chg01.png
	frame	data/chars/xbeni/chg02.png
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg05.png
	delay	5
	frame	data/chars/xbeni/chg10.png #4
	frame	data/chars/xbeni/chg11.png
	frame	data/chars/xbeni/chg12.png
	@cmd	mpgain 1
	frame	data/chars/xbeni/chg13.png #7
	delay	8
	frame	data/chars/xbeni/chg04.png
	frame	data/chars/xbeni/chg03.png
		
anim	freespecial3
	energycost	11
	mponly	1
	loop	0
	delay	8
	offset	145 211
	bbox	123 122 35 59
	staydown	500 500
	hitfx	data/sounds/elec.wav
	frame	data/chars/xbeni/spw30.png
	sound	data/sounds/xbeniPW.wav
	frame	data/chars/xbeni/spw31.png
	frame	data/chars/xbeni/spw32.png
	bbox	157 126 18 56
	@cmd	dasher 3 0 0
	frame	data/chars/xbeni/spw33.png
	frame	data/chars/xbeni/spw34.png
	@cmd	stop
	delay	1
	frame	data/chars/xbeni/spw35.png
	attack	190 100 90 65 80 1 0 0 5 15
	dropv	3 4
	frame	data/chars/xbeni/spw36.png
	frame	data/chars/xbeni/spw37.png
	frame	data/chars/xbeni/spw38.png
	frame	data/chars/xbeni/spw39.png
	frame	data/chars/xbeni/spw40.png
	frame	data/chars/xbeni/spw41.png
	frame	data/chars/xbeni/spw42.png
	frame	data/chars/xbeni/spw43.png
	frame	data/chars/xbeni/spw44.png
	@cmd	looper 6 6
	attack	0 0 0 0
	delay	8
	frame	data/chars/xbeni/a13.png
	bbox	146 122 24 51
	frame	data/chars/xbeni/a14.png
	bbox	133 123 30 47
	@cmd	clearL
	frame	data/chars/xbeni/a15.png
		
anim	freespecial30
	energycost	30
	mponly	1
	weaponframe	21 2
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xbeni/spawn01.png
	sound	data/sounds/xbeniTLK.wav
	frame	data/chars/xbeni/spawn02.png
	frame	data/chars/xbeni/spawn03.png
