name		ralfplr
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xralf06.wav
	frame	data/chars/xralf/a60.png
	frame	data/chars/xralf/a61.png
	frame	data/chars/xralf/a62.png
	delay	6
	attack	143 122 80 30 40 1 0 0 40 15
	frame	data/chars/xralf/a63.png
	attack	0 0 0 0
	frame	data/chars/xralf/a64.png
	frame	data/chars/xralf/a65.png
	frame	data/chars/xralf/a66.png
	frame	data/chars/xralf/a67.png
		
anim	attack8
	range	85 140
	rangez	-15 15
	loop	0
	delay	6
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/xralf06.wav
	frame	data/chars/xralf/a01.png
	@cmd	dasher 1 0 0
	frame	data/chars/xralf/a70.png
	frame	data/chars/xralf/a71.png
	frame	data/chars/xralf/a72.png
	frame	data/chars/xralf/a73.png
	@cmd	stop
	frame	data/chars/xralf/a74.png
	delay	12
	attack	143 122 75 30 60 1 0 0 1 15
	dropv	2 4
	frame	data/chars/xralf/a75.png
	attack	0 0 0 0
	frame	data/chars/xralf/a76.png
	delay	30
	frame	data/chars/xralf/a77.png
		
anim	attackdown
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/dgd01.png
	@cmd	dasher 2.5 0 0.3
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xralf/dgd02.png
	frame	data/chars/xralf/dgd03.png
	frame	data/chars/xralf/dgd04.png
	frame	data/chars/xralf/dgd05.png
	frame	data/chars/xralf/dgd06.png
	@cmd	stop
	frame	data/chars/xralf/dgd07.png
		
anim	attackup
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/dgd01.png
	@cmd	dasher 2.5 0 -0.3
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xralf/dgd02.png
	frame	data/chars/xralf/dgd03.png
	frame	data/chars/xralf/dgd04.png
	frame	data/chars/xralf/dgd05.png
	frame	data/chars/xralf/dgd06.png
	@cmd	stop
	frame	data/chars/xralf/dgd07.png
		
anim	block
	loop	0
	delay	12
	offset	145 211
	bbox	130 125 30 75
	frame	data/chars/xralf/blk01.png
	frame	data/chars/xralf/blk02.png
		
anim	burn
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xralf/fall1.png
	frame	data/chars/xralf/fall2.png
	delay	500
	frame	data/chars/xralf/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xralf/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xralf/fall4.png
		
anim	charge
	loop	0
	delay	10
	offset	145 211
	bbox	125 125 30 75
	sound	data/sounds/xralfchg02.wav
	frame	data/chars/xralf/chg06.png
	frame	data/chars/xralf/chg07.png
	delay	8
	frame	data/chars/xralf/chg08.png
	frame	data/chars/xralf/chg09.png
	frame	data/chars/xralf/chg10.png
	@cmd	updateframe getlocalvar("self") 2
	delay	10
	frame	data/chars/xralf/chg07.png
	frame	data/chars/xralf/chg06.png
		
anim	death
	loop	0
	delay	40
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/fall4.png
	delay	12
	frame	data/chars/xralf/sld02.png
	frame	data/chars/xralf/sld01.png
	frame	data/chars/xralf/get02.png
	frame	data/chars/xralf/grd06.png
	sound	data/sounds/xralfPain02.wav
	frame	data/chars/xralf/grd07.png
	delay	50
	frame	data/chars/xralf/pain4.png
	delay	12
	frame	data/chars/xralf/fall1.png
	frame	data/chars/xralf/fall2.png
	frame	data/chars/xralf/fall3.png
	frame	data/chars/xralf/fall4.png
	delay	150
	frame	data/chars/xralf/fall4.png
		
anim	fall
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	landframe	3
	sound	data/sounds/xralfPain01.wav
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xralf/fall1.png
	frame	data/chars/xralf/fall2.png
	delay	500
	frame	data/chars/xralf/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xralf/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xralf/fall4.png
		
anim	fall2
	loop	0
	delay	30
	offset	145 211
	bbox	0 0 0 0
	sound	data/sounds/xralfPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 0
	frame	data/chars/xralf/pain4.png
	frame	data/chars/xralf/fall2.png
	delay	500
	frame	data/chars/xralf/fall3.png
	attack	0 0 0 0
	delay	10
	offset	145 210
	frame	data/chars/xralf/fall4.png
	delay	50
	offset	145 211
	frame	data/chars/xralf/fall4.png
		
anim	fall3
	loop	0
	delay	30
	offset	145 211
	bbox	120 125 30 75
	sound	data/sounds/xralfPain01.wav
	landframe	3 dust
	attack	130 130 29 43 5 1 0 0 13 20
	frame	data/chars/xralf/pain4.png
	bbox	115 133 60 40
	frame	data/chars/xralf/fall2.png
	delay	500
	bbox	110 145 50 50
	frame	data/chars/xralf/fall3.png
	attack	0 0 0 0 0 0 0 0 0 0
	delay	10
	offset	145 210
	bbox	100 186 80 25
	frame	data/chars/xralf/fall4.png
	delay	50
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/fall4.png
		
anim	fall7
	delay	1000
	offset	45 95
	bbox	0 0 0 0
	frame	data/chars/xralf/slam0.png
	offset	45 95
	frame	data/chars/xralf/slam1.png
	offset	50 85
	frame	data/chars/xralf/slam2.png
	offset	45 95
	frame	data/chars/xralf/slam3.png
	offset	45 95
	frame	data/chars/xralf/slam4.png
	offset	75 55
	frame	data/chars/xralf/slam5.png
	offset	40 80
	frame	data/chars/xralf/slam6.png
	offset	20 90
	frame	data/chars/xralf/slam7.png
	offset	65 55
	frame	data/chars/xralf/slam8.png
	offset	65 83
	frame	data/chars/xralf/slam9.png
	offset	65 83
	frame	data/chars/xralf/slam10.png
	offset	20 90
	frame	data/chars/xralf/slam11.png
	offset	75 55
	frame	data/chars/xralf/slam12.png
	offset	75 55
	frame	data/chars/xralf/slam13.png
	offset	50 85
	frame	data/chars/xralf/slam14.png
	offset	45 95
	frame	data/chars/xralf/slam15.png
	offset	55 70
	frame	data/chars/xralf/slam16.png
	offset	65 83
	frame	data/chars/xralf/slam17.png
	offset	65 83
	frame	data/chars/xralf/slam18.png
	offset	45 95
	frame	data/chars/xralf/slam19.png
	offset	45 95
	frame	data/chars/xralf/slam20.png
	offset	45 95
	frame	data/chars/xralf/slam21.png
	offset	45 95
	frame	data/chars/xralf/slam22.png
	offset	59 85
	frame	data/chars/xralf/slam23.png
	offset	59 80
	frame	data/chars/xralf/slam24.png
	offset	45 95
	bbox	25 10 60 80
	frame	data/chars/xralf/slambbox1.png
	bbox	0 0 0 0
		
anim	fall9
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	landframe	14
	sound	data/sounds/xralfPain01.wav
	frame	data/chars/xralf/fall6.png
	frame	data/chars/xralf/fall7.png
	frame	data/chars/xralf/fall8.png
	frame	data/chars/xralf/fall9.png
	frame	data/chars/xralf/fall6.png
	frame	data/chars/xralf/fall7.png
	frame	data/chars/xralf/fall8.png
	frame	data/chars/xralf/fall9.png
	frame	data/chars/xralf/fall6.png
	frame	data/chars/xralf/fall7.png
	frame	data/chars/xralf/fall8.png
	frame	data/chars/xralf/fall9.png
	frame	data/chars/xralf/fall6.png
	delay	300
	frame	data/chars/xralf/fall7.png
	delay	15
	frame	data/chars/xralf/fall4.png
		
anim	follow10
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	jumpframe	1 2 0
	landframe	4 dust
	quakeframe	4 8 12
	forcedirection	-1
	attackone	1
	otg	2
	sound	data/sounds/xralf01.wav
	hitfx	data/sounds/beat5.wav
	hitflash	flashscreen1
	frame	data/chars/xralf/jump00.png
	frame	data/chars/xralf/grd01.png
	frame	data/chars/xralf/grd02.png
	delay	500
	frame	data/chars/xralf/grd03.png
	delay	5
	attack11	110 185 90 28 50 1 0 0 40 10
	sound	data/sounds/burn.wav
	dropv	4 1
	frame	data/chars/xralf/grd04.png #4
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	attack11	0 0 0 0 0
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	frame	data/chars/xralf/grd04.png
	delay	10
	frame	data/chars/xralf/grd05.png
	frame	data/chars/xralf/grd06.png
	frame	data/chars/xralf/grd07.png
		
anim	follow15
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	7
	offset	145 211
	bbox	0 0 0 0
	jumpframe	0 3 -1
	landframe	7
	frame	data/chars/xralf/jump01.png
	frame	data/chars/xralf/jump02.png
	frame	data/chars/xralf/jump03.png
	frame	data/chars/xralf/jump04.png
	frame	data/chars/xralf/jump03.png
	frame	data/chars/xralf/jump02.png
	delay	500
	frame	data/chars/xralf/jump01.png
	delay	7
	frame	data/chars/xralf/jump00.png
		
anim	follow16
@script
	void self = getlocalvar("self");
   	void opp = getentityproperty(self, "opponent");
	int enedir = getentityproperty(opp,"direction");
	if (frame == 0 && enedir == 0)
	{
	changeentityproperty(self, "direction", 1);
	}
	else if (frame == 0 && enedir == 1)
	{
	changeentityproperty(self, "direction", 0);
	}
	@end_script	
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/dgd01.png
	@cmd	dasher -2.5 0 0
	frame	data/chars/xralf/dgd02.png
	@cmd	spawn01 "dust" 75 1 1
	frame	data/chars/xralf/dgd03.png
	frame	data/chars/xralf/dgd04.png
	frame	data/chars/xralf/dgd05.png
	frame	data/chars/xralf/dgd06.png
	@cmd	stop
	frame	data/chars/xralf/dgd07.png
		
anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 7)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
	@end_script	
	loop	0
	delay	800
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/emp.png
	delay	9
	frame	data/chars/xralf/charge01.png
	frame	data/chars/xralf/charge02.png
	sound	data/sounds/xralfchg02.wav
	frame	data/chars/xralf/charge03.png
	frame	data/chars/xralf/charge04.png
	frame	data/chars/xralf/charge05.png
	delay	30
	frame	data/chars/xralf/charge04.png
	delay	9
	frame	data/chars/xralf/charge03.png
	frame	data/chars/xralf/charge02.png #7
	frame	data/chars/xralf/charge01.png
		
anim	follow3
	loop	0
	delay	8
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	@cmd	dasher 2.5 0 0
	frame	data/chars/xralf/a43a.png
	sound	data/sounds/xralfPW01.wav
	frame	data/chars/xralf/a50.png
	frame	data/chars/xralf/a51.png
	@cmd	stop
	@cmd	clearL
	frame	data/chars/xralf/a52.png
	delay	3
	hitfx	data/sounds/beat1.wav
	attack5	139 115 75 44 4 0 0 0 5 15
	frame	data/chars/xralf/pw20.png
	attack5	0 0 0 0
	frame	data/chars/xralf/pw21.png
	frame	data/chars/xralf/pw22.png
	hitfx	data/sounds/beat1.wav
	attack6	139 115 75 44 4 0 0 0 5 15
	frame	data/chars/xralf/pw23.png
	attack6	0 0 0 0
	frame	data/chars/xralf/pw24.png
	frame	data/chars/xralf/pw25.png
	hitfx	data/sounds/beat1.wav
	attack2	139 130 75 44 4 0 0 0 5 15
	frame	data/chars/xralf/pw26.png
	attack2	0 0 0 0
	frame	data/chars/xralf/pw27.png
	frame	data/chars/xralf/pw28.png
	@cmd	looper 4 5
	delay	6
	bbox	0 0 0 0
	@cmd	dasher 1 0 0
	frame	data/chars/xralf/pw29.png
	sound	data/sounds/xralf08.wav
	frame	data/chars/xralf/pw30.png
	frame	data/chars/xralf/pw31.png
	@cmd	stop
	hitflash	flashscreen1
	hitfx	data/sounds/beat4.wav
	staydown	300 300
	frame	data/chars/xralf/pw32.png
	attack10	115 95 100 65 60 1 1 0 45 20
	dropv	10 0.1
	frame	data/chars/xralf/pw33.png
	delay	12
	frame	data/chars/xralf/pw34.png
	attack10	0 0 0 0
	frame	data/chars/xralf/pw35.png
	frame	data/chars/xralf/pw36.png
	delay	85
	frame	data/chars/xralf/pw37.png
	delay	12
	frame	data/chars/xralf/a35.png
		
anim	follow4
	loop	0
	delay	9
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	jumpframe	29 4.5 0
	landframe	39 dust
	@cmd	stop
	@cmd	clearL
	sound	data/sounds/xralfPW01.wav
	frame	data/chars/xralf/charge01.png
	delay	3
	hitfx	data/sounds/beat1.wav
	attack5	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw20.png
	attack5	0 0 0 0
	frame	data/chars/xralf/pw21.png
	frame	data/chars/xralf/pw22.png
	hitfx	data/sounds/beat1.wav
	attack6	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw23.png
	attack6	0 0 0 0
	frame	data/chars/xralf/pw24.png
	frame	data/chars/xralf/pw25.png
	hitfx	data/sounds/beat1.wav
	attack2	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw26.png
	attack2	0 0 0 0
	frame	data/chars/xralf/pw27.png
	frame	data/chars/xralf/pw28.png
	@cmd	looper 1 5
	delay	5
	attack	125 100 90 70 3 0 1 0 5 25
	@cmd	spawnAni "xkyopw" 70 80 1 "ANI_FOLLOW5"
	frame	data/chars/xralf/pw06.png
	attack	0 0 0 0
	@cmd	clearL
	frame	data/chars/xralf/pw07.png
	@cmd	spawnAni "xkyopw" 85 50 1 "ANI_FOLLOW5"
	frame	data/chars/xralf/pw08.png
	attack	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw09.png
	@cmd	spawnAni "xkyopw" 90 70 1 "ANI_FOLLOW5"
	attack	0 0 0 0
	frame	data/chars/xralf/pw10.png
	attack	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw11.png
	@cmd	spawnAni "xkyopw" 80 90 1 "ANI_FOLLOW5"
	attack	0 0 0 0
	frame	data/chars/xralf/pw12.png
	attack2	125 100 90 70 3 0 1 0 5 25
	frame	data/chars/xralf/pw13.png
	@cmd	spawnAni "xkyopw" 70 105 1 "ANI_FOLLOW5"
	attack2	0 0 0 0
	frame	data/chars/xralf/pw13.png
	@cmd	looper 13 4
	frame	data/chars/xralf/a44.png
	@cmd	clearL
	frame	data/chars/xralf/a01.png
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xralf/grab10.png
	frame	data/chars/xralf/grab11.png
	frame	data/chars/xralf/grab15.png
	attack	125 100 90 70 3 0 1 0 25 25
	frame	data/chars/xralf/grab16.png
	attack	0 0 0 0
	frame	data/chars/xralf/grab17.png
	@cmd	looper 21 15
	delay	8
	frame	data/chars/xralf/pw80.png
	delay	12
	frame	data/chars/xralf/pw81.png
	delay	8
	sound	data/sounds/xralf03.wav
	frame	data/chars/xralf/pw82.png
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	delay	25
	attack10	125 100 90 70 3 1 1 0 80 30
	dropv	5 0
	frame	data/chars/xralf/pw83.png
	attack10	0 0 0 0
	delay	8
	frame	data/chars/xralf/pw84.png
	frame	data/chars/xralf/pw85.png
	hitfx	data/sounds/beat6.wav
	staydown	500 500
	hitflash	flashscreen2
	frame	data/chars/xralf/pw86.png
	@cmd	leaper 0 0.2
	frame	data/chars/xralf/pw87.png
	@cmd	leaper 0 0.2
	sound	data/sounds/xralf06.wav
	frame	data/chars/xralf/pw88.png
	@cmd	leaper 0 0.2
	delay	25
	attack	125 100 90 70 100 1 1 0 90 30
	dropv	1 4
	frame	data/chars/xralf/pw89.png
	attack	0 0 0 0
	delay	7
	@cmd	leaper 0 0.2
	frame	data/chars/xralf/jump03.png
	frame	data/chars/xralf/jump02.png
	delay	500
	frame	data/chars/xralf/jump01.png
	delay	8
	frame	data/chars/xralf/jump00.png
	sound	data/sounds/xralfchg01.wav
	frame	data/chars/xralf/charge01.png
	@cmd	clearL
	frame	data/chars/xralf/charge02.png
	frame	data/chars/xralf/charge03.png
	delay	4
	frame	data/chars/xralf/charge04.png
	frame	data/chars/xralf/charge05.png
	@cmd	looper 43 8
	delay	8
	frame	data/chars/xralf/charge02.png
	frame	data/chars/xralf/charge01.png
		
anim	forwardjump
	loop	0
	delay	12
	offset	145 211
	bbox	130 110 30 50
	frame	data/chars/xralf/jump01.png
	delay	7
	frame	data/chars/xralf/jump02.png
	frame	data/chars/xralf/jump03.png
	frame	data/chars/xralf/jump05.png
	frame	data/chars/xralf/jump06.png
	frame	data/chars/xralf/jump07.png
	frame	data/chars/xralf/jump08.png
	frame	data/chars/xralf/jump01.png
		
anim	freespecial10
@script
	void self = getlocalvar("self");
	float aggro = getentityproperty(self, "aggression");
	if(frame == 0)
	{
		changeentityproperty(self, "aggression", aggro + 1);
	}
	if(frame == 0 && aggro >= 15)
	{
		changeentityproperty(self, "animation", openborconstant("ANI_FREESPECIAL12"));
	}
	@end_script	
	cancel	5 10 1 A freespecial11
	cancel	5 10 1 J freespecial12
	otg	2
	attackone	1
	energycost	2
	mponly	1
	loop	0
	delay	1
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	staydown	500 500
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xralf/grab88.png
	frame	data/chars/xralf/grab89.png
	@cmd	clearL
	delay	18
	attack11	175 185 45 30 7 1 0 0 0 0
	dropv	0 0
	frame	data/chars/xralf/grab90.png
	attack11	0 0 0 0
	delay	1
	frame	data/chars/xralf/grab91.png
	frame	data/chars/xralf/grab92.png
	delay	2
	frame	data/chars/xralf/grab92.png
	frame	data/chars/xralf/grab92.png
	frame	data/chars/xralf/grab92.png
	frame	data/chars/xralf/grab92.png
	frame	data/chars/xralf/grab92.png
	frame	data/chars/xralf/grab92.png
	@cmd	looper 5 5
	delay	10
	frame	data/chars/xralf/grab84.png
	@cmd	clearL
	frame	data/chars/xralf/grab80.png
	frame	data/chars/xralf/jump00.png
	frame	data/chars/xralf/grd07.png
		
anim	freespecial11
@script
	void self = getlocalvar("self");
	float aggro = getentityproperty(self, "aggression");
	if(frame == 0)
	{
		changeentityproperty(self, "aggression", aggro + 1);
	}
	if(frame == 0 && aggro >= 15)
	{
		changeentityproperty(self, "animation", openborconstant("ANI_FREESPECIAL12"));
	}
	@end_script	
	cancel	5 10 1 A freespecial10
	cancel	5 10 1 J freespecial12
	otg	2
	attackone	1
	energycost	2
	mponly	1
	loop	0
	delay	1
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	staydown	500 500
	hitfx	data/sounds/beat5.wav
	frame	data/chars/xralf/grab93.png
	frame	data/chars/xralf/grab94.png
	@cmd	clearL
	delay	18
	attack11	175 185 45 30 7 1 0 0 0 0
	dropv	0 0
	frame	data/chars/xralf/grab85.png
	attack11	0 0 0 0
	delay	1
	frame	data/chars/xralf/grab86.png
	frame	data/chars/xralf/grab87.png
	delay	2
	frame	data/chars/xralf/grab87.png
	frame	data/chars/xralf/grab87.png
	frame	data/chars/xralf/grab87.png
	frame	data/chars/xralf/grab87.png
	frame	data/chars/xralf/grab87.png
	frame	data/chars/xralf/grab87.png
	@cmd	looper 5 5
	delay	10
	bbox	0 0 0 0
	frame	data/chars/xralf/grab84.png
	@cmd	clearL
	frame	data/chars/xralf/grab80.png
	frame	data/chars/xralf/jump00.png
	frame	data/chars/xralf/grd07.png
		
anim	freespecial12
	otg	2
	attackone	1
	energycost	10
	mponly	1
	loop	0
	delay	12
	offset	145 211
	bbox	0 0 0 0
	fastattack	1
	forcedirection	-1
	staydown	200 200
	hitflash	flashscreen1
	hitfx	data/sounds/beat4.wav
	sound	data/sounds/xralfchg02.wav
	frame	data/chars/xralf/grab92.png
	@cmd	clearL
	frame	data/chars/xralf/grab95.png
	frame	data/chars/xralf/grab96.png
	frame	data/chars/xralf/grab97.png
	delay	35
	frame	data/chars/xralf/grab98.png
	delay	12
	sound	data/sounds/xralf06.wav
	frame	data/chars/xralf/grab99.png
	@cmd	spawn01 "qfx" 30 1 1
	attack11	175 185 45 30 50 1 0 0 40 2
	dropv	2 3
	frame	data/chars/xralf/grab100.png
	delay	40
	frame	data/chars/xralf/grab101.png
	attack11	0 0 0 0
	delay	12
	frame	data/chars/xralf/grab84.png
	@cmd	clearL
	frame	data/chars/xralf/grab80.png
	frame	data/chars/xralf/jump00.png
	frame	data/chars/xralf/grd07.png
		
anim	freespecial15
	loop	0
	delay	10
	offset	145 211
	bbox	0 0 0 0
	frame	data/chars/xralf/spw20.png
	frame	data/chars/xralf/spw21.png
	frame	data/chars/xralf/spw22.png
	sound	data/sounds/break.wav
	frame	data/chars/xralf/spw20.png
	frame	data/chars/xralf/spw21.png
	frame	data/chars/xralf/spw22.png
	sound	data/sounds/break2.wav
	frame	data/chars/xralf/spw20.png
	frame	data/chars/xralf/spw21.png
	frame	data/chars/xralf/spw22.png
	sound	data/sounds/break.wav
	frame	data/chars/xralf/spw20.png
	frame	data/chars/xralf/spw21.png
	frame	data/chars/xralf/spw22.png
	@cmd	spawnChild2 "toturi3" 1 1 1 "ANI_FOLLOW11"
	frame	data/chars/xralf/spw20.png
		
anim	freespecial26
	energycost	35
	mponly	1
	loop	0
	delay	9
	offset	145 211
	bbox	130 125 30 75
	fastattack	1
	forcedirection	-1
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen2
	staydown	300 300
	frame	data/chars/xralf/charge01.png
	sound	data/sounds/super1.wav
	frame	data/chars/xralf/charge02.png
	frame	data/chars/xralf/charge03.png
	frame	data/chars/xralf/charge04.png
	@cmd	spawnAni2 "allsp" 1 1 1 4 "ANI_FOLLOW1"
	frame	data/chars/xralf/charge04.png
	delay	12
	sound	data/sounds/xralfchg02.wav
	frame	data/chars/xralf/a05.png
	bbox	120 150 30 40
	frame	data/chars/xralf/pw40.png
	frame	data/chars/xralf/pw41.png
	frame	data/chars/xralf/pw42.png
	delay	80
	frame	data/chars/xralf/pw41.png
	bbox	0 0 0 0
	delay	2
	move	6
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw43.png
	sound	data/sounds/xralf08.wav
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw43.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw43.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw44.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw44.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw44.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw45.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw45.png
	@cmd	keymove 1.2
	frame	data/chars/xralf/pw45.png
	attack	130 115 75 45 150 1 1 0 100 25
	dropv	3 4
