name          bigbear
	frame	data/chars/2bug2/fall4.gif
		
anim	grabbed
	loop	0
	delay	10
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain1.gif
		
anim	idle
	loop	0
	delay	10
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/idle02.gif
		
anim	pain
	loop	0
	delay	3
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain0.gif
	offset	155 275
	frame	data/chars/2bug2/pain1.gif
	offset	165 275
	frame	data/chars/2bug2/pain1.gif
	delay	40
	offset	155 275
	frame	data/chars/2bug2/pain1.gif
		
anim	pain10
	loop	0
	delay	1
	offset	160 275
	bbox	120 185 85 91
	jumpframe	1 5 0 0
	frame	data/chars/2bug2/pain1.gif
	delay	45
	offset	160 275
	bbox	0 0 0 0
	frame	data/chars/2bug2/pain3.gif
	delay	7
	offset	160 255
	frame	data/chars/2bug2/pain3.gif
	delay	52
	offset	160 245
	frame	data/chars/2bug2/pain3.gif
	delay	4
	offset	160 275
	move	12
	frame	data/chars/2bug2/fall4.gif
	move	0
	frame	data/chars/2bug2/fall5.gif
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall5.gif
	delay	55
	frame	data/chars/2bug2/fall4.gif
	delay	3
	bbox	110 230 75 30
	frame	data/chars/2bug2/fall4.gif
	bbox	0 0 0 0
	delay	19
	offset	160 275
	frame	data/chars/2bug2/rise01.gif
	delay	13
	frame	data/chars/2bug2/rise02.gif
	frame	data/chars/2bug2/rise03.gif
		
anim	pain2
	loop	0
	delay	3
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain0.gif
	offset	155 275
	frame	data/chars/2bug2/pain1.gif
	offset	165 275
	frame	data/chars/2bug2/pain1.gif
	delay	40
	offset	155 275
	frame	data/chars/2bug2/pain1.gif
		
anim	pain3
	loop	0
	delay	1
	offset	160 275
	bbox	0 0 0 0
	jumpframe	1 2 -1 0
	frame	data/chars/2bug2/pain1.gif
	delay	25
	frame	data/chars/2bug2/fall2.gif
	delay	12
	frame	data/chars/2bug2/fall3.gif
	delay	4
	bbox	100 225 90 40
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall5.gif
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall5.gif
	delay	15
	bbox	0 0 0 0
	frame	data/chars/2bug2/fall4.gif
	delay	10
	frame	data/chars/2bug2/rise01.gif
	frame	data/chars/2bug2/rise02.gif
	frame	data/chars/2bug2/rise03.gif
		
anim	pain4
	loop	0
	delay	2
	offset	160 275
	bbox	0 0 0 0
	move	-11
	attack	95 190 80 45 3 1 1 0 13 0
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	frame	data/chars/2bug2/fall3.gif
	move	-6
	attack	0 0 0 0
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall4.gif
	move	-3
	frame	data/chars/2bug2/fall4.gif
	frame	data/chars/2bug2/fall4.gif
	move	0
	delay	20
	bbox	0 0 0 0
	frame	data/chars/2bug2/fall4.gif
	delay	10
	frame	data/chars/2bug2/rise01.gif
	frame	data/chars/2bug2/rise02.gif
	frame	data/chars/2bug2/rise03.gif
		
anim	pain5
	loop	0
	delay	23
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain1.gif
		
anim	pain6
	loop	0
	delay	23
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain2.gif
		
anim	pain8
	loop	0
	delay	2
	offset	160 275
	bbox	120 185 85 91
	move	-6
	frame	data/chars/2bug2/pain0.gif
	frame	data/chars/2bug2/pain0.gif
	frame	data/chars/2bug2/pain0.gif
	frame	data/chars/2bug2/pain2.gif
	frame	data/chars/2bug2/pain2.gif
	frame	data/chars/2bug2/pain2.gif
	move	-3
	frame	data/chars/2bug2/pain2.gif
	frame	data/chars/2bug2/pain2.gif
	move	-1
	frame	data/chars/2bug2/pain2.gif
	delay	35
	frame	data/chars/2bug2/pain2.gif
		
anim	pain9
	loop	0
	delay	15
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/pain0.gif
	delay	150
	frame	data/chars/2bug2/pain2.gif
		
anim	rise
	loop	0
	delay	14
	offset	160 275
	bbox	0 0 0 0
	frame	data/chars/2bug2/rise01.gif
	frame	data/chars/2bug2/rise02.gif
	frame	data/chars/2bug2/rise03.gif
	frame	data/chars/2bug2/rise04.gif
	frame	data/chars/2bug2/rise05.gif
		
anim	spawn
	loop	0
	delay	1
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/idle01.gif
		
anim	walk
	loop	1
	delay	11
	offset	160 275
	bbox	120 185 85 91
	frame	data/chars/2bug2/wk01.gif
	frame	data/chars/2bug2/wk02.gif
	frame	data/chars/2bug2/wk03.gif
	frame	data/chars/2bug2/wk04.gif
	sound	data/sounds/burn.wav
	frame	data/chars/2bug2/wk05.gif
	frame	data/chars/2bug2/wk06.gif
		
#|edited by openBor Stats v 0.53
		
