name		lgmist
	frame	data/chars/beyond/1ecto1/spawn30.gif
	frame	data/chars/beyond/1ecto1/spawn31.gif
	frame	data/chars/beyond/1ecto1/spawn32.gif
	frame	data/chars/beyond/1ecto1/spawn33.gif
	bbox	145 77 55 70
	frame	data/chars/beyond/1ecto1/spawn34.gif
	frame	data/chars/beyond/1ecto1/spawn35.gif
	frame	data/chars/beyond/1ecto1/spawn36.gif
	frame	data/chars/beyond/1ecto1/spawn37.gif
	frame	data/chars/beyond/1ecto1/spawn38.gif
	frame	data/chars/beyond/1ecto1/spawn39.gif
	frame	data/chars/beyond/1ecto1/spawn40.gif
	frame	data/chars/beyond/1ecto1/spawn41.gif
	frame	data/chars/beyond/1ecto1/spawn42.gif
	frame	data/chars/beyond/1ecto1/spawn43.gif
	offset	115 187
	bbox	85 77 55 70
	frame	data/chars/beyond/1ecto1/idle10.gif
	frame	data/chars/beyond/1ecto1/idle11.gif
	frame	data/chars/beyond/1ecto1/idle12.gif
	frame	data/chars/beyond/1ecto1/idle13.gif
	frame	data/chars/beyond/1ecto1/idle14.gif
	frame	data/chars/beyond/1ecto1/idle15.gif
	frame	data/chars/beyond/1ecto1/idle16.gif
		
#|edited by openBor Stats v 0.67
		
