name          sylo2
	frame	data/chars/beyond/1alien6/grabbed.gif
	offset	100 189
	frame	data/chars/beyond/1alien6/grabbed3.gif
	offset	108 189
	frame	data/chars/beyond/1alien6/grabbed3.gif
	delay	40
	offset	100 189
	frame	data/chars/beyond/1alien6/grabbed3.gif
		
anim	pain2
	loop	0
	delay	3
	offset	103 189
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/grabbed.gif
	offset	100 189
	frame	data/chars/beyond/1alien6/grabbed2.gif
	offset	108 189
	frame	data/chars/beyond/1alien6/grabbed2.gif
	delay	40
	offset	100 189
	frame	data/chars/beyond/1alien6/grabbed2.gif
		
anim	pain3
	loop	0
	delay	1
	offset	103 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1
	jumpframe	1 2 -1 0
	frame	data/chars/beyond/1alien6/grabbed.gif
	delay	25
	frame	data/chars/beyond/1alien6/fall11.gif
	delay	12
	frame	data/chars/beyond/1alien6/fall12.gif
	delay	4
	bbox	71 165 67 30
	frame	data/chars/beyond/1alien6/fall4.gif
	frame	data/chars/beyond/1alien6/fall5.gif
	frame	data/chars/beyond/1alien6/fall4.gif
	frame	data/chars/beyond/1alien6/fall5.gif
	delay	15
	bbox	0 0 0 0
	frame	data/chars/beyond/1alien6/fall4.gif
	delay	10
	frame	data/chars/beyond/1alien6/rise1.gif
	frame	data/chars/beyond/1alien6/rise2.gif
	frame	data/chars/beyond/1alien6/rise3.gif
		
anim	pain5
	loop	0
	delay	23
	offset	105 215
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/grabbed3.gif
		
anim	pain6
	loop	0
	delay	23
	offset	100 220
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/grabbed2.gif
		
anim	pain8
	loop	0
	delay	2
	offset	100 189
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	move	-6
	frame	data/chars/beyond/1alien6/grabbed3.gif
	frame	data/chars/beyond/1alien6/grabbed3.gif
	frame	data/chars/beyond/1alien6/grabbed3.gif
	frame	data/chars/beyond/1alien6/grabbed2.gif
	frame	data/chars/beyond/1alien6/grabbed2.gif
	frame	data/chars/beyond/1alien6/grabbed2.gif
	move	-3
	frame	data/chars/beyond/1alien6/grabbed2.gif
	frame	data/chars/beyond/1alien6/grabbed2.gif
	move	-1
	frame	data/chars/beyond/1alien6/grabbed2.gif
	delay	35
	frame	data/chars/beyond/1alien6/grabbed2.gif
		
anim	pain9
	loop	0
	delay	15
	offset	100 189
	bbox	79 97 50 91
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/grabbed3.gif
	delay	150
	frame	data/chars/beyond/1alien6/grabbed2.gif
		
anim	rise
	loop	0
	delay	50
	offset	100 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1
	frame	data/chars/beyond/1alien6/fall4.gif
	delay	12
	frame	data/chars/beyond/1alien6/rise1.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien6/rise2.gif
	delay	6
	frame	data/chars/beyond/1alien6/rise10.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien6/rise12.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien6/rise13.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien6/rise14.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	frame	data/chars/beyond/1alien6/rise16.gif
	@cmd	attack1 -60 120 15 "ANI_FOLLOW2"
	delay	9
	frame	data/chars/beyond/1alien6/wk24.gif
	frame	data/chars/beyond/1alien6/i02.gif
		
anim	spawn
	loop	0
	delay	100
	offset	105 320
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1
	landframe	2
	@cmd	degravity 1
	@cmd	stop
	frame	data/chars/beyond/1alien6/spawn00.gif
	delay	1400
	@cmd	degravity 0.7
	frame	data/chars/beyond/1alien6/spawn03.gif
	delay	9
	@cmd	degravity 0
	frame	data/chars/beyond/1alien6/spawn04.gif
	frame	data/chars/beyond/1alien6/spawn05.gif
	frame	data/chars/beyond/1alien6/spawn06.gif
	frame	data/chars/beyond/1alien6/spawn07.gif
	delay	14
	bbox	105 175 40 40
	seta	3
	frame	data/chars/beyond/1alien6/spawn08.gif
	frame	data/chars/beyond/1alien6/spawn09.gif
	frame	data/chars/beyond/1alien6/spawn10.gif
	frame	data/chars/beyond/1alien6/spawn11.gif
	frame	data/chars/beyond/1alien6/spawn12.gif
	frame	data/chars/beyond/1alien6/spawn13.gif
	frame	data/chars/beyond/1alien6/spawn14.gif
	frame	data/chars/beyond/1alien6/spawn15.gif
	frame	data/chars/beyond/1alien6/spawn16.gif
	frame	data/chars/beyond/1alien6/spawn17.gif
	frame	data/chars/beyond/1alien6/spawn18.gif
	frame	data/chars/beyond/1alien6/spawn19.gif
	frame	data/chars/beyond/1alien6/spawn20.gif
	frame	data/chars/beyond/1alien6/spawn21.gif
	frame	data/chars/beyond/1alien6/spawn22.gif
	frame	data/chars/beyond/1alien6/spawn23.gif
	frame	data/chars/beyond/1alien6/spawn24.gif
	frame	data/chars/beyond/1alien6/spawn25.gif
	frame	data/chars/beyond/1alien6/spawn26.gif
	frame	data/chars/beyond/1alien6/spawn27.gif
	delay	30
	seta	3
	frame	data/chars/beyond/1alien6/spawn28.gif
	delay	3
	offset	105 315
	bbox	95 160 40 55
	frame	data/chars/beyond/1alien6/spawn29.gif
	offset	105 310
	frame	data/chars/beyond/1alien6/spawn29.gif
	offset	105 305
	frame	data/chars/beyond/1alien6/spawn30.gif
	offset	105 300
	frame	data/chars/beyond/1alien6/spawn30.gif
	offset	105 295
	frame	data/chars/beyond/1alien6/spawn31.gif
	offset	105 290
	frame	data/chars/beyond/1alien6/spawn31.gif
	offset	105 285
	frame	data/chars/beyond/1alien6/spawn32.gif
	offset	105 280
	frame	data/chars/beyond/1alien6/spawn32.gif
	seta	0
	offset	105 275
	frame	data/chars/beyond/1alien6/spawn33.gif
	offset	105 270
	frame	data/chars/beyond/1alien6/spawn33.gif
	offset	105 265
	frame	data/chars/beyond/1alien6/spawn34.gif
	offset	105 260
	frame	data/chars/beyond/1alien6/spawn34.gif
	offset	105 255
	frame	data/chars/beyond/1alien6/spawn35.gif
	offset	105 250
	frame	data/chars/beyond/1alien6/spawn35.gif
	offset	105 245
	frame	data/chars/beyond/1alien6/spawn36.gif
	offset	105 240
	frame	data/chars/beyond/1alien6/spawn36.gif
	offset	105 235
	frame	data/chars/beyond/1alien6/spawn37.gif
	offset	105 230
	frame	data/chars/beyond/1alien6/spawn37.gif
	offset	105 220
	delay	10
	frame	data/chars/beyond/1alien6/spawn38.gif
	frame	data/chars/beyond/1alien6/spawn39.gif
	frame	data/chars/beyond/1alien6/spawn40.gif
	frame	data/chars/beyond/1alien6/spawn41.gif
	frame	data/chars/beyond/1alien6/spawn42.gif
		
anim	special
	loop	0
	delay	10
	offset	100 189
	bbox	0 0 0 0
	drawmethod	200 200 0 0 0 0 -1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/beyond/1alien6/ca01.gif
	frame	data/chars/beyond/1alien6/ca02.gif
	frame	data/chars/beyond/1alien6/ca03.gif
	delay	6
	attack	45 85 130 80 7 1 0 0 30 0
	dropv	4 1.5
	frame	data/chars/beyond/1alien6/ca04.gif
	frame	data/chars/beyond/1alien6/ca05.gif
	bbox	110 104 34 82
	frame	data/chars/beyond/1alien6/ca06.gif
	frame	data/chars/beyond/1alien6/ca07.gif
	frame	data/chars/beyond/1alien6/ca08.gif
	frame	data/chars/beyond/1alien6/ca09.gif
	frame	data/chars/beyond/1alien6/ca04.gif
	frame	data/chars/beyond/1alien6/ca05.gif
	frame	data/chars/beyond/1alien6/ca06.gif
	frame	data/chars/beyond/1alien6/ca07.gif
	frame	data/chars/beyond/1alien6/ca08.gif
	frame	data/chars/beyond/1alien6/ca09.gif
	attack	0 0 0 0
	delay	10
	frame	data/chars/beyond/1alien6/ca10.gif
	frame	data/chars/beyond/1alien6/ca02.gif
	frame	data/chars/beyond/1alien6/ca01.gif
		
anim	upper
	range	5 170
	rangez	-30 30
	loop	0
	delay	6
	offset	100 189
	bbox	90 135 50 50
	drawmethod	200 200 0 0 0 0 -1
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
