name          sylo3
	frame	data/chars/beyond/1alien6/alt03.gif
	@cmd	degravity 0.8
	frame	data/chars/beyond/1alien6/alt05.gif
	@cmd	layer 0
	frame	data/chars/beyond/1alien6/alt04.gif
	frame	data/chars/beyond/1alien6/alt05.gif
	frame	data/chars/beyond/1alien6/alt06.gif
	frame	data/chars/beyond/1alien6/alt07.gif
	@cmd	looper 10 60
	frame	data/chars/beyond/1alien6/alt07.gif
	frame	data/chars/beyond/1alien6/alt08.gif #15
	frame	data/chars/beyond/1alien6/alt09.gif
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien6/alt10.gif
	frame	data/chars/beyond/1alien6/alt11.gif
	frame	data/chars/beyond/1alien6/alt08.gif
	frame	data/chars/beyond/1alien6/alt09.gif
	frame	data/chars/beyond/1alien6/alt10.gif
	frame	data/chars/beyond/1alien6/alt11.gif
	frame	data/chars/beyond/1alien6/alt08.gif
	frame	data/chars/beyond/1alien6/alt09.gif
	sound	data/sounds/exel.wav
	frame	data/chars/beyond/1alien6/alt10.gif
	frame	data/chars/beyond/1alien6/alt11.gif
	frame	data/chars/beyond/1alien6/alt08.gif
	frame	data/chars/beyond/1alien6/alt09.gif
	@cmd	degravity 0
	frame	data/chars/beyond/1alien6/alt10.gif
	frame	data/chars/beyond/1alien6/alt11.gif
	frame	data/chars/beyond/1alien6/alt08.gif
	frame	data/chars/beyond/1alien6/alt09.gif
	frame	data/chars/beyond/1alien6/alt10.gif
	frame	data/chars/beyond/1alien6/alt11.gif
	delay	8
	frame	data/chars/beyond/1alien6/wk01.gif
	frame	data/chars/beyond/1alien6/wk02.gif
		
#|edited by openBor Stats v 0.53
		
