name	 missile5
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	move	-1
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	@cmd	spawn01 "mseffect" -15 15 1
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	frame	data/chars/misc/traps/missle/frtmss07.gif
	move	0
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss08.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
	frame	data/chars/misc/traps/missle/frtmss09.gif
		
anim	spawn
	loop	0
	delay	3
	offset	45 40
	bbox	0 0 0 0
	frame	data/chars/misc/traps/missle/3missle01.gif
		
#|edited by openBor Stats v 0.53
		
