name		policecar2
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	sound	data/sounds/policesiren.wav
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car01.gif
	frame	data/chars/2car5/car02.gif
	frame	data/chars/2car5/car02.gif
		
#|edited by openBor Stats v 0.53
		
