name          mky2
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk12.png
		
anim	pain
	loop	0
	delay	7
	offset	88 170
	bbox	65 100 55 70
	frame	data/chars/2bug11/t05.png

		
anim	rise
	loop	0
	delay	12
	offset	88 170
	bbox	0 0 0 0
	frame	data/chars/2bug11/rise01.png
	frame	data/chars/2bug11/rise02.png
	frame	data/chars/2bug11/jump03.png
	frame	data/chars/2bug11/jump02.png
		
anim	spawn
	loop	0
	delay	12
	offset	88 170
	bbox	0 0 0 0
	jumpframe 0 4 3
	landframe 11 dust 
	frame	data/chars/2bug11/wk10.png
	@cmd	spawnGun "bannana" 0 25 1 1
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	frame	data/chars/2bug11/wk16.png
	frame	data/chars/2bug11/wk17.png
	frame	data/chars/2bug11/wk10.png
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png #11
	delay	7
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	@cmd	subwall 1
	frame	data/chars/2bug11/wk14.png

anim	follow10
	loop	0
	delay	12
	offset	88 170
	bbox	0 0 0 0
	jumpframe 0 4 3
	landframe 11 dust 
	frame	data/chars/2bug11/wk10.png
	@cmd	spawnGun "moneybag" 0 25 1 1
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	frame	data/chars/2bug11/wk16.png
	frame	data/chars/2bug11/wk17.png
	frame	data/chars/2bug11/wk10.png
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png #11
	delay	7
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	@cmd	subwall 1
	frame	data/chars/2bug11/wk14.png


anim	follow14
	loop	0
	delay	12
	offset	88 170
	bbox	0 0 0 0
	jumpframe 0 4 3
	landframe 11 dust 
	frame	data/chars/2bug11/wk10.png
	@cmd	spawnGun5 "1up" 0 25 1 1 "ANI_FOLLOW1"
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	frame	data/chars/2bug11/wk16.png
	frame	data/chars/2bug11/wk17.png
	frame	data/chars/2bug11/wk10.png
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png #11
	delay	7
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	@cmd	subwall 1
	frame	data/chars/2bug11/wk14.png



		
anim	walk
	loop	1
	delay	8
	offset	88 170
	bbox	65 100 55 70
	frame	data/chars/2bug11/wk10.png
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	frame	data/chars/2bug11/wk16.png
	frame	data/chars/2bug11/wk17.png



anim	backwalk
	loop	1
	delay	8
	offset	88 170
	bbox	65 100 55 70
	drawmethod 256 256 1
	frame	data/chars/2bug11/wk10.png
	frame	data/chars/2bug11/wk11.png
	frame	data/chars/2bug11/wk12.png
	frame	data/chars/2bug11/wk13.png
	frame	data/chars/2bug11/wk14.png
	frame	data/chars/2bug11/wk15.png
	frame	data/chars/2bug11/wk16.png
	frame	data/chars/2bug11/wk17.png






		
#|edited by openBor Stats v 0.53
		
