name	atkcar1
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	@cmd	looper 36 24
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	frame	data/chars/misc/car/car1/car01.gif
	frame	data/chars/misc/car/car1/car00.gif
	@cmd	suicide
	frame	data/chars/misc/car/car1/car01.gif




anim	fall
	loop	0
	delay	15
	offset	180 120
	frame	data/chars/misc/car/car1/car00.gif



		
#|edited by openBor Stats v 0.53
		
